Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.08,Yes,Yes
cc10_cnf.1.p.10,sat,0.09,Yes,Yes
cc10_cnf.1.t.10,sat,0.09,Yes,Yes
cc10_cnf.10.d.10,sat,2.1,Yes,Yes
cc10_cnf.10.p.10,sat,18.38,Yes,Yes
cc10_cnf.10.t.10,sat,5.47,Yes,Yes
cc10_cnf.11.d.10,sat,5.34,Yes,Yes
cc10_cnf.11.p.10,sat,22.62,Yes,Yes
cc10_cnf.11.t.10,sat,7.26,Yes,Yes
cc10_cnf.12.d.10,sat,4.12,Yes,Yes
cc10_cnf.12.p.10,sat,21.1,Yes,Yes
cc10_cnf.12.t.10,sat,5.49,Yes,Yes
cc10_cnf.13.d.10,sat,3.55,Yes,Yes
cc10_cnf.13.p.10,sat,7.11,Yes,Yes
cc10_cnf.13.t.10,sat,6.58,Yes,Yes
cc10_cnf.14.d.10,sat,14.53,Yes,Yes
cc10_cnf.14.p.10,sat,22.81,Yes,Yes
cc10_cnf.14.t.10,sat,7.81,Yes,Yes
cc10_cnf.15.d.10,sat,6.62,Yes,Yes
cc10_cnf.15.p.10,sat,24.43,Yes,Yes
cc10_cnf.15.t.10,sat,9.81,Yes,Yes
cc10_cnf.16.d.10,sat,5.64,Yes,Yes
cc10_cnf.16.p.10,sat,68.22,Yes,Yes
cc10_cnf.16.t.10,sat,7.75,Yes,Yes
cc10_cnf.17.d.10,sat,14.8,Yes,Yes
cc10_cnf.17.p.10,sat,32.47,Yes,Yes
cc10_cnf.17.t.10,sat,9.39,Yes,Yes
cc10_cnf.18.d.10,sat,6.24,Yes,Yes
cc10_cnf.18.p.10,sat,83.75,Yes,Yes
cc10_cnf.18.t.10,sat,8.43,Yes,Yes
cc10_cnf.19.d.10,sat,7.06,Yes,Yes
cc10_cnf.19.p.10,sat,104.76,Yes,Yes
cc10_cnf.19.t.10,sat,30.04,Yes,Yes
cc10_cnf.2.d.10,sat,0.11,Yes,Yes
cc10_cnf.2.p.10,sat,0.14,Yes,Yes
cc10_cnf.2.t.10,sat,0.12,Yes,Yes
cc10_cnf.20.d.10,sat,14.72,Yes,Yes
cc10_cnf.20.p.10,sat,100.56,Yes,Yes
cc10_cnf.20.t.10,sat,23.96,Yes,Yes
cc10_cnf.3.d.10,sat,0.15,Yes,Yes
cc10_cnf.3.p.10,sat,0.22,Yes,Yes
cc10_cnf.3.t.10,sat,0.2,Yes,Yes
cc10_cnf.4.d.10,sat,0.24,Yes,Yes
cc10_cnf.4.p.10,sat,0.23,Yes,Yes
cc10_cnf.4.t.10,sat,0.22,Yes,Yes
cc10_cnf.5.d.10,sat,0.82,Yes,Yes
cc10_cnf.5.p.10,sat,0.93,Yes,Yes
cc10_cnf.5.t.10,sat,0.36,Yes,Yes
cc10_cnf.6.d.10,sat,1.29,Yes,Yes
cc10_cnf.6.p.10,sat,0.34,Yes,Yes
cc10_cnf.6.t.10,sat,1.44,Yes,Yes
cc10_cnf.7.d.10,sat,0.95,Yes,Yes
cc10_cnf.7.p.10,sat,2.11,Yes,Yes
cc10_cnf.7.t.10,sat,2.44,Yes,Yes
cc10_cnf.8.d.10,sat,0.51,Yes,Yes
cc10_cnf.8.p.10,sat,1.47,Yes,Yes
cc10_cnf.8.t.10,sat,2.56,Yes,Yes
cc10_cnf.9.d.10,sat,3.03,Yes,Yes
cc10_cnf.9.p.10,sat,1.73,Yes,Yes
cc10_cnf.9.t.10,sat,4.37,Yes,Yes
cc1_cnf.1.d.1,sat,0.07,Yes,Yes
cc1_cnf.1.p.1,sat,0.08,Yes,Yes
cc1_cnf.1.t.1,sat,0.08,Yes,Yes
cc1_cnf.10.d.1,sat,0.4,Yes,Yes
cc1_cnf.10.p.1,sat,1.96,Yes,Yes
cc1_cnf.10.t.1,sat,0.82,Yes,Yes
cc1_cnf.11.d.1,sat,0.4,Yes,Yes
cc1_cnf.11.p.1,sat,1.91,Yes,Yes
cc1_cnf.11.t.1,sat,0.54,Yes,Yes
cc1_cnf.12.d.1,sat,0.34,Yes,Yes
cc1_cnf.12.p.1,sat,2.67,Yes,Yes
cc1_cnf.12.t.1,sat,0.52,Yes,Yes
cc1_cnf.13.d.1,sat,0.37,Yes,Yes
cc1_cnf.13.p.1,sat,2.22,Yes,Yes
cc1_cnf.13.t.1,sat,0.55,Yes,Yes
cc1_cnf.14.d.1,sat,0.47,Yes,Yes
cc1_cnf.14.p.1,sat,3.54,Yes,Yes
cc1_cnf.14.t.1,sat,0.74,Yes,Yes
cc1_cnf.15.d.1,sat,0.51,Yes,Yes
cc1_cnf.15.p.1,sat,3.0,Yes,Yes
cc1_cnf.15.t.1,sat,0.69,Yes,Yes
cc1_cnf.16.d.1,sat,0.57,Yes,Yes
cc1_cnf.16.p.1,sat,3.61,Yes,Yes
cc1_cnf.16.t.1,sat,0.77,Yes,Yes
cc1_cnf.17.d.1,sat,0.54,Yes,Yes
cc1_cnf.17.p.1,sat,2.94,Yes,Yes
cc1_cnf.17.t.1,sat,1.32,Yes,Yes
cc1_cnf.18.d.1,sat,0.6,Yes,Yes
cc1_cnf.18.p.1,sat,2.81,Yes,Yes
cc1_cnf.18.t.1,sat,0.9,Yes,Yes
cc1_cnf.19.d.1,sat,0.54,Yes,Yes
cc1_cnf.19.p.1,sat,3.09,Yes,Yes
cc1_cnf.19.t.1,sat,1.43,Yes,Yes
cc1_cnf.2.d.1,sat,0.1,Yes,Yes
cc1_cnf.2.p.1,sat,0.1,Yes,Yes
cc1_cnf.2.t.1,sat,0.11,Yes,Yes
cc1_cnf.20.d.1,sat,0.84,Yes,Yes
cc1_cnf.20.p.1,sat,4.47,Yes,Yes
cc1_cnf.20.t.1,sat,0.99,Yes,Yes
cc1_cnf.3.d.1,sat,0.12,Yes,Yes
cc1_cnf.3.p.1,sat,0.14,Yes,Yes
cc1_cnf.3.t.1,sat,0.17,Yes,Yes
cc1_cnf.4.d.1,sat,0.17,Yes,Yes
cc1_cnf.4.p.1,sat,0.17,Yes,Yes
cc1_cnf.4.t.1,sat,0.2,Yes,Yes
cc1_cnf.5.d.1,sat,0.14,Yes,Yes
cc1_cnf.5.p.1,sat,0.72,Yes,Yes
cc1_cnf.5.t.1,sat,0.27,Yes,Yes
cc1_cnf.6.d.1,sat,0.23,Yes,Yes
cc1_cnf.6.p.1,sat,0.29,Yes,Yes
cc1_cnf.6.t.1,sat,0.6,Yes,Yes
cc1_cnf.7.d.1,sat,0.25,Yes,Yes
cc1_cnf.7.p.1,sat,1.15,Yes,Yes
cc1_cnf.7.t.1,sat,0.47,Yes,Yes
cc1_cnf.8.d.1,sat,0.41,Yes,Yes
cc1_cnf.8.p.1,sat,2.52,Yes,Yes
cc1_cnf.8.t.1,sat,0.51,Yes,Yes
cc1_cnf.9.d.1,sat,0.3,Yes,Yes
cc1_cnf.9.p.1,sat,1.63,Yes,Yes
cc1_cnf.9.t.1,sat,0.56,Yes,Yes
