Instance,Result,Time,Best,Mono
cc10_cnf.10.d.10,sat,2.201714759,No,No
cc10_cnf.10.p.10,sat,8.865976163,No,No
cc10_cnf.10.t.10,sat,52.216405218,No,No
cc10_cnf.11.d.10,sat,4.414976487,No,No
cc10_cnf.11.p.10,sat,25.331066016,No,No
cc10_cnf.11.t.10,sat,8.785089169,No,No
cc10_cnf.12.d.10,sat,5.076987198,No,No
cc10_cnf.12.p.10,sat,17.351949323,No,No
cc10_cnf.12.t.10,sat,7.534044858,No,No
cc10_cnf.13.d.10,sat,7.315947283,No,No
cc10_cnf.13.p.10,sat,12.431569449,No,No
cc10_cnf.13.t.10,sat,39.632436873,No,No
cc10_cnf.14.d.10,sat,11.127531934,No,No
cc10_cnf.14.p.10,sat,28.324930509,No,No
cc10_cnf.14.t.10,sat,46.677841855,No,No
cc10_cnf.15.d.10,sat,6.288601388,No,No
cc10_cnf.15.p.10,sat,38.206291636,No,No
cc10_cnf.15.t.10,sat,16.060161707,No,No
cc10_cnf.16.d.10,sat,111.65683769,No,No
cc10_cnf.16.p.10,sat,35.522447164,No,No
cc10_cnf.16.t.10,sat,642.977766023,No,No
cc10_cnf.17.d.10,sat,5.064711652,No,No
cc10_cnf.17.p.10,sat,545.270724829,No,No
cc10_cnf.17.t.10,sat,14.35681474,No,No
cc10_cnf.18.d.10,sat,66.118186445,No,No
cc10_cnf.18.p.10,sat,344.775531608,No,No
cc10_cnf.18.t.10,sat,621.308795474,No,No
cc10_cnf.19.d.10,sat,51.708260665,No,No
cc10_cnf.19.p.10,sat,369.41249354,No,No
cc10_cnf.19.t.10,sat,1184.442334852,No,No
cc10_cnf.1.d.10,sat,0.021772054,No,No
cc10_cnf.1.p.10,sat,0.033868564,No,No
cc10_cnf.1.t.10,sat,0.032140279,No,No
cc10_cnf.20.d.10,sat,16.67680936,No,No
cc10_cnf.20.p.10,sat,390.143462583,No,No
cc10_cnf.20.t.10,sat,1078.287655163,No,No
cc10_cnf.2.d.10,sat,0.067527197,No,No
cc10_cnf.2.p.10,sat,0.122838752,No,No
cc10_cnf.2.t.10,sat,0.082294017,No,No
cc10_cnf.3.d.10,sat,0.182363629,No,No
cc10_cnf.3.p.10,sat,0.233721522,No,No
cc10_cnf.3.t.10,sat,0.218174175,No,No
cc10_cnf.4.d.10,sat,0.554875099,No,No
cc10_cnf.4.p.10,sat,0.539580409,No,No
cc10_cnf.4.t.10,sat,0.388526624,No,No
cc10_cnf.5.d.10,sat,0.48085553,No,No
cc10_cnf.5.p.10,sat,1.566538348,No,No
cc10_cnf.5.t.10,sat,1.377640068,No,No
cc10_cnf.6.d.10,sat,0.786137716,No,No
cc10_cnf.6.p.10,sat,2.037772327,No,No
cc10_cnf.6.t.10,sat,2.14378476,No,No
cc10_cnf.7.d.10,sat,1.293565005,No,No
cc10_cnf.7.p.10,sat,1.82446826,No,No
cc10_cnf.7.t.10,sat,4.109120783,No,No
cc10_cnf.8.d.10,sat,3.579963061,No,No
cc10_cnf.8.p.10,sat,6.794420363,No,No
cc10_cnf.8.t.10,sat,7.11104649,No,No
cc10_cnf.9.d.10,sat,2.288655824,No,No
cc10_cnf.9.p.10,sat,4.696804986,No,No
cc10_cnf.9.t.10,sat,3.680881392,No,No
cc1_cnf.10.d.1,sat,0.873298044,No,No
