Instance,Result,Time,Best,Mono
cc10_cnf.10.d.10,sat,16.204249718,No,No
cc10_cnf.10.p.10,sat,7.943926344,No,No
cc10_cnf.10.t.10,sat,40.210451937,No,No
cc10_cnf.11.d.10,sat,6.609276685,No,No
cc10_cnf.11.p.10,sat,11.908236457,No,No
cc10_cnf.11.t.10,sat,16.374728147,No,No
cc10_cnf.12.d.10,sat,20.133957499,No,No
cc10_cnf.12.p.10,sat,13.910488018,No,No
cc10_cnf.12.t.10,sat,30.683543256,No,No
cc10_cnf.13.d.10,sat,11.659348393,No,No
cc10_cnf.13.p.10,sat,20.643366143,No,No
cc10_cnf.13.t.10,sat,15.439120929,No,No
cc10_cnf.14.d.10,sat,91.286952746,No,No
cc10_cnf.14.p.10,sat,185.83321899,No,No
cc10_cnf.14.t.10,sat,6.893448099,No,No
cc10_cnf.15.d.10,sat,18.559321231,No,No
cc10_cnf.15.p.10,sat,425.188626642,No,No
cc10_cnf.15.t.10,sat,106.686979335,No,No
cc10_cnf.16.d.10,sat,97.024115916,No,No
cc10_cnf.16.p.10,sat,88.895337252,No,No
cc10_cnf.16.t.10,sat,187.591399033,No,No
cc10_cnf.17.d.10,sat,10.599068982,No,No
cc10_cnf.17.p.10,sat,96.700360315,No,No
cc10_cnf.17.t.10,sat,101.80237955,No,No
cc10_cnf.18.d.10,sat,408.030521302,No,No
cc10_cnf.18.p.10,sat,451.246812585,No,No
cc10_cnf.18.t.10,sat,267.533264129,No,No
cc10_cnf.19.d.10,sat,23.144560576,No,No
cc10_cnf.19.p.10,sat,40.517768114,No,No
cc10_cnf.19.t.10,sat,349.8884598,No,No
cc10_cnf.1.d.10,sat,0.010190667,No,No
cc10_cnf.1.p.10,sat,0.017366502,No,No
cc10_cnf.1.t.10,sat,0.014976859,No,No
cc10_cnf.20.d.10,sat,61.853409542,No,No
cc10_cnf.20.p.10,sat,884.991221763,No,No
cc10_cnf.20.t.10,sat,709.202103684,No,No
cc10_cnf.2.d.10,sat,0.066681301,No,No
cc10_cnf.2.p.10,sat,0.225005232,No,No
cc10_cnf.2.t.10,sat,0.088404234,No,No
cc10_cnf.3.d.10,sat,0.120974593,No,No
cc10_cnf.3.p.10,sat,0.277549422,No,No
cc10_cnf.3.t.10,sat,0.112463187,No,No
cc10_cnf.4.d.10,sat,0.656094701,No,No
cc10_cnf.4.p.10,sat,0.73481453,No,No
cc10_cnf.4.t.10,sat,0.366320138,No,No
cc10_cnf.5.d.10,sat,0.865031756,No,No
cc10_cnf.5.p.10,sat,0.77570679,No,No
cc10_cnf.5.t.10,sat,1.268595107,No,No
cc10_cnf.6.d.10,sat,0.477462276,No,No
cc10_cnf.6.p.10,sat,1.671619033,No,No
cc10_cnf.6.t.10,sat,1.6138649,No,No
cc10_cnf.7.d.10,sat,2.292863632,No,No
cc10_cnf.7.p.10,sat,5.633875555,No,No
cc10_cnf.7.t.10,sat,8.894124195,No,No
cc10_cnf.8.d.10,sat,1.784904971,No,No
cc10_cnf.8.p.10,sat,61.709615222,No,No
cc10_cnf.8.t.10,sat,5.161484613,No,No
cc10_cnf.9.d.10,sat,3.227163068,No,No
cc10_cnf.9.p.10,sat,7.667270157,No,No
cc10_cnf.9.t.10,sat,7.540931303,No,No
cc1_cnf.10.d.1,sat,3.899154906,No,No
cc1_cnf.10.p.1,sat,3.218512451,No,No
cc1_cnf.10.t.1,sat,5.932231067,No,No
cc1_cnf.11.d.1,sat,3.706117,No,No
cc1_cnf.11.p.1,sat,10.552383685,No,No
cc1_cnf.11.t.1,sat,2.330959835,No,No
cc1_cnf.12.d.1,sat,4.284070877,No,No
cc1_cnf.12.p.1,sat,12.039151616,No,No
cc1_cnf.12.t.1,sat,8.1540464,No,No
cc1_cnf.13.d.1,sat,3.521743949,No,No
cc1_cnf.13.p.1,sat,34.994399252,No,No
cc1_cnf.13.t.1,sat,22.433074868,No,No
cc1_cnf.14.d.1,sat,5.351299331,No,No
cc1_cnf.14.p.1,sat,203.286817934,No,No
