Instance,Result,Time,Best,Mono
cc10_cnf.10.d.10,sat,5.580644941,No,No
cc10_cnf.10.p.10,sat,20.120010339,No,No
cc10_cnf.10.t.10,sat,16.704986133,No,No
cc10_cnf.11.d.10,sat,7.598728229,No,No
cc10_cnf.11.p.10,sat,7.542072877,No,No
cc10_cnf.11.t.10,sat,8.630458651,No,No
cc10_cnf.12.d.10,sat,5.758324943,No,No
cc10_cnf.12.p.10,sat,22.53631141,No,No
cc10_cnf.12.t.10,sat,18.004514263,No,No
cc10_cnf.13.d.10,sat,3.609922465,No,No
cc10_cnf.13.p.10,sat,18.193782871,No,No
cc10_cnf.13.t.10,sat,248.290082426,No,No
cc10_cnf.14.d.10,sat,9.899556144,No,No
cc10_cnf.14.p.10,sat,13.051411363,No,No
cc10_cnf.14.t.10,sat,8.273592993,No,No
cc10_cnf.15.d.10,sat,11.654840684,No,No
cc10_cnf.15.p.10,sat,51.624211949,No,No
cc10_cnf.15.t.10,sat,32.841865665,No,No
cc10_cnf.16.d.10,sat,26.396710959,No,No
cc10_cnf.16.p.10,sat,95.872839529,No,No
cc10_cnf.16.t.10,sat,106.038701627,No,No
cc10_cnf.17.d.10,sat,5.403364041,No,No
cc10_cnf.17.p.10,sat,201.791022942,No,No
cc10_cnf.17.t.10,sat,210.862127329,No,No
cc10_cnf.18.d.10,sat,57.747517786,No,No
cc10_cnf.18.p.10,sat,37.84795861,No,No
cc10_cnf.18.t.10,sat,74.824152414,No,No
cc10_cnf.19.d.10,sat,18.750639646,No,No
cc10_cnf.19.p.10,sat,78.545882434,No,No
cc10_cnf.19.t.10,sat,608.923121516,No,No
cc10_cnf.1.d.10,sat,0.024337425,No,No
cc10_cnf.1.p.10,sat,0.037878052,No,No
cc10_cnf.1.t.10,sat,0.037529685,No,No
cc10_cnf.20.d.10,sat,7.283344218,No,No
cc10_cnf.20.p.10,sat,454.921575397,No,No
cc10_cnf.20.t.10,sat,1242.230128503,No,No
cc10_cnf.2.d.10,sat,0.088484199,No,No
cc10_cnf.2.p.10,sat,0.177012536,No,No
cc10_cnf.2.t.10,sat,0.147186544,No,No
cc10_cnf.3.d.10,sat,0.222087197,No,No
cc10_cnf.3.p.10,sat,0.394007282,No,No
cc10_cnf.3.t.10,sat,0.191637531,No,No
cc10_cnf.4.d.10,sat,0.348237012,No,No
cc10_cnf.4.p.10,sat,0.645260203,No,No
cc10_cnf.4.t.10,sat,0.940261656,No,No
cc10_cnf.5.d.10,sat,0.83216017,No,No
cc10_cnf.5.p.10,sat,1.672325234,No,No
cc10_cnf.5.t.10,sat,2.415549276,No,No
cc10_cnf.6.d.10,sat,0.736857204,No,No
cc10_cnf.6.p.10,sat,1.428298555,No,No
cc10_cnf.6.t.10,sat,2.716169672,No,No
cc10_cnf.7.d.10,sat,0.797595151,No,No
cc10_cnf.7.p.10,sat,3.883877918,No,No
cc10_cnf.7.t.10,sat,1.255266087,No,No
cc10_cnf.8.d.10,sat,2.167690085,No,No
cc10_cnf.8.p.10,sat,6.745363117,No,No
cc10_cnf.8.t.10,sat,3.295780512,No,No
cc10_cnf.9.d.10,sat,2.843740419,No,No
cc10_cnf.9.p.10,sat,4.669397963,No,No
cc10_cnf.9.t.10,sat,2.748381037,No,No
cc1_cnf.10.d.1,sat,1.076735074,No,No
cc1_cnf.10.p.1,sat,2.103321403,No,No
cc1_cnf.10.t.1,sat,5.848986775,No,No
cc1_cnf.11.d.1,sat,3.158962401,No,No
cc1_cnf.11.p.1,sat,14.060387507,No,No
cc1_cnf.11.t.1,sat,3.012455893,No,No
cc1_cnf.12.d.1,sat,1.585974164,No,No
cc1_cnf.12.p.1,sat,9.096751254,No,No
cc1_cnf.12.t.1,sat,4.379042562,No,No
cc1_cnf.13.d.1,sat,3.412997677,No,No
cc1_cnf.13.p.1,sat,15.089352876,No,No
cc1_cnf.13.t.1,sat,11.113850515,No,No
cc1_cnf.14.d.1,sat,2.674123768,No,No
cc1_cnf.14.p.1,sat,206.60208651,No,No
cc1_cnf.14.t.1,sat,6.684873273,No,No
cc1_cnf.15.d.1,sat,7.662132143,No,No
cc1_cnf.15.p.1,sat,1333.575507611,No,No
cc1_cnf.15.t.1,sat,72.555300878,No,No
cc1_cnf.16.d.1,sat,4.286089625,No,No
cc1_cnf.16.p.1,sat,615.643797223,No,No
cc1_cnf.16.t.1,sat,30.01311851,No,No
cc1_cnf.17.d.1,sat,2.845498869,No,No
cc1_cnf.17.p.1,sat,107.358794154,No,No
cc1_cnf.17.t.1,sat,3.123337669,No,No
cc1_cnf.18.d.1,sat,20.43782478,No,No
cc1_cnf.18.p.1,sat,1879.851757543,No,No
cc1_cnf.18.t.1,sat,26.58378825,No,No
cc1_cnf.19.d.1,sat,12.146455561,No,No
cc1_cnf.19.p.1,sat,18.688981363,No,No
cc1_cnf.19.t.1,sat,15.532931655,No,No
cc1_cnf.1.d.1,sat,0.014982753,No,No
cc1_cnf.1.p.1,sat,0.029001122,No,No
cc1_cnf.1.t.1,sat,0.034959359,No,No
cc1_cnf.20.d.1,sat,9.07739586,No,No
cc1_cnf.20.p.1,sat,558.480488809,No,No
cc1_cnf.20.t.1,sat,18.321781543,No,No
cc1_cnf.2.d.1,sat,0.038712808,No,No
cc1_cnf.2.p.1,sat,0.08036643,No,No
cc1_cnf.2.t.1,sat,0.078468326,No,No
cc1_cnf.3.d.1,sat,0.080619875,No,No
cc1_cnf.3.p.1,sat,0.262203989,No,No
cc1_cnf.3.t.1,sat,0.132417232,No,No
cc1_cnf.4.d.1,sat,0.132864841,No,No
cc1_cnf.4.p.1,sat,0.373936437,No,No
cc1_cnf.4.t.1,sat,0.483423734,No,No
cc1_cnf.5.d.1,sat,0.241158275,No,No
cc1_cnf.5.p.1,sat,0.354355879,No,No
cc1_cnf.5.t.1,sat,0.187523831,No,No
cc1_cnf.6.d.1,sat,0.404970738,No,No
cc1_cnf.6.p.1,sat,0.973094724,No,No
cc1_cnf.6.t.1,sat,0.584651955,No,No
cc1_cnf.7.d.1,sat,0.503805927,No,No
cc1_cnf.7.p.1,sat,1.724287374,No,No
cc1_cnf.7.t.1,sat,2.051245122,No,No
cc1_cnf.8.d.1,sat,0.61423062,No,No
cc1_cnf.8.p.1,sat,4.618886678,No,No
cc1_cnf.8.t.1,sat,4.9355866,No,No
cc1_cnf.9.d.1,sat,0.530931308,No,No
cc1_cnf.9.p.1,sat,7.169162739,No,No
cc1_cnf.9.t.1,sat,2.461911421,No,No
