Instance,Result,Time,Best,Mono
cc10_cnf.10.d.10,sat,2.799709656,No,No
cc10_cnf.10.p.10,sat,10.568802792,No,No
cc10_cnf.10.t.10,sat,9.959923215,No,No
cc10_cnf.11.d.10,sat,7.634055235,No,No
cc10_cnf.11.p.10,sat,29.260252053,No,No
cc10_cnf.11.t.10,sat,7.688969082,No,No
cc10_cnf.12.d.10,sat,10.650273372,No,No
cc10_cnf.12.p.10,sat,15.310725687,No,No
cc10_cnf.12.t.10,sat,26.880448621,No,No
cc10_cnf.13.d.10,sat,12.986841942,No,No
cc10_cnf.13.p.10,sat,24.082424018,No,No
cc10_cnf.13.t.10,sat,187.185254582,No,No
cc10_cnf.14.d.10,sat,59.695981398,No,No
cc10_cnf.14.p.10,sat,16.875783262,No,No
cc10_cnf.14.t.10,sat,45.953404854,No,No
cc10_cnf.15.d.10,sat,9.742578433,No,No
cc10_cnf.15.p.10,sat,209.749992747,No,No
cc10_cnf.15.t.10,sat,20.570362615,No,No
cc10_cnf.16.d.10,sat,130.174544735,No,No
cc10_cnf.16.p.10,sat,289.982841389,No,No
cc10_cnf.16.t.10,sat,35.767288446,No,No
cc10_cnf.17.d.10,sat,19.017583486,No,No
cc10_cnf.17.p.10,sat,427.60594724,No,No
cc10_cnf.17.t.10,sat,133.612611425,No,No
cc10_cnf.18.d.10,sat,28.212480287,No,No
cc10_cnf.18.p.10,sat,964.716031952,No,No
cc10_cnf.18.t.10,sat,729.827556795,No,No
cc10_cnf.19.d.10,sat,44.340212269,No,No
cc10_cnf.19.p.10,sat,570.819655182,No,No
cc10_cnf.19.t.10,sat,396.728712692,No,No
cc10_cnf.1.d.10,sat,0.017325147,No,No
cc10_cnf.1.p.10,sat,0.034746198,No,No
cc10_cnf.1.t.10,sat,0.030947833,No,No
cc10_cnf.20.d.10,sat,38.388674973,No,No
cc10_cnf.20.p.10,sat,967.688090286,No,No
cc10_cnf.20.t.10,sat,3335.003428518,No,No
cc10_cnf.2.d.10,sat,0.053591179,No,No
cc10_cnf.2.p.10,sat,0.097391525,No,No
cc10_cnf.2.t.10,sat,0.152098407,No,No
cc10_cnf.3.d.10,sat,0.15044488,No,No
cc10_cnf.3.p.10,sat,0.260182143,No,No
cc10_cnf.3.t.10,sat,0.256719741,No,No
cc10_cnf.4.d.10,sat,0.223205403,No,No
cc10_cnf.4.p.10,sat,0.76157319,No,No
cc10_cnf.4.t.10,sat,0.654583578,No,No
cc10_cnf.5.d.10,sat,0.702984495,No,No
cc10_cnf.5.p.10,sat,1.058550506,No,No
cc10_cnf.5.t.10,sat,1.27659059,No,No
cc10_cnf.6.d.10,sat,1.139658304,No,No
cc10_cnf.6.p.10,sat,1.372520996,No,No
cc10_cnf.6.t.10,sat,2.15194801,No,No
cc10_cnf.7.d.10,sat,1.405260745,No,No
cc10_cnf.7.p.10,sat,2.491271229,No,No
cc10_cnf.7.t.10,sat,2.357766239,No,No
cc10_cnf.8.d.10,sat,2.509875594,No,No
cc10_cnf.8.p.10,sat,14.461117293,No,No
cc10_cnf.8.t.10,sat,6.382468703,No,No
cc10_cnf.9.d.10,sat,4.327513252,No,No
cc10_cnf.9.p.10,sat,8.881691396,No,No
cc10_cnf.9.t.10,sat,3.103156653,No,No
cc1_cnf.10.d.1,sat,6.176929339,No,No
cc1_cnf.10.p.1,sat,7.219111733,No,No
cc1_cnf.10.t.1,sat,4.074850828,No,No
cc1_cnf.11.d.1,sat,5.316747172,No,No
