Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.03,No,No
cc10_cnf.1.p.10,sat,0.04,No,No
cc10_cnf.1.t.10,sat,0.04,No,No
cc10_cnf.10.d.10,sat,6.77,No,No
cc10_cnf.10.p.10,sat,17.18,No,No
cc10_cnf.10.t.10,sat,44.87,Yes,No
cc10_cnf.11.d.10,sat,9.09,No,No
cc10_cnf.11.p.10,sat,140.53,No,No
cc10_cnf.11.t.10,sat,27.2,No,No
cc10_cnf.12.d.10,sat,11.78,Yes,No
cc10_cnf.12.p.10,sat,31.5,No,No
cc10_cnf.12.t.10,sat,107.99,No,No
cc10_cnf.13.d.10,sat,50.81,No,No
cc10_cnf.13.p.10,sat,18.78,No,No
cc10_cnf.13.t.10,sat,577.42,No,No
cc10_cnf.14.d.10,sat,29.43,No,No
cc10_cnf.14.p.10,sat,119.21,No,No
cc10_cnf.14.t.10,sat,58.37,No,No
cc10_cnf.15.d.10,sat,32.97,No,No
cc10_cnf.15.p.10,sat,358.28,No,No
cc10_cnf.15.t.10,sat,86.08,No,No
cc10_cnf.16.d.10,sat,587.87,No,No
cc10_cnf.16.p.10,sat,124.7,Yes,No
cc10_cnf.16.t.10,sat,72.42,Yes,No
cc10_cnf.17.d.10,sat,32.7,No,No
cc10_cnf.17.p.10,sat,162.16,No,No
cc10_cnf.17.t.10,sat,199.69,No,No
cc10_cnf.18.d.10,sat,545.0,No,No
cc10_cnf.18.p.10,sat,322.11,No,No
cc10_cnf.18.t.10,sat,76.56,No,No
cc10_cnf.19.d.10,sat,156.56,No,No
cc10_cnf.19.p.10,sat,774.62,No,No
cc10_cnf.19.t.10,sat,787.88,No,No
cc10_cnf.2.d.10,sat,0.09,No,No
cc10_cnf.2.p.10,sat,0.24,No,No
cc10_cnf.2.t.10,sat,0.18,No,No
cc10_cnf.20.d.10,sat,140.89,No,No
cc10_cnf.20.p.10,sat,296.75,No,No
cc10_cnf.20.t.10,sat,1295.61,No,No
cc10_cnf.3.d.10,sat,0.17,No,No
cc10_cnf.3.p.10,sat,0.34,No,No
cc10_cnf.3.t.10,sat,0.31,No,No
cc10_cnf.4.d.10,sat,0.19,Yes,No
cc10_cnf.4.p.10,sat,1.18,No,No
cc10_cnf.4.t.10,sat,1.36,No,No
cc10_cnf.5.d.10,sat,1.46,No,No
cc10_cnf.5.p.10,sat,2.91,No,No
cc10_cnf.5.t.10,sat,4.22,No,No
