Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.06,No,No
cc10_cnf.1.p.10,sat,0.13,No,No
cc10_cnf.1.t.10,sat,0.12,No,No
cc10_cnf.10.d.10,sat,11.94,No,No
cc10_cnf.10.p.10,sat,23.34,No,No
cc10_cnf.10.t.10,sat,44.2,No,No
cc10_cnf.11.d.10,sat,16.52,No,No
cc10_cnf.11.p.10,sat,36.17,No,No
cc10_cnf.11.t.10,sat,25.1,No,No
cc10_cnf.12.d.10,sat,38.3,No,No
cc10_cnf.12.p.10,sat,83.28,No,No
cc10_cnf.12.t.10,sat,54.29,No,No
cc10_cnf.13.d.10,sat,23.18,No,No
cc10_cnf.13.p.10,sat,43.03,No,No
cc10_cnf.13.t.10,sat,576.48,No,No
cc10_cnf.14.d.10,sat,26.56,Yes,No
cc10_cnf.14.p.10,sat,196.52,No,No
cc10_cnf.14.t.10,sat,46.04,No,No
cc10_cnf.15.d.10,sat,59.99,No,No
cc10_cnf.15.p.10,sat,710.94,No,No
cc10_cnf.15.t.10,unknown,36000,No,No
cc10_cnf.16.d.10,sat,179.72,No,No
cc10_cnf.16.p.10,unknown,36000,No,No
cc10_cnf.16.t.10,sat,1067.51,No,No
cc10_cnf.17.d.10,sat,38.17,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,sat,1575.7,No,No
cc10_cnf.18.d.10,unknown,36000,No,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,unknown,36000,No,No
cc10_cnf.19.d.10,unknown,36000,No,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,unknown,36000,No,No
cc10_cnf.2.d.10,sat,0.29,No,No
cc10_cnf.2.p.10,sat,0.57,No,No
cc10_cnf.2.t.10,sat,0.47,No,No
cc10_cnf.20.d.10,sat,280.74,No,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,unknown,36000,No,No
cc10_cnf.3.d.10,sat,0.65,No,No
cc10_cnf.3.p.10,sat,1.18,No,No
cc10_cnf.3.t.10,sat,1.45,No,No
cc10_cnf.4.d.10,sat,1.3,No,No
cc10_cnf.4.p.10,sat,2.87,No,No
cc10_cnf.4.t.10,sat,3.65,No,No
cc10_cnf.5.d.10,sat,2.45,No,No
cc10_cnf.5.p.10,sat,4.7,No,No
cc10_cnf.5.t.10,sat,3.62,No,No
cc10_cnf.6.d.10,sat,3.25,No,No
cc10_cnf.6.p.10,sat,4.61,No,No
cc10_cnf.6.t.10,sat,6.0,No,No
cc10_cnf.7.d.10,sat,4.74,No,No
cc10_cnf.7.p.10,sat,7.69,No,No
cc10_cnf.7.t.10,sat,11.83,No,No
cc10_cnf.8.d.10,sat,8.31,No,No
cc10_cnf.8.p.10,sat,12.15,No,No
cc10_cnf.8.t.10,sat,54.45,No,No
cc10_cnf.9.d.10,sat,27.83,No,No
cc10_cnf.9.p.10,sat,22.82,No,No
cc10_cnf.9.t.10,sat,27.52,No,No
cc1_cnf.1.d.1,sat,0.04,No,No
cc1_cnf.1.p.1,sat,0.07,No,No
cc1_cnf.1.t.1,sat,0.06,No,No
cc1_cnf.10.d.1,sat,4.42,No,No
cc1_cnf.10.p.1,sat,7.02,No,No
cc1_cnf.10.t.1,sat,14.84,No,No
cc1_cnf.11.d.1,sat,5.42,No,No
cc1_cnf.11.p.1,sat,7.35,No,No
cc1_cnf.11.t.1,sat,8.71,No,No
cc1_cnf.12.d.1,sat,4.64,No,No
cc1_cnf.12.p.1,sat,24.56,No,No
cc1_cnf.12.t.1,sat,7.51,No,No
cc1_cnf.13.d.1,sat,5.19,No,No
