Instance,Result,Time,Best,Mono
cc10_cnf.10.d.10,sat,6.833763854,No,No
cc10_cnf.10.p.10,unknown,3600.062606468,No,No
cc10_cnf.10.t.10,sat,1283.405781763,No,No
cc10_cnf.11.d.10,sat,70.319024368,No,No
cc10_cnf.11.p.10,unknown,3600.040296562,No,No
cc10_cnf.11.t.10,sat,1078.536126143,No,No
cc10_cnf.12.d.10,sat,26.282922287,No,No
cc10_cnf.12.p.10,unknown,3600.027145852,No,No
cc10_cnf.12.t.10,sat,89.351938892,No,No
cc10_cnf.13.d.10,sat,160.626109672,No,No
cc10_cnf.13.p.10,unknown,3600.041732412,No,No
cc10_cnf.13.t.10,sat,160.989278490,No,No
cc10_cnf.14.d.10,sat,910.199851431,No,No
cc10_cnf.14.p.10,unknown,3600.066061560,No,No
cc10_cnf.14.t.10,sat,32.880365324,No,No
cc10_cnf.15.d.10,unknown,3600.030843735,No,No
cc10_cnf.15.p.10,unknown,3600.036728076,No,No
cc10_cnf.15.t.10,sat,462.906792185,No,No
cc10_cnf.16.d.10,sat,290.053973179,No,No
cc10_cnf.16.p.10,unknown,3600.068483198,No,No
cc10_cnf.16.t.10,sat,86.169381149,No,No
cc10_cnf.17.d.10,sat,1824.997141408,No,No
cc10_cnf.17.p.10,unknown,3600.074500016,No,No
cc10_cnf.17.t.10,unknown,3600.035682652,No,No
cc10_cnf.18.d.10,sat,102.441032091,No,No
cc10_cnf.18.p.10,unknown,3600.052019623,No,No
cc10_cnf.18.t.10,sat,87.942396421,No,No
cc10_cnf.19.d.10,sat,408.745118903,No,No
cc10_cnf.19.p.10,unknown,3600.046227567,No,No
cc10_cnf.19.t.10,sat,37.512097894,No,No
cc10_cnf.1.d.10,sat,0.033524609,No,No
cc10_cnf.1.p.10,sat,0.033033648,No,No
cc10_cnf.1.t.10,sat,0.032911007,No,No
cc10_cnf.20.d.10,sat,249.723591375,No,No
cc10_cnf.20.p.10,unknown,3600.059093949,No,No
cc10_cnf.20.t.10,sat,342.052824034,No,No
cc10_cnf.2.d.10,sat,0.064728516,No,No
cc10_cnf.2.p.10,sat,1.017549157,No,No
cc10_cnf.2.t.10,sat,0.064700274,No,No
cc10_cnf.3.d.10,sat,0.114797126,No,No
cc10_cnf.3.p.10,sat,0.415621871,No,No
cc10_cnf.3.t.10,sat,0.515785965,No,No
cc10_cnf.4.d.10,sat,0.365563084,No,No
cc10_cnf.4.p.10,sat,10.787947106,No,No
cc10_cnf.4.t.10,sat,3.574512051,No,No
cc10_cnf.5.d.10,sat,4.877423402,No,No
cc10_cnf.5.p.10,sat,6.582329780,No,No
cc10_cnf.5.t.10,sat,4.276132281,No,No
cc10_cnf.6.d.10,sat,2.923028200,No,No
cc10_cnf.6.p.10,sat,2.269920729,No,No
cc10_cnf.6.t.10,sat,5.080261814,No,No
cc10_cnf.7.d.10,sat,3.976345423,No,No
cc10_cnf.7.p.10,sat,346.144699900,No,No
cc10_cnf.7.t.10,sat,4.724705793,No,No
cc10_cnf.8.d.10,sat,10.544534615,No,No
cc10_cnf.8.p.10,sat,501.807791156,No,No
cc10_cnf.8.t.10,sat,9.945434282,No,No
cc10_cnf.9.d.10,sat,6.231216797,No,No
cc10_cnf.9.p.10,unknown,3600.040992822,No,No
cc10_cnf.9.t.10,sat,142.643004341,No,No
cc1_cnf.10.d.1,sat,0.366042639,No,No
cc1_cnf.10.p.1,sat,1.068156848,No,No
cc1_cnf.10.t.1,sat,0.516424975,No,No
cc1_cnf.11.d.1,sat,0.265785655,No,No
cc1_cnf.11.p.1,sat,2.620663356,No,No
cc1_cnf.11.t.1,sat,0.516588541,No,No
cc1_cnf.12.d.1,sat,0.266045274,No,No
cc1_cnf.12.p.1,sat,2.170062438,No,No
cc1_cnf.12.t.1,sat,0.365669964,No,No
cc1_cnf.13.d.1,sat,0.316133291,No,No
cc1_cnf.13.p.1,sat,0.716784104,No,No
cc1_cnf.13.t.1,sat,0.265084632,No,No
cc1_cnf.14.d.1,sat,0.265485432,No,No
cc1_cnf.14.p.1,sat,41.590063135,No,No
cc1_cnf.14.t.1,sat,0.415383049,No,No
cc1_cnf.15.d.1,sat,0.365886935,No,No
cc1_cnf.15.p.1,sat,1.417731599,No,No
cc1_cnf.15.t.1,sat,0.717812694,No,No
cc1_cnf.16.d.1,sat,0.466293074,No,No
cc1_cnf.16.p.1,sat,2.869222033,No,No
cc1_cnf.16.t.1,sat,1.018528405,No,No
cc1_cnf.17.d.1,sat,0.817520536,No,No
cc1_cnf.17.p.1,sat,7.085325218,No,No
cc1_cnf.17.t.1,sat,3.623990868,No,No
cc1_cnf.18.d.1,sat,0.417050401,No,No
cc1_cnf.18.p.1,sat,7.285605832,No,No
cc1_cnf.18.t.1,sat,0.767399814,No,No
cc1_cnf.19.d.1,sat,0.617355689,No,No
cc1_cnf.19.p.1,sat,10.742155378,No,No
cc1_cnf.19.t.1,sat,1.270085211,No,No
cc1_cnf.1.d.1,sat,0.016750615,No,No
cc1_cnf.1.p.1,sat,0.033525813,No,No
cc1_cnf.1.t.1,sat,0.033685706,No,No
cc1_cnf.20.d.1,sat,0.415152377,No,No
cc1_cnf.20.p.1,sat,2.470364453,No,No
cc1_cnf.20.t.1,sat,1.269526103,No,No
cc1_cnf.2.d.1,sat,0.032323082,No,No
cc1_cnf.2.p.1,sat,0.064623028,No,No
cc1_cnf.2.t.1,sat,0.065010392,No,No
cc1_cnf.3.d.1,sat,0.064865182,No,No
cc1_cnf.3.p.1,sat,1.670346368,No,No
cc1_cnf.3.t.1,sat,0.064524813,No,No
cc1_cnf.4.d.1,sat,0.566681470,No,No
cc1_cnf.4.p.1,sat,4.428316930,No,No
cc1_cnf.4.t.1,sat,0.266250976,No,No
cc1_cnf.5.d.1,sat,0.115143948,No,No
cc1_cnf.5.p.1,sat,2.070102181,No,No
cc1_cnf.5.t.1,sat,0.315918224,No,No
cc1_cnf.6.d.1,sat,0.165571594,No,No
cc1_cnf.6.p.1,sat,1.770181970,No,No
cc1_cnf.6.t.1,sat,1.268114028,No,No
cc1_cnf.7.d.1,sat,0.266067036,No,No
cc1_cnf.7.p.1,sat,1.768396869,No,No
cc1_cnf.7.t.1,sat,0.315230427,No,No
cc1_cnf.8.d.1,sat,0.215046916,No,No
cc1_cnf.8.p.1,sat,1.918862966,No,No
cc1_cnf.8.t.1,sat,0.966578274,No,No
cc1_cnf.9.d.1,sat,0.265620169,No,No
cc1_cnf.9.p.1,sat,1.367558463,No,No
cc1_cnf.9.t.1,sat,0.415400951,No,No
