Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.06,No,No
cc10_cnf.1.p.10,sat,0.12,No,No
cc10_cnf.1.t.10,sat,0.12,No,No
cc10_cnf.10.d.10,sat,12.81,No,No
cc10_cnf.10.p.10,sat,101.69,No,No
cc10_cnf.10.t.10,sat,229.36,No,No
cc10_cnf.11.d.10,sat,9.66,No,No
cc10_cnf.11.p.10,sat,51.28,No,No
cc10_cnf.11.t.10,sat,25.12,No,No
cc10_cnf.12.d.10,sat,28.14,No,No
cc10_cnf.12.p.10,sat,113.67,No,No
cc10_cnf.12.t.10,sat,51.37,No,No
cc10_cnf.13.d.10,sat,18.27,No,No
cc10_cnf.13.p.10,sat,32.31,Yes,No
cc10_cnf.13.t.10,sat,647.81,No,No
cc10_cnf.14.d.10,sat,36.26,No,No
cc10_cnf.14.p.10,sat,314.23,No,No
cc10_cnf.14.t.10,sat,58.53,No,No
cc10_cnf.15.d.10,sat,38.35,No,No
cc10_cnf.15.p.10,sat,61.69,Yes,No
cc10_cnf.15.t.10,sat,55.69,No,No
cc10_cnf.16.d.10,sat,17.01,No,No
cc10_cnf.16.p.10,sat,1022.28,No,No
cc10_cnf.16.t.10,sat,107.26,No,No
cc10_cnf.17.d.10,sat,148.46,No,No
cc10_cnf.17.p.10,sat,102.4,No,No
cc10_cnf.17.t.10,sat,348.38,No,No
cc10_cnf.18.d.10,sat,185.04,No,No
cc10_cnf.18.p.10,sat,350.75,No,No
cc10_cnf.18.t.10,sat,234.91,No,No
cc10_cnf.19.d.10,sat,45.63,No,No
cc10_cnf.19.p.10,sat,196.44,Yes,No
cc10_cnf.19.t.10,sat,1852.5,No,No
cc10_cnf.2.d.10,sat,0.17,No,No
cc10_cnf.2.p.10,sat,0.57,No,No
cc10_cnf.2.t.10,sat,0.28,No,No
cc10_cnf.20.d.10,sat,210.57,No,No
cc10_cnf.20.p.10,sat,2088.65,No,No
cc10_cnf.20.t.10,sat,677.48,No,No
cc10_cnf.3.d.10,sat,0.26,No,No
