Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.03,No,No
cc10_cnf.1.p.10,sat,0.07,No,No
cc10_cnf.1.t.10,sat,0.24,No,No
cc10_cnf.10.d.10,sat,36.77,No,No
cc10_cnf.10.p.10,sat,511.89,No,No
cc10_cnf.10.t.10,sat,697.68,No,No
cc10_cnf.11.d.10,sat,262.5,No,No
cc10_cnf.11.p.10,sat,2511.28,No,No
cc10_cnf.11.t.10,sat,140.59,No,No
cc10_cnf.12.d.10,sat,21.89,No,No
cc10_cnf.12.p.10,sat,371.6,No,No
cc10_cnf.12.t.10,sat,3506.64,No,No
cc10_cnf.13.d.10,sat,229.55,No,No
cc10_cnf.13.p.10,sat,752.43,No,No
cc10_cnf.13.t.10,unknown,36000,No,No
cc10_cnf.14.d.10,unknown,36000,No,No
cc10_cnf.14.p.10,unknown,36000,No,No
cc10_cnf.14.t.10,sat,480.47,No,No
cc10_cnf.15.d.10,sat,729.6,No,No
cc10_cnf.15.p.10,unknown,36000,No,No
cc10_cnf.15.t.10,unknown,36000,No,No
cc10_cnf.16.d.10,sat,2724.93,No,No
cc10_cnf.16.p.10,unknown,36000,No,No
cc10_cnf.16.t.10,unknown,36000,No,No
cc10_cnf.17.d.10,sat,581.48,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,sat,668.95,No,No
cc10_cnf.18.d.10,sat,292.74,No,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,unknown,36000,No,No
cc10_cnf.19.d.10,sat,1440.52,No,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,unknown,36000,No,No
cc10_cnf.2.d.10,sat,0.22,No,No
cc10_cnf.2.p.10,sat,7.9,No,No
cc10_cnf.2.t.10,sat,0.84,No,No
cc10_cnf.20.d.10,sat,779.79,No,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,unknown,36000,No,No
cc10_cnf.3.d.10,sat,2.91,No,No
cc10_cnf.3.p.10,sat,2.38,No,No
cc10_cnf.3.t.10,sat,1.63,No,No
cc10_cnf.4.d.10,sat,1.43,No,No
cc10_cnf.4.p.10,sat,8.83,No,No
cc10_cnf.4.t.10,sat,23.19,No,No
cc10_cnf.5.d.10,sat,3.54,No,No
cc10_cnf.5.p.10,sat,76.39,No,No
cc10_cnf.5.t.10,sat,196.5,No,No
cc10_cnf.6.d.10,sat,43.65,No,No
cc10_cnf.6.p.10,sat,20.2,No,No
cc10_cnf.6.t.10,sat,290.43,No,No
cc10_cnf.7.d.10,sat,155.71,No,No
cc10_cnf.7.p.10,sat,72.22,No,No
cc10_cnf.7.t.10,sat,75.61,No,No
cc10_cnf.8.d.10,sat,242.2,No,No
cc10_cnf.8.p.10,sat,493.4,No,No
cc10_cnf.8.t.10,sat,47.2,No,No
cc10_cnf.9.d.10,sat,35.94,No,No
cc10_cnf.9.p.10,sat,122.39,No,No
cc10_cnf.9.t.10,sat,642.74,No,No
cc1_cnf.1.d.1,sat,0.03,No,No
cc1_cnf.1.p.1,sat,0.04,No,No
cc1_cnf.1.t.1,sat,0.09,No,No
cc1_cnf.10.d.1,sat,10.33,No,No
cc1_cnf.10.p.1,sat,33.76,No,No
cc1_cnf.10.t.1,sat,69.35,No,No
cc1_cnf.11.d.1,sat,8.6,No,No
cc1_cnf.11.p.1,sat,90.56,No,No
cc1_cnf.11.t.1,sat,116.28,No,No
cc1_cnf.12.d.1,sat,42.15,No,No
cc1_cnf.12.p.1,sat,622.85,No,No
cc1_cnf.12.t.1,sat,22.96,No,No
cc1_cnf.13.d.1,sat,17.75,No,No
cc1_cnf.13.p.1,sat,68.44,No,No
cc1_cnf.13.t.1,sat,75.44,No,No
cc1_cnf.14.d.1,sat,17.54,No,No
cc1_cnf.14.p.1,sat,2155.65,No,No
cc1_cnf.14.t.1,sat,29.03,No,No
cc1_cnf.15.d.1,sat,440.91,No,No
cc1_cnf.15.p.1,sat,292.7,No,No
cc1_cnf.15.t.1,sat,137.83,No,No
cc1_cnf.16.d.1,sat,29.61,No,No
cc1_cnf.16.p.1,sat,173.33,No,No
cc1_cnf.16.t.1,sat,445.43,No,No
cc1_cnf.17.d.1,sat,37.66,No,No
cc1_cnf.17.p.1,sat,134.5,No,No
cc1_cnf.17.t.1,sat,30.78,No,No
cc1_cnf.18.d.1,sat,37.8,No,No
cc1_cnf.18.p.1,sat,2233.61,No,No
cc1_cnf.18.t.1,sat,146.08,No,No
cc1_cnf.19.d.1,sat,22.77,No,No
cc1_cnf.19.p.1,sat,1064.79,No,No
cc1_cnf.19.t.1,sat,214.5,No,No
cc1_cnf.2.d.1,sat,0.19,No,No
cc1_cnf.2.p.1,sat,0.29,No,No
cc1_cnf.2.t.1,sat,2.33,No,No
cc1_cnf.20.d.1,sat,110.74,No,No
cc1_cnf.20.p.1,sat,246.12,No,No
cc1_cnf.20.t.1,sat,524.1,No,No
cc1_cnf.3.d.1,sat,0.51,No,No
