Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.07,No,No
cc10_cnf.1.p.10,sat,0.09,No,No
cc10_cnf.1.t.10,sat,0.09,No,No
cc10_cnf.10.d.10,sat,26.82,No,No
cc10_cnf.10.p.10,sat,22.77,No,No
cc10_cnf.10.t.10,sat,24.03,No,No
cc10_cnf.11.d.10,sat,11.21,No,No
cc10_cnf.11.p.10,sat,14.38,Yes,No
cc10_cnf.11.t.10,sat,21.01,No,No
cc10_cnf.12.d.10,sat,19.05,No,No
cc10_cnf.12.p.10,sat,206.29,No,No
cc10_cnf.12.t.10,sat,48.88,No,No
cc10_cnf.13.d.10,sat,57.27,No,No
cc10_cnf.13.p.10,sat,46.51,No,No
cc10_cnf.13.t.10,sat,3122.06,No,No
cc10_cnf.14.d.10,sat,215.09,No,No
cc10_cnf.14.p.10,sat,473.02,No,No
cc10_cnf.14.t.10,sat,16.1,No,No
cc10_cnf.15.d.10,sat,113.08,No,No
cc10_cnf.15.p.10,sat,883.3,No,No
cc10_cnf.15.t.10,sat,1095.29,No,No
cc10_cnf.16.d.10,sat,83.73,No,No
cc10_cnf.16.p.10,unknown,36000,No,No
cc10_cnf.16.t.10,sat,516.09,No,No
cc10_cnf.17.d.10,sat,180.44,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,unknown,36000,No,No
cc10_cnf.18.d.10,unknown,36000,No,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,unknown,36000,No,No
cc10_cnf.19.d.10,sat,201.11,No,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,unknown,36000,No,No
cc10_cnf.2.d.10,sat,0.15,No,No
cc10_cnf.2.p.10,sat,0.32,No,No
cc10_cnf.2.t.10,sat,0.22,No,No
cc10_cnf.20.d.10,sat,670.52,No,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,unknown,36000,No,No
cc10_cnf.3.d.10,sat,0.27,No,No
cc10_cnf.3.p.10,sat,0.35,No,No
cc10_cnf.3.t.10,sat,0.36,No,No
cc10_cnf.4.d.10,sat,0.6,No,No
cc10_cnf.4.p.10,sat,1.19,No,No
cc10_cnf.4.t.10,sat,1.56,No,No
cc10_cnf.5.d.10,sat,0.94,No,No
cc10_cnf.5.p.10,sat,4.83,No,No
cc10_cnf.5.t.10,sat,1.91,No,No
cc10_cnf.6.d.10,sat,0.73,Yes,No
cc10_cnf.6.p.10,sat,4.13,No,No
cc10_cnf.6.t.10,sat,1.41,Yes,No
cc10_cnf.7.d.10,sat,1.43,Yes,No
cc10_cnf.7.p.10,sat,5.38,Yes,No
cc10_cnf.7.t.10,sat,4.01,No,No
cc10_cnf.8.d.10,sat,12.72,No,No
cc10_cnf.8.p.10,sat,15.93,No,No
cc10_cnf.8.t.10,sat,5.52,No,No
cc10_cnf.9.d.10,sat,8.33,No,No
cc10_cnf.9.p.10,sat,20.31,Yes,No
cc10_cnf.9.t.10,sat,7.49,No,No
cc1_cnf.1.d.1,sat,0.06,No,No
cc1_cnf.1.p.1,sat,0.08,No,No
cc1_cnf.1.t.1,sat,0.08,No,No
cc1_cnf.10.d.1,sat,2.1,No,No
cc1_cnf.10.p.1,sat,17.86,No,No
cc1_cnf.10.t.1,sat,24.46,No,No
cc1_cnf.11.d.1,sat,4.19,No,No
cc1_cnf.11.p.1,sat,9.98,No,No
cc1_cnf.11.t.1,sat,5.11,No,No
cc1_cnf.12.d.1,sat,15.41,No,No
cc1_cnf.12.p.1,sat,28.02,No,No
cc1_cnf.12.t.1,sat,5.3,No,No
cc1_cnf.13.d.1,sat,3.48,No,No
cc1_cnf.13.p.1,sat,32.85,No,No
cc1_cnf.13.t.1,sat,76.63,No,No
cc1_cnf.14.d.1,sat,6.3,No,No
cc1_cnf.14.p.1,sat,449.54,No,No
cc1_cnf.14.t.1,sat,34.58,No,No
cc1_cnf.15.d.1,sat,750.17,No,No
cc1_cnf.15.p.1,sat,631.23,No,No
cc1_cnf.15.t.1,sat,266.83,No,No
cc1_cnf.16.d.1,sat,174.34,No,No
cc1_cnf.16.p.1,sat,43.93,No,No
cc1_cnf.16.t.1,sat,151.91,No,No
cc1_cnf.17.d.1,sat,137.03,No,No
cc1_cnf.17.p.1,sat,340.65,No,No
cc1_cnf.17.t.1,sat,288.1,No,No
cc1_cnf.18.d.1,sat,167.46,No,No
cc1_cnf.18.p.1,unknown,36000,No,No
cc1_cnf.18.t.1,sat,995.75,No,No
cc1_cnf.19.d.1,sat,568.85,No,No
cc1_cnf.19.p.1,sat,629.06,No,No
cc1_cnf.19.t.1,unknown,36000,No,No
cc1_cnf.2.d.1,sat,0.1,No,No
cc1_cnf.2.p.1,sat,0.21,No,No
cc1_cnf.2.t.1,sat,0.33,No,No
cc1_cnf.20.d.1,sat,87.27,No,No
cc1_cnf.20.p.1,sat,1305.8,No,No
cc1_cnf.20.t.1,sat,1770.16,No,No
cc1_cnf.3.d.1,sat,0.15,No,No
cc1_cnf.3.p.1,sat,0.33,No,No
cc1_cnf.3.t.1,sat,0.31,No,No
cc1_cnf.4.d.1,sat,0.19,Yes,No
cc1_cnf.4.p.1,sat,0.53,No,No
cc1_cnf.4.t.1,sat,0.43,No,No
cc1_cnf.5.d.1,sat,0.45,No,No
cc1_cnf.5.p.1,sat,0.76,Yes,No
cc1_cnf.5.t.1,sat,0.65,No,No
cc1_cnf.6.d.1,sat,0.62,No,No
cc1_cnf.6.p.1,sat,1.91,No,No
cc1_cnf.6.t.1,sat,0.95,No,No
cc1_cnf.7.d.1,sat,0.66,No,No
cc1_cnf.7.p.1,sat,5.33,No,No
cc1_cnf.7.t.1,sat,36.67,No,No
cc1_cnf.8.d.1,sat,1.39,No,No
cc1_cnf.8.p.1,sat,3.14,No,No
cc1_cnf.8.t.1,sat,2.0,No,No
cc1_cnf.9.d.1,sat,1.53,No,No
cc1_cnf.9.p.1,sat,13.79,No,No
cc1_cnf.9.t.1,sat,2.54,No,No
