Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.14,No,No
cc10_cnf.1.p.10,sat,0.22,No,No
cc10_cnf.1.t.10,sat,0.25,No,No
cc10_cnf.10.d.10,sat,6.26,No,No
cc10_cnf.10.p.10,sat,60.53,No,No
cc10_cnf.10.t.10,sat,12.21,No,No
cc10_cnf.11.d.10,sat,12.27,No,No
cc10_cnf.11.p.10,sat,242.45,No,No
cc10_cnf.11.t.10,sat,24.64,No,No
cc10_cnf.12.d.10,sat,10.08,No,No
cc10_cnf.12.p.10,sat,419.48,No,No
cc10_cnf.12.t.10,sat,6.67,No,No
cc10_cnf.13.d.10,sat,6.06,Yes,No
cc10_cnf.13.p.10,sat,283.5,No,No
cc10_cnf.13.t.10,sat,17.44,Yes,No
cc10_cnf.14.d.10,sat,31.56,No,No
cc10_cnf.14.p.10,sat,1789.5,No,No
cc10_cnf.14.t.10,sat,17.91,No,No
cc10_cnf.15.d.10,sat,24.7,Yes,No
cc10_cnf.15.p.10,sat,2065.58,No,No
cc10_cnf.15.t.10,sat,63.22,No,No
cc10_cnf.16.d.10,sat,15.79,No,No
cc10_cnf.16.p.10,sat,2681.68,No,No
cc10_cnf.16.t.10,sat,27.74,No,No
cc10_cnf.17.d.10,sat,25.49,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,sat,44.99,No,No
cc10_cnf.18.d.10,sat,20.24,Yes,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,sat,23.62,No,No
cc10_cnf.19.d.10,sat,17.37,Yes,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,sat,18.03,Yes,No
cc10_cnf.2.d.10,sat,0.4,No,No
cc10_cnf.2.p.10,sat,0.68,No,No
cc10_cnf.2.t.10,sat,0.54,No,No
cc10_cnf.20.d.10,sat,26.74,Yes,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,sat,47.73,No,No
cc10_cnf.3.d.10,sat,0.56,No,No
cc10_cnf.3.p.10,sat,1.15,No,No
cc10_cnf.3.t.10,sat,0.99,No,No
cc10_cnf.4.d.10,sat,1.12,No,No
