Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.06,No,No
cc10_cnf.1.p.10,sat,0.09,No,No
cc10_cnf.1.t.10,sat,0.08,No,No
cc10_cnf.10.d.10,sat,16.66,No,No
cc10_cnf.10.p.10,unknown,36000,No,No
cc10_cnf.10.t.10,sat,254.14,No,No
cc10_cnf.11.d.10,sat,48.08,No,No
cc10_cnf.11.p.10,unknown,36000,No,No
cc10_cnf.11.t.10,sat,70.74,No,No
cc10_cnf.12.d.10,sat,13.37,No,No
cc10_cnf.12.p.10,unknown,36000,No,No
cc10_cnf.12.t.10,sat,208.03,No,No
cc10_cnf.13.d.10,sat,7.18,No,No
cc10_cnf.13.p.10,unknown,36000,No,No
cc10_cnf.13.t.10,sat,25.1,No,No
cc10_cnf.14.d.10,sat,735.95,No,No
cc10_cnf.14.p.10,unknown,36000,No,No
cc10_cnf.14.t.10,sat,63.73,No,No
cc10_cnf.15.d.10,sat,303.69,No,No
cc10_cnf.15.p.10,unknown,36000,No,No
cc10_cnf.15.t.10,sat,403.96,No,No
cc10_cnf.16.d.10,sat,492.58,No,No
cc10_cnf.16.p.10,unknown,36000,No,No
cc10_cnf.16.t.10,sat,20.62,Yes,No
cc10_cnf.17.d.10,sat,926.66,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,sat,528.77,No,No
cc10_cnf.18.d.10,sat,48.64,No,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,sat,84.41,No,No
cc10_cnf.19.d.10,sat,389.44,No,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,sat,87.38,No,No
cc10_cnf.2.d.10,sat,0.23,No,No
cc10_cnf.2.p.10,sat,0.38,No,No
cc10_cnf.2.t.10,sat,0.24,No,No
cc10_cnf.20.d.10,sat,327.3,No,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,sat,867.65,No,No
cc10_cnf.3.d.10,sat,0.34,No,No
cc10_cnf.3.p.10,sat,2.39,No,No
cc10_cnf.3.t.10,sat,0.98,No,No
cc10_cnf.4.d.10,sat,0.44,No,No
cc10_cnf.4.p.10,sat,12.8,No,No
cc10_cnf.4.t.10,sat,0.85,No,No
cc10_cnf.5.d.10,sat,1.95,No,No
cc10_cnf.5.p.10,sat,78.76,No,No
cc10_cnf.5.t.10,sat,5.63,No,No
cc10_cnf.6.d.10,sat,2.18,No,No
cc10_cnf.6.p.10,sat,16.94,No,No
cc10_cnf.6.t.10,sat,4.85,No,No
cc10_cnf.7.d.10,sat,4.85,No,No
cc10_cnf.7.p.10,sat,129.44,No,No
cc10_cnf.7.t.10,sat,17.33,No,No
cc10_cnf.8.d.10,sat,11.62,No,No
cc10_cnf.8.p.10,sat,1630.85,No,No
cc10_cnf.8.t.10,sat,33.59,No,No
cc10_cnf.9.d.10,sat,7.83,No,No
cc10_cnf.9.p.10,unknown,36000,No,No
cc10_cnf.9.t.10,sat,48.84,No,No
cc1_cnf.1.d.1,sat,0.08,No,No
cc1_cnf.1.p.1,sat,0.08,No,No
cc1_cnf.1.t.1,sat,0.09,No,No
cc1_cnf.10.d.1,sat,0.81,No,No
cc1_cnf.10.p.1,sat,4.97,No,No
cc1_cnf.10.t.1,sat,1.79,No,No
cc1_cnf.11.d.1,sat,1.28,No,No
cc1_cnf.11.p.1,sat,8.05,No,No
cc1_cnf.11.t.1,sat,4.37,No,No
cc1_cnf.12.d.1,sat,1.12,No,No
cc1_cnf.12.p.1,sat,3.71,No,No
cc1_cnf.12.t.1,sat,2.02,No,No
cc1_cnf.13.d.1,sat,1.2,No,No
cc1_cnf.13.p.1,sat,5.45,No,No
cc1_cnf.13.t.1,sat,1.76,No,No
cc1_cnf.14.d.1,sat,1.37,No,No
cc1_cnf.14.p.1,sat,19.97,No,No
cc1_cnf.14.t.1,sat,1.77,No,No
cc1_cnf.15.d.1,sat,1.68,No,No
cc1_cnf.15.p.1,sat,12.57,No,No
cc1_cnf.15.t.1,sat,1.96,No,No
cc1_cnf.16.d.1,sat,1.91,No,No
cc1_cnf.16.p.1,sat,13.37,No,No
cc1_cnf.16.t.1,sat,2.46,No,No
cc1_cnf.17.d.1,sat,1.97,No,No
cc1_cnf.17.p.1,sat,6.32,No,No
cc1_cnf.17.t.1,sat,3.63,No,No
cc1_cnf.18.d.1,sat,1.52,No,No
cc1_cnf.18.p.1,sat,5.85,No,No
cc1_cnf.18.t.1,sat,2.06,No,No
cc1_cnf.19.d.1,sat,1.64,No,No
cc1_cnf.19.p.1,sat,8.16,No,No
cc1_cnf.19.t.1,sat,3.33,No,No
cc1_cnf.2.d.1,sat,0.15,No,No
cc1_cnf.2.p.1,sat,0.22,No,No
cc1_cnf.2.t.1,sat,0.2,No,No
cc1_cnf.20.d.1,sat,2.79,No,No
cc1_cnf.20.p.1,sat,22.38,No,No
cc1_cnf.20.t.1,sat,1.62,No,No
cc1_cnf.3.d.1,sat,0.22,No,No
cc1_cnf.3.p.1,sat,1.19,No,No
cc1_cnf.3.t.1,sat,0.43,No,No
cc1_cnf.4.d.1,sat,0.37,No,No
cc1_cnf.4.p.1,sat,1.97,No,No
cc1_cnf.4.t.1,sat,0.58,No,No
cc1_cnf.5.d.1,sat,0.8,No,No
cc1_cnf.5.p.1,sat,3.27,No,No
cc1_cnf.5.t.1,sat,1.77,No,No
cc1_cnf.6.d.1,sat,0.49,No,No
cc1_cnf.6.p.1,sat,11.21,No,No
cc1_cnf.6.t.1,sat,2.28,No,No
cc1_cnf.7.d.1,sat,0.54,No,No
cc1_cnf.7.p.1,sat,1.79,No,No
cc1_cnf.7.t.1,sat,1.74,No,No
cc1_cnf.8.d.1,sat,1.02,No,No
cc1_cnf.8.p.1,sat,2.38,No,No
cc1_cnf.8.t.1,sat,3.47,No,No
cc1_cnf.9.d.1,sat,0.73,No,No
cc1_cnf.9.p.1,sat,11.98,No,No
cc1_cnf.9.t.1,sat,1.24,No,No
