Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.04,Yes,Yes
cc10_cnf.1.p.10,sat,0.09,Yes,Yes
cc10_cnf.1.t.10,sat,0.08,Yes,Yes
cc10_cnf.10.d.10,sat,22.69,Yes,Yes
cc10_cnf.10.p.10,sat,23.35,Yes,Yes
cc10_cnf.10.t.10,sat,29.86,Yes,Yes
cc10_cnf.11.d.10,sat,20.84,Yes,Yes
cc10_cnf.11.p.10,sat,48.73,Yes,Yes
cc10_cnf.11.t.10,sat,41.88,Yes,Yes
cc10_cnf.12.d.10,sat,18.38,Yes,Yes
cc10_cnf.12.p.10,sat,47.0,Yes,Yes
cc10_cnf.12.t.10,sat,40.32,Yes,Yes
cc10_cnf.13.d.10,sat,21.19,Yes,Yes
cc10_cnf.13.p.10,sat,58.88,Yes,Yes
cc10_cnf.13.t.10,sat,67.68,Yes,Yes
cc10_cnf.14.d.10,sat,48.28,Yes,Yes
cc10_cnf.14.p.10,sat,68.72,Yes,Yes
cc10_cnf.14.t.10,sat,54.92,Yes,Yes
cc10_cnf.15.d.10,sat,59.55,Yes,Yes
cc10_cnf.15.p.10,sat,69.64,Yes,Yes
cc10_cnf.15.t.10,sat,74.47,Yes,Yes
cc10_cnf.16.d.10,sat,38.7,Yes,Yes
cc10_cnf.16.p.10,sat,98.29,Yes,Yes
cc10_cnf.16.t.10,sat,145.66,Yes,Yes
cc10_cnf.17.d.10,sat,49.98,Yes,Yes
cc10_cnf.17.p.10,sat,94.8,Yes,Yes
cc10_cnf.17.t.10,sat,101.71,Yes,Yes
cc10_cnf.18.d.10,sat,62.62,Yes,Yes
cc10_cnf.18.p.10,sat,106.8,Yes,Yes
cc10_cnf.18.t.10,sat,109.25,Yes,Yes
cc10_cnf.19.d.10,sat,60.84,Yes,Yes
cc10_cnf.19.p.10,sat,159.47,Yes,Yes
cc10_cnf.19.t.10,sat,223.04,Yes,Yes
cc10_cnf.2.d.10,sat,0.2,Yes,Yes
cc10_cnf.2.p.10,sat,0.59,Yes,Yes
cc10_cnf.2.t.10,sat,0.42,Yes,Yes
cc10_cnf.20.d.10,sat,71.62,Yes,Yes
cc10_cnf.20.p.10,sat,209.82,Yes,Yes
