Instance,Result,Time,Best,Mono
cc10_cnf.1.d.10,sat,0.44,No,No
cc10_cnf.1.p.10,sat,0.39,No,No
cc10_cnf.1.t.10,sat,0.66,No,No
cc10_cnf.10.d.10,unknown,36000,No,No
cc10_cnf.10.p.10,unknown,36000,No,No
cc10_cnf.10.t.10,unknown,36000,No,No
cc10_cnf.11.d.10,unknown,36000,No,No
cc10_cnf.11.p.10,unknown,36000,No,No
cc10_cnf.11.t.10,unknown,36000,No,No
cc10_cnf.12.d.10,unknown,36000,No,No
cc10_cnf.12.p.10,unknown,36000,No,No
cc10_cnf.12.t.10,unknown,36000,No,No
cc10_cnf.13.d.10,unknown,36000,No,No
cc10_cnf.13.p.10,unknown,36000,No,No
cc10_cnf.13.t.10,unknown,36000,No,No
cc10_cnf.14.d.10,unknown,36000,No,No
cc10_cnf.14.p.10,unknown,36000,No,No
cc10_cnf.14.t.10,unknown,36000,No,No
cc10_cnf.15.d.10,unknown,36000,No,No
cc10_cnf.15.p.10,unknown,36000,No,No
cc10_cnf.15.t.10,unknown,36000,No,No
cc10_cnf.16.d.10,unknown,36000,No,No
cc10_cnf.16.p.10,unknown,36000,No,No
cc10_cnf.16.t.10,unknown,36000,No,No
cc10_cnf.17.d.10,unknown,36000,No,No
cc10_cnf.17.p.10,unknown,36000,No,No
cc10_cnf.17.t.10,unknown,36000,No,No
cc10_cnf.18.d.10,unknown,36000,No,No
cc10_cnf.18.p.10,unknown,36000,No,No
cc10_cnf.18.t.10,unknown,36000,No,No
cc10_cnf.19.d.10,unknown,36000,No,No
cc10_cnf.19.p.10,unknown,36000,No,No
cc10_cnf.19.t.10,unknown,36000,No,No
cc10_cnf.2.d.10,sat,0.74,No,No
cc10_cnf.2.p.10,sat,4.77,No,No
cc10_cnf.2.t.10,sat,46.78,No,No
cc10_cnf.20.d.10,unknown,36000,No,No
cc10_cnf.20.p.10,unknown,36000,No,No
cc10_cnf.20.t.10,unknown,36000,No,No
cc10_cnf.3.d.10,sat,13.18,No,No
cc10_cnf.3.p.10,sat,54.04,No,No
cc10_cnf.3.t.10,sat,24.24,No,No
cc10_cnf.4.d.10,sat,1538.19,No,No
cc10_cnf.4.p.10,unknown,36000,No,No
cc10_cnf.4.t.10,sat,344.24,No,No
cc10_cnf.5.d.10,sat,393.81,No,No
cc10_cnf.5.p.10,sat,3146.2,No,No
cc10_cnf.5.t.10,unknown,36000,No,No
cc10_cnf.6.d.10,sat,2460.99,No,No
cc10_cnf.6.p.10,unknown,36000,No,No
cc10_cnf.6.t.10,sat,3354.99,No,No
cc10_cnf.7.d.10,unknown,36000,No,No
cc10_cnf.7.p.10,unknown,36000,No,No
cc10_cnf.7.t.10,unknown,36000,No,No
cc10_cnf.8.d.10,unknown,36000,No,No
cc10_cnf.8.p.10,unknown,36000,No,No
cc10_cnf.8.t.10,unknown,36000,No,No
cc10_cnf.9.d.10,unknown,36000,No,No
cc10_cnf.9.p.10,unknown,36000,No,No
cc10_cnf.9.t.10,unknown,36000,No,No
cc1_cnf.1.d.1,sat,0.17,No,No
cc1_cnf.1.p.1,sat,0.24,No,No
cc1_cnf.1.t.1,sat,1.73,No,No
cc1_cnf.10.d.1,sat,450.41,No,No
cc1_cnf.10.p.1,unknown,36000,No,No
cc1_cnf.10.t.1,unknown,36000,No,No
cc1_cnf.11.d.1,unknown,36000,No,No
cc1_cnf.11.p.1,unknown,36000,No,No
cc1_cnf.11.t.1,unknown,36000,No,No
cc1_cnf.12.d.1,unknown,36000,No,No
cc1_cnf.12.p.1,unknown,36000,No,No
cc1_cnf.12.t.1,unknown,36000,No,No
cc1_cnf.13.d.1,unknown,36000,No,No
cc1_cnf.13.p.1,unknown,36000,No,No
cc1_cnf.13.t.1,unknown,36000,No,No
cc1_cnf.14.d.1,unknown,36000,No,No
cc1_cnf.14.p.1,unknown,36000,No,No
cc1_cnf.14.t.1,unknown,36000,No,No
cc1_cnf.15.d.1,unknown,36000,No,No
cc1_cnf.15.p.1,unknown,36000,No,No
cc1_cnf.15.t.1,unknown,36000,No,No
cc1_cnf.16.d.1,sat,3048.13,No,No
cc1_cnf.16.p.1,unknown,36000,No,No
cc1_cnf.16.t.1,unknown,36000,No,No
cc1_cnf.17.d.1,unknown,36000,No,No
cc1_cnf.17.p.1,unknown,36000,No,No
cc1_cnf.17.t.1,unknown,36000,No,No
cc1_cnf.18.d.1,unknown,36000,No,No
cc1_cnf.18.p.1,unknown,36000,No,No
cc1_cnf.18.t.1,unknown,36000,No,No
cc1_cnf.19.d.1,unknown,36000,No,No
cc1_cnf.19.p.1,unknown,36000,No,No
cc1_cnf.19.t.1,unknown,36000,No,No
cc1_cnf.2.d.1,sat,3.55,No,No
cc1_cnf.2.p.1,sat,2.48,No,No
cc1_cnf.2.t.1,sat,371.16,No,No
cc1_cnf.20.d.1,unknown,36000,No,No
cc1_cnf.20.p.1,unknown,36000,No,No
cc1_cnf.20.t.1,unknown,36000,No,No
cc1_cnf.3.d.1,sat,6.94,No,No
cc1_cnf.3.p.1,sat,11.43,No,No
cc1_cnf.3.t.1,sat,17.62,No,No
cc1_cnf.4.d.1,sat,198.37,No,No
cc1_cnf.4.p.1,sat,724.33,No,No
cc1_cnf.4.t.1,sat,195.44,No,No
cc1_cnf.5.d.1,sat,2710.05,No,No
cc1_cnf.5.p.1,sat,1251.26,No,No
cc1_cnf.5.t.1,unknown,36000,No,No
cc1_cnf.6.d.1,sat,260.26,No,No
cc1_cnf.6.p.1,sat,2436.96,No,No
cc1_cnf.6.t.1,unknown,36000,No,No
cc1_cnf.7.d.1,unknown,36000,No,No
cc1_cnf.7.p.1,sat,2913.0,No,No
cc1_cnf.7.t.1,unknown,36000,No,No
cc1_cnf.8.d.1,sat,643.87,No,No
cc1_cnf.8.p.1,unknown,36000,No,No
cc1_cnf.8.t.1,unknown,36000,No,No
cc1_cnf.9.d.1,unknown,36000,No,No
cc1_cnf.9.p.1,unknown,36000,No,No
cc1_cnf.9.t.1,unknown,36000,No,No
