Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.07,Yes,Yes
bio-diseasome-sat,sat,0.06,Yes,Yes
bio-dmela-sat,sat,0.21,Yes,Yes
bio-yeast-sat,sat,0.06,Yes,Yes
ca-AstroPh-sat,sat,1.06,Yes,Yes
ca-CSphd-sat,sat,0.07,Yes,Yes
ca-CondMat-sat,sat,1.12,Yes,Yes
ca-Erdos992-sat,sat,0.15,Yes,Yes
ca-GrQc-sat,sat,0.11,Yes,Yes
ca-HepPh-sat,sat,0.53,Yes,Yes
ca-MathSciNet-sat,sat,216.92,Yes,Yes
ca-citeseer-sat,sat,101.59,Yes,Yes
ca-coauthors-dblp-sat,sat,579.94,Yes,Yes
ca-dblp-2010-sat,sat,100.74,Yes,Yes
ca-dblp-2012-sat,sat,197.32,Yes,Yes
ca-hollywood-2009-sat,sat,2277.7,Yes,Yes
ca-netscience-sat,sat,0.06,Yes,Yes
ia-email-EU-sat,sat,2.38,Yes,Yes
ia-email-univ-sat,sat,0.07,Yes,Yes
ia-enron-large-sat,sat,2.95,Yes,Yes
ia-enron-only-sat,sat,0.06,Yes,Yes
ia-fb-messages-sat,sat,0.07,Yes,Yes
ia-infect-dublin-sat,sat,0.06,Yes,Yes
ia-infect-hyper-sat,sat,0.07,Yes,Yes
ia-reality-sat,sat,0.17,Yes,Yes
ia-wiki-Talk-sat,sat,18.16,Yes,Yes
inf-power-sat,sat,0.12,Yes,Yes
inf-road-usa-sat,unknown,7200,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,sat,2301.81,Yes,Yes
rec-amazon-sat,sat,16.77,Yes,Yes
rt-retweet-crawl-sat,sat,2424.99,Yes,Yes
rt-retweet-sat,sat,0.06,Yes,Yes
rt-twitter-copen-sat,sat,0.07,Yes,Yes
sc-ldoor-sat,sat,1791.37,Yes,Yes
sc-msdoor-sat,sat,340.2,Yes,Yes
sc-pkustk11-sat,sat,16.52,Yes,Yes
scc_enron-only-sat,sat,0.06,Yes,Yes
scc_fb-forum-sat,sat,0.16,Yes,Yes
scc_fb-messages-sat,sat,1.78,Yes,Yes
scc_infect-dublin-sat,sat,0.58,Yes,Yes
scc_infect-hyper-sat,sat,0.07,Yes,Yes
scc_reality-sat,sat,2.63,Yes,Yes
scc_retweet-crawl-sat,sat,2046.73,Yes,Yes
scc_retweet-sat,sat,0.91,Yes,Yes
scc_rt_alwefaq-sat,sat,0.12,Yes,Yes
scc_rt_assad-sat,sat,0.07,Yes,Yes
scc_rt_bahrain-sat,sat,0.13,Yes,Yes
scc_rt_barackobama-sat,sat,0.37,Yes,Yes
scc_rt_damascus-sat,sat,0.09,Yes,Yes
scc_rt_dash-sat,sat,0.17,Yes,Yes
scc_rt_gmanews-sat,sat,0.39,Yes,Yes
scc_rt_gop-sat,sat,0.11,Yes,Yes
scc_rt_http-sat,sat,0.15,Yes,Yes
scc_rt_israel-sat,sat,0.1,Yes,Yes
scc_rt_justinbieber-sat,sat,0.37,Yes,Yes
scc_rt_ksa-sat,sat,0.16,Yes,Yes
scc_rt_lebanon-sat,sat,0.09,Yes,Yes
scc_rt_libya-sat,sat,0.14,Yes,Yes
scc_rt_lolgop-sat,sat,0.22,Yes,Yes
scc_rt_mittromney-sat,sat,0.27,Yes,Yes
scc_rt_obama-sat,sat,0.08,Yes,Yes
scc_rt_occupy-sat,sat,0.09,Yes,Yes
scc_rt_occupywallstnyc-sat,sat,0.14,Yes,Yes
scc_rt_oman-sat,sat,0.12,Yes,Yes
scc_rt_onedirection-sat,sat,0.24,Yes,Yes
scc_rt_p2-sat,sat,0.13,Yes,Yes
scc_rt_qatif-sat,sat,0.19,Yes,Yes
scc_rt_saudi-sat,sat,0.2,Yes,Yes
scc_rt_tcot-sat,sat,0.13,Yes,Yes
scc_rt_tlot-sat,sat,0.1,Yes,Yes
scc_rt_uae-sat,sat,0.13,Yes,Yes
scc_rt_voteonedirection-sat,sat,0.08,Yes,Yes
scc_twitter-copen-sat,sat,2.57,Yes,Yes
soc-BlogCatalog-sat,sat,17.14,Yes,Yes
soc-FourSquare-sat,sat,799.49,Yes,Yes
soc-LiveMocha-sat,sat,23.2,Yes,Yes
soc-brightkite-sat,sat,6.9,Yes,Yes
soc-buzznet-sat,sat,22.16,Yes,Yes
soc-delicious-sat,sat,560.92,Yes,Yes
soc-digg-sat,sat,1169.09,Yes,Yes
soc-dolphins-sat,sat,0.06,Yes,Yes
soc-douban-sat,sat,47.12,Yes,Yes
soc-epinions-sat,sat,1.66,Yes,Yes
soc-flickr-sat,sat,517.74,Yes,Yes
soc-flixster-sat,unknown,7200,No,No
soc-gowalla-sat,sat,76.25,Yes,Yes
soc-karate-sat,sat,0.06,Yes,Yes
soc-lastfm-sat,sat,2790.05,Yes,Yes
soc-livejournal-sat,unknown,7200,No,No
soc-slashdot-sat,sat,11.12,Yes,Yes
soc-twitter-follows-sat,sat,319.85,Yes,Yes
soc-wiki-Vote-sat,sat,0.06,Yes,Yes
soc-youtube-sat,sat,481.87,Yes,Yes
soc-youtube-snap-sat,sat,2525.41,Yes,Yes
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
tech-RL-caida-sat,sat,71.97,Yes,Yes
tech-WHOIS-sat,sat,0.32,Yes,Yes
tech-as-caida2007-sat,sat,2.02,Yes,Yes
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,3.85,Yes,Yes
tech-p2p-gnutella-sat,sat,8.03,Yes,Yes
