Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.011095075,No,No
bio-diseasome-sat,sat,0.00539651,No,No
bio-dmela-sat,sat,1.524487091,No,No
bio-yeast-sat,sat,0.030088736,No,No
ca-AstroPh-sat,sat,34.157790694,No,No
ca-citeseer-sat,unknown,7200,No,No
ca-coauthors-dblp-sat,unknown,7200,No,No
ca-CondMat-sat,sat,60.990730934,No,No
ca-CSphd-sat,sat,0.03135003,No,No
ca-dblp-2010-sat,unknown,7200,No,No
ca-dblp-2012-sat,unknown,7200,No,No
ca-Erdos992-sat,sat,0.176034743,No,No
ca-GrQc-sat,sat,0.848414014,No,No
ca-HepPh-sat,sat,27.330386446,No,No
ca-hollywood-2009-sat,unknown,7200,No,No
ca-MathSciNet-sat,unknown,7200,No,No
ca-netscience-sat,sat,0.002881183,No,No
ia-email-EU-sat,sat,5.25193154,No,No
ia-email-univ-sat,sat,0.031060268,No,No
ia-enron-large-sat,sat,85.077864587,No,No
ia-enron-only-sat,sat,0.001578406,No,No
ia-fb-messages-sat,sat,0.041425992,No,No
ia-infect-dublin-sat,sat,0.006394794,No,No
ia-infect-hyper-sat,sat,0.004821757,No,No
ia-reality-sat,sat,0.228110194,No,No
ia-wiki-Talk-sat,sat,292.804240573,No,No
inf-power-sat,sat,1.626603543,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,unknown,7200,No,No
inf-road-usa-sat,unknown,7200,No,No
rec-amazon-sat,unknown,7200,No,No
rt-retweet-crawl-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.000548225,No,No
rt-twitter-copen-sat,sat,0.007079283,No,No
scc_enron-only-sat,sat,0.018659784,No,No
scc_fb-forum-sat,sat,0.362359654,No,No
scc_fb-messages-sat,sat,2.534688603,No,No
scc_infect-dublin-sat,sat,7.709490185,No,No
scc_infect-hyper-sat,sat,0.007078118,No,No
scc_reality-sat,sat,6.612575674,No,No
scc_retweet-crawl-sat,sat,849.848396199,No,No
scc_retweet-sat,sat,0.551430213,No,No
scc_rt_alwefaq-sat,sat,0.017194493,No,No
scc_rt_assad-sat,sat,0.004192347,No,No
scc_rt_bahrain-sat,sat,0.015120156,No,No
scc_rt_barackobama-sat,sat,0.061703296,No,No
scc_rt_damascus-sat,sat,0.007818947,No,No
scc_rt_dash-sat,sat,0.029075588,No,No
scc_rt_gmanews-sat,sat,0.049486763,No,No
scc_rt_gop-sat,sat,0.011664907,No,No
scc_rt_http-sat,sat,0.026343132,No,No
scc_rt_israel-sat,sat,0.014017858,No,No
scc_rt_justinbieber-sat,sat,0.054284151,No,No
scc_rt_ksa-sat,sat,0.027057612,No,No
scc_rt_lebanon-sat,sat,0.009730399,No,No
scc_rt_libya-sat,sat,0.0204999,No,No
scc_rt_lolgop-sat,sat,0.073811074,No,No
scc_rt_mittromney-sat,sat,0.043817998,No,No
scc_rt_obama-sat,sat,0.008036836,No,No
scc_rt_occupy-sat,sat,0.008714924,No,No
scc_rt_occupywallstnyc-sat,sat,0.013335011,No,No
scc_rt_oman-sat,sat,0.016584385,No,No
scc_rt_onedirection-sat,sat,0.047433981,No,No
scc_rt_p2-sat,sat,0.018605667,No,No
scc_rt_qatif-sat,sat,0.036894665,No,No
scc_rt_saudi-sat,sat,0.033528223,No,No
scc_rt_tcot-sat,sat,0.016927922,No,No
scc_rt_tlot-sat,sat,0.010575183,No,No
scc_rt_uae-sat,sat,0.018730738,No,No
scc_rt_voteonedirection-sat,sat,0.003288212,No,No
scc_twitter-copen-sat,sat,3.154606721,No,No
sc-ldoor-sat,unknown,7200,No,No
sc-msdoor-sat,unknown,7200,No,No
sc-pkustk11-sat,unknown,7200,No,No
soc-BlogCatalog-sat,sat,555.74892215,No,No
soc-brightkite-sat,sat,569.996664701,No,No
soc-buzznet-sat,unknown,7200,No,No
soc-delicious-sat,unknown,7200,No,No
soc-digg-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.000405183,No,No
soc-douban-sat,sat,23.764668514,No,No
soc-epinions-sat,sat,88.588368848,No,No
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
soc-flickr-sat,unknown,7200,No,No
soc-flixster-sat,unknown,7200,No,No
soc-FourSquare-sat,unknown,7200,No,No
soc-gowalla-sat,unknown,7200,No,No
soc-karate-sat,sat,0.000417483,No,No
soc-lastfm-sat,sat,3204.235700504,No,No
soc-livejournal-sat,unknown,7200,No,No
soc-LiveMocha-sat,unknown,7200,No,No
soc-slashdot-sat,sat,600.479751152,No,No
soc-twitter-follows-sat,sat,299.102392593,No,No
soc-wiki-Vote-sat,sat,0.015846277,No,No
soc-youtube-sat,unknown,7200,No,No
soc-youtube-snap-sat,unknown,7200,No,No
tech-as-caida2007-sat,sat,5.986754694,No,No
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,26.044901814,No,No
tech-p2p-gnutella-sat,sat,30.67864108,No,No
tech-RL-caida-sat,unknown,7200,No,No
tech-routers-rf-sat,sat,0.054385181,No,No
tech-WHOIS-sat,sat,0.665969621,No,No
web-arabic-2005-sat,unknown,7200,No,No
web-BerkStan-sat,sat,54.879279107,No,No
web-edu-sat,sat,0.705147122,No,No
web-google-sat,sat,0.023958104,No,No
web-indochina-2004-sat,sat,109.82913845,No,No
web-it-2004-sat,unknown,7200,No,No
web-polblogs-sat,sat,0.009874833,No,No
web-sk-2005-sat,unknown,7200,No,No
web-spam-sat,sat,1.459530344,No,No
web-uk-2005-sat,sat,44.876889871,No,No
web-webbase-2001-sat,unknown,7200,No,No
web-wikipedia2009-sat,unknown,7200,No,No
