Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.009588215,No,No
bio-diseasome-sat,sat,0.004900539,No,No
bio-dmela-sat,sat,1.467199425,No,No
bio-yeast-sat,sat,0.03510311,No,No
ca-AstroPh-sat,sat,49.286131868,No,No
ca-citeseer-sat,unknown,7200,No,No
ca-coauthors-dblp-sat,unknown,7200,No,No
ca-CondMat-sat,sat,67.304567419,No,No
ca-CSphd-sat,sat,0.047264425,No,No
ca-dblp-2010-sat,unknown,7200,No,No
ca-dblp-2012-sat,unknown,7200,No,No
ca-Erdos992-sat,sat,0.290752528,No,No
ca-GrQc-sat,sat,1.152624135,No,No
ca-HepPh-sat,sat,27.514575195,No,No
ca-hollywood-2009-sat,unknown,7200,No,No
ca-MathSciNet-sat,unknown,7200,No,No
ca-netscience-sat,sat,0.001644082,No,No
ia-email-EU-sat,sat,6.177205574,No,No
ia-email-univ-sat,sat,0.034978173,No,No
ia-enron-large-sat,sat,102.675365201,No,No
ia-enron-only-sat,sat,0.001070911,No,No
ia-fb-messages-sat,sat,0.039826498,No,No
ia-infect-dublin-sat,sat,0.004041481,No,No
ia-infect-hyper-sat,sat,0.001778859,No,No
ia-reality-sat,sat,0.32122133,No,No
ia-wiki-Talk-sat,sat,303.383590014,No,No
inf-power-sat,sat,2.408194693,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,unknown,7200,No,No
inf-road-usa-sat,unknown,7200,No,No
rec-amazon-sat,unknown,7200,No,No
rt-retweet-crawl-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.000531803,No,No
rt-twitter-copen-sat,sat,0.006523805,No,No
scc_enron-only-sat,sat,0.004781714,No,No
scc_fb-forum-sat,sat,0.05424775,No,No
scc_fb-messages-sat,sat,0.585381465,No,No
scc_infect-dublin-sat,sat,11.008865762,No,No
scc_infect-hyper-sat,sat,0.011475986,No,No
scc_reality-sat,sat,4.869119469,No,No
scc_retweet-crawl-sat,sat,1253.196285186,No,No
scc_retweet-sat,sat,2.414056772,No,No
scc_rt_alwefaq-sat,sat,0.118537323,No,No
scc_rt_assad-sat,sat,0.03140648,No,No
scc_rt_bahrain-sat,sat,0.149064173,No,No
scc_rt_barackobama-sat,sat,0.606477601,No,No
scc_rt_damascus-sat,sat,0.061957327,No,No
scc_rt_dash-sat,sat,0.256840853,No,No
scc_rt_gmanews-sat,sat,0.472483355,No,No
scc_rt_gop-sat,sat,0.095329901,No,No
scc_rt_http-sat,sat,0.231705598,No,No
scc_rt_israel-sat,sat,0.095183027,No,No
scc_rt_justinbieber-sat,sat,0.5911689,No,No
scc_rt_ksa-sat,sat,0.225120732,No,No
scc_rt_lebanon-sat,sat,0.079883573,No,No
scc_rt_libya-sat,sat,0.11851747,No,No
scc_rt_lolgop-sat,sat,0.671773382,No,No
scc_rt_mittromney-sat,sat,0.418351323,No,No
scc_rt_obama-sat,sat,0.064455599,No,No
scc_rt_occupy-sat,sat,0.071178194,No,No
scc_rt_occupywallstnyc-sat,sat,0.092958959,No,No
scc_rt_oman-sat,sat,0.134355094,No,No
scc_rt_onedirection-sat,sat,0.401265319,No,No
scc_rt_p2-sat,sat,0.155982936,No,No
scc_rt_qatif-sat,sat,0.320495395,No,No
scc_rt_saudi-sat,sat,0.331093297,No,No
scc_rt_tcot-sat,sat,0.100074867,No,No
scc_rt_tlot-sat,sat,0.085529471,No,No
scc_rt_uae-sat,sat,0.154573186,No,No
scc_rt_voteonedirection-sat,sat,0.024384141,No,No
scc_twitter-copen-sat,sat,1.036869873,No,No
sc-ldoor-sat,unknown,7200,No,No
sc-msdoor-sat,unknown,7200,No,No
sc-pkustk11-sat,unknown,7200,No,No
soc-BlogCatalog-sat,sat,599.765034975,No,No
soc-brightkite-sat,sat,750.042053763,No,No
soc-buzznet-sat,unknown,7200,No,No
soc-delicious-sat,unknown,7200,No,No
soc-digg-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.000448777,No,No
soc-douban-sat,sat,1.769652226,No,No
soc-epinions-sat,sat,116.101543285,No,No
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
soc-flickr-sat,unknown,7200,No,No
soc-flixster-sat,unknown,7200,No,No
soc-FourSquare-sat,unknown,7200,No,No
soc-gowalla-sat,unknown,7200,No,No
soc-karate-sat,sat,0.000380014,No,No
soc-lastfm-sat,sat,2476.417361303,No,No
soc-livejournal-sat,unknown,7200,No,No
soc-LiveMocha-sat,unknown,7200,No,No
soc-slashdot-sat,sat,480.336982704,No,No
soc-twitter-follows-sat,sat,0.798290452,No,No
soc-wiki-Vote-sat,sat,0.02809834,No,No
soc-youtube-sat,unknown,7200,No,No
soc-youtube-snap-sat,unknown,7200,No,No
tech-as-caida2007-sat,sat,5.662869494,No,No
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,21.624734712,No,No
tech-p2p-gnutella-sat,sat,34.732341293,No,No
tech-RL-caida-sat,unknown,7200,No,No
tech-routers-rf-sat,sat,0.052568616,No,No
tech-WHOIS-sat,sat,0.560079798,No,No
web-arabic-2005-sat,unknown,7200,No,No
web-BerkStan-sat,sat,207.120696954,No,No
web-edu-sat,sat,1.163205448,No,No
web-google-sat,sat,0.023629936,No,No
web-indochina-2004-sat,sat,113.111401904,No,No
web-it-2004-sat,unknown,7200,No,No
web-polblogs-sat,sat,0.006928086,No,No
web-sk-2005-sat,unknown,7200,No,No
web-spam-sat,sat,1.858346862,No,No
web-uk-2005-sat,sat,10.519869179,No,No
web-webbase-2001-sat,unknown,7200,No,No
web-wikipedia2009-sat,unknown,7200,No,No
