Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.007210214,No,No
bio-diseasome-sat,sat,0.006522393,No,No
bio-dmela-sat,sat,3.788150968,No,No
bio-yeast-sat,sat,0.024023364,No,No
ca-AstroPh-sat,sat,40.754758793,No,No
ca-citeseer-sat,unknown,7200,No,No
ca-coauthors-dblp-sat,unknown,7200,No,No
ca-CondMat-sat,sat,10.263533436,No,No
ca-CSphd-sat,sat,0.040866254,No,No
ca-dblp-2010-sat,unknown,7200,No,No
ca-dblp-2012-sat,unknown,7200,No,No
ca-Erdos992-sat,sat,0.199788972,No,No
ca-GrQc-sat,sat,0.311721863,No,No
ca-HepPh-sat,sat,5.048510168,No,No
ca-hollywood-2009-sat,unknown,7200,No,No
ca-MathSciNet-sat,unknown,7200,No,No
ca-netscience-sat,sat,0.003071514,No,No
ia-email-EU-sat,sat,7.197733783,No,No
ia-email-univ-sat,sat,0.080189537,No,No
ia-enron-large-sat,sat,85.393646828,No,No
ia-enron-only-sat,sat,0.001438356,No,No
ia-fb-messages-sat,sat,0.063074189,No,No
ia-infect-dublin-sat,sat,0.00935267,No,No
ia-infect-hyper-sat,sat,0.004649483,No,No
ia-reality-sat,sat,0.339129502,No,No
ia-wiki-Talk-sat,sat,202.246056613,No,No
inf-power-sat,sat,1.08237025,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,unknown,7200,No,No
inf-road-usa-sat,unknown,7200,No,No
rec-amazon-sat,unknown,7200,No,No
rt-retweet-crawl-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.000622758,No,No
rt-twitter-copen-sat,sat,0.007605154,No,No
scc_enron-only-sat,sat,0.018735658,No,No
scc_fb-forum-sat,sat,0.338748234,No,No
scc_fb-messages-sat,sat,2.745347344,No,No
scc_infect-dublin-sat,sat,6.487131057,No,No
scc_infect-hyper-sat,sat,0.007166633,No,No
scc_reality-sat,sat,5.24234302,No,No
scc_retweet-crawl-sat,sat,868.910893152,No,No
scc_retweet-sat,sat,0.602293255,No,No
scc_rt_alwefaq-sat,sat,0.015694959,No,No
scc_rt_assad-sat,sat,0.004277315,No,No
scc_rt_bahrain-sat,sat,0.015799362,No,No
scc_rt_barackobama-sat,sat,0.062279149,No,No
scc_rt_damascus-sat,sat,0.007854582,No,No
scc_rt_dash-sat,sat,0.029045714,No,No
scc_rt_gmanews-sat,sat,0.060558013,No,No
scc_rt_gop-sat,sat,0.011656452,No,No
scc_rt_http-sat,sat,0.023655788,No,No
scc_rt_israel-sat,sat,0.011638961,No,No
scc_rt_justinbieber-sat,sat,0.070435781,No,No
scc_rt_ksa-sat,sat,0.025120969,No,No
scc_rt_lebanon-sat,sat,0.009750987,No,No
scc_rt_libya-sat,sat,0.021349075,No,No
scc_rt_lolgop-sat,sat,0.087465975,No,No
scc_rt_mittromney-sat,sat,0.038793863,No,No
scc_rt_obama-sat,sat,0.008045204,No,No
scc_rt_occupy-sat,sat,0.009208123,No,No
scc_rt_occupywallstnyc-sat,sat,0.013636571,No,No
scc_rt_oman-sat,sat,0.017272881,No,No
scc_rt_onedirection-sat,sat,0.048109305,No,No
scc_rt_p2-sat,sat,0.019302169,No,No
scc_rt_qatif-sat,sat,0.032868526,No,No
scc_rt_saudi-sat,sat,0.037683716,No,No
scc_rt_tcot-sat,sat,0.01635825,No,No
scc_rt_tlot-sat,sat,0.010555263,No,No
scc_rt_uae-sat,sat,0.01883291,No,No
scc_rt_voteonedirection-sat,sat,0.003327619,No,No
scc_twitter-copen-sat,sat,3.653588376,No,No
sc-ldoor-sat,unknown,7200,No,No
sc-msdoor-sat,unknown,7200,No,No
sc-pkustk11-sat,unknown,7200,No,No
soc-BlogCatalog-sat,sat,384.661468409,No,No
soc-brightkite-sat,sat,592.784331428,No,No
soc-buzznet-sat,unknown,7200,No,No
soc-delicious-sat,unknown,7200,No,No
soc-digg-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.000590663,No,No
soc-douban-sat,sat,23.389718528,No,No
soc-epinions-sat,sat,218.545097189,No,No
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
soc-flickr-sat,unknown,7200,No,No
soc-flixster-sat,unknown,7200,No,No
soc-FourSquare-sat,unknown,7200,No,No
soc-gowalla-sat,unknown,7200,No,No
soc-karate-sat,sat,0.000441416,No,No
soc-lastfm-sat,sat,3024.241652574,No,No
soc-livejournal-sat,unknown,7200,No,No
soc-LiveMocha-sat,unknown,7200,No,No
soc-slashdot-sat,sat,631.587583936,No,No
soc-twitter-follows-sat,sat,340.057389074,No,No
soc-wiki-Vote-sat,sat,0.017358037,No,No
soc-youtube-sat,unknown,7200,No,No
soc-youtube-snap-sat,unknown,7200,No,No
tech-as-caida2007-sat,sat,7.417465927,No,No
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,16.949032349,No,No
