Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.003730845,No,No
bio-diseasome-sat,sat,0.005002022,No,No
bio-dmela-sat,sat,3.61918534,No,No
bio-yeast-sat,sat,0.021907367,No,No
ca-AstroPh-sat,sat,39.993233168,No,No
ca-citeseer-sat,unknown,7200,No,No
ca-coauthors-dblp-sat,unknown,7200,No,No
ca-CondMat-sat,sat,9.838225211,No,No
ca-CSphd-sat,sat,0.045456969,No,No
ca-dblp-2010-sat,unknown,7200,No,No
ca-dblp-2012-sat,unknown,7200,No,No
ca-Erdos992-sat,sat,0.25481768,No,No
ca-GrQc-sat,sat,0.290284374,No,No
ca-HepPh-sat,sat,4.512947733,No,No
ca-hollywood-2009-sat,unknown,7200,No,No
ca-MathSciNet-sat,unknown,7200,No,No
ca-netscience-sat,sat,0.002356924,No,No
ia-email-EU-sat,sat,6.928780524,No,No
ia-email-univ-sat,sat,0.087883049,No,No
ia-enron-large-sat,sat,84.68868442,No,No
ia-enron-only-sat,sat,0.000683124,No,No
ia-fb-messages-sat,sat,0.05599645,No,No
ia-infect-dublin-sat,sat,0.005873422,No,No
ia-infect-hyper-sat,sat,0.001641154,No,No
ia-reality-sat,sat,0.341086517,No,No
ia-wiki-Talk-sat,sat,197.723568145,No,No
inf-power-sat,sat,1.091725615,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,unknown,7200,No,No
inf-road-usa-sat,unknown,7200,No,No
rec-amazon-sat,unknown,7200,No,No
rt-retweet-crawl-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.000427182,No,No
rt-twitter-copen-sat,sat,0.005333467,No,No
scc_enron-only-sat,sat,0.003203691,No,No
scc_fb-forum-sat,sat,0.035543961,No,No
scc_fb-messages-sat,sat,0.350797445,No,No
scc_infect-dublin-sat,sat,6.129127354,No,No
scc_infect-hyper-sat,sat,0.002136684,No,No
scc_reality-sat,sat,3.289869636,No,No
scc_retweet-crawl-sat,sat,127.152572676,No,No
scc_retweet-sat,sat,2.309677642,No,No
scc_rt_alwefaq-sat,sat,0.130263392,No,No
scc_rt_assad-sat,sat,0.027090892,No,No
scc_rt_bahrain-sat,sat,0.142580871,No,No
scc_rt_barackobama-sat,sat,0.605181937,No,No
scc_rt_damascus-sat,sat,0.057586148,No,No
scc_rt_dash-sat,sat,0.262787389,No,No
scc_rt_gmanews-sat,sat,0.465240695,No,No
scc_rt_gop-sat,sat,0.11048786,No,No
scc_rt_http-sat,sat,0.240499049,No,No
scc_rt_israel-sat,sat,0.108765705,No,No
scc_rt_justinbieber-sat,sat,0.562399561,No,No
scc_rt_ksa-sat,sat,0.245564126,No,No
scc_rt_lebanon-sat,sat,0.073803274,No,No
scc_rt_libya-sat,sat,0.15485774,No,No
scc_rt_lolgop-sat,sat,0.590372766,No,No
scc_rt_mittromney-sat,sat,0.41454651,No,No
scc_rt_obama-sat,sat,0.065433012,No,No
scc_rt_occupy-sat,sat,0.074973156,No,No
scc_rt_occupywallstnyc-sat,sat,0.081806475,No,No
scc_rt_oman-sat,sat,0.15635995,No,No
scc_rt_onedirection-sat,sat,0.360047524,No,No
scc_rt_p2-sat,sat,0.176659842,No,No
scc_rt_qatif-sat,sat,0.318493716,No,No
scc_rt_saudi-sat,sat,0.325099831,No,No
scc_rt_tcot-sat,sat,0.146175114,No,No
scc_rt_tlot-sat,sat,0.098505248,No,No
scc_rt_uae-sat,sat,0.140713917,No,No
scc_rt_voteonedirection-sat,sat,0.026447348,No,No
scc_twitter-copen-sat,sat,0.820733631,No,No
sc-ldoor-sat,unknown,7200,No,No
sc-msdoor-sat,unknown,7200,No,No
sc-pkustk11-sat,unknown,7200,No,No
soc-BlogCatalog-sat,sat,603.880198803,No,No
soc-brightkite-sat,sat,693.242540725,No,No
soc-buzznet-sat,unknown,7200,No,No
soc-delicious-sat,unknown,7200,No,No
soc-digg-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.000305087,No,No
soc-douban-sat,sat,0.83862996,No,No
soc-epinions-sat,sat,131.838780532,No,No
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
soc-flickr-sat,unknown,7200,No,No
soc-flixster-sat,unknown,7200,No,No
soc-FourSquare-sat,unknown,7200,No,No
soc-gowalla-sat,unknown,7200,No,No
soc-karate-sat,sat,0.000288636,No,No
soc-lastfm-sat,sat,3583.266751305,No,No
soc-livejournal-sat,unknown,7200,No,No
soc-LiveMocha-sat,unknown,7200,No,No
soc-slashdot-sat,sat,524.227667959,No,No
soc-twitter-follows-sat,sat,2.016126742,No,No
soc-wiki-Vote-sat,sat,0.01160759,No,No
soc-youtube-sat,unknown,7200,No,No
soc-youtube-snap-sat,unknown,7200,No,No
tech-as-caida2007-sat,sat,4.896561851,No,No
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,12.159173665,No,No
tech-p2p-gnutella-sat,sat,58.408549798,No,No
tech-RL-caida-sat,unknown,7200,No,No
tech-routers-rf-sat,sat,0.059623,No,No
tech-WHOIS-sat,sat,0.755994321,No,No
web-arabic-2005-sat,unknown,7200,No,No
web-BerkStan-sat,sat,122.824778617,No,No
web-edu-sat,sat,0.455580509,No,No
web-google-sat,sat,0.024383477,No,No
web-indochina-2004-sat,sat,247.183644987,No,No
web-it-2004-sat,unknown,7200,No,No
web-polblogs-sat,sat,0.007148707,No,No
web-sk-2005-sat,unknown,7200,No,No
web-spam-sat,sat,1.891617711,No,No
web-uk-2005-sat,sat,11.707857373,No,No
web-webbase-2001-sat,unknown,7200,No,No
web-wikipedia2009-sat,unknown,7200,No,No
