Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.02,No,No
bio-diseasome-sat,sat,0.02,No,No
bio-dmela-sat,sat,1.25,No,No
bio-yeast-sat,sat,0.05,No,No
ca-AstroPh-sat,sat,10.31,No,No
ca-CSphd-sat,sat,0.07,No,No
ca-CondMat-sat,sat,10.97,Yes,No
ca-Erdos992-sat,sat,0.24,No,No
ca-GrQc-sat,sat,0.47,Yes,No
ca-HepPh-sat,sat,19.15,No,No
ca-MathSciNet-sat,unknown,7200,No,No
ca-citeseer-sat,unknown,7200,No,No
ca-coauthors-dblp-sat,unknown,7200,No,No
ca-dblp-2010-sat,unknown,7200,No,No
ca-dblp-2012-sat,unknown,7200,No,No
ca-hollywood-2009-sat,unknown,7200,No,No
ca-netscience-sat,sat,0.01,No,No
ia-email-EU-sat,sat,5.54,Yes,No
ia-email-univ-sat,sat,0.09,No,No
ia-enron-large-sat,sat,28.0,No,No
ia-enron-only-sat,sat,0.03,No,No
ia-fb-messages-sat,sat,0.16,No,No
ia-infect-dublin-sat,sat,0.01,No,No
ia-infect-hyper-sat,sat,0.02,No,No
ia-reality-sat,sat,0.35,Yes,No
ia-wiki-Talk-sat,unknown,7200,No,No
inf-power-sat,sat,1.46,No,No
inf-road-usa-sat,unknown,7200,No,No
inf-roadNet-CA-sat,unknown,7200,No,No
inf-roadNet-PA-sat,unknown,7200,No,No
rec-amazon-sat,unknown,7200,No,No
rt-retweet-crawl-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.01,No,No
rt-twitter-copen-sat,sat,0.02,No,No
sc-ldoor-sat,unknown,7200,No,No
sc-msdoor-sat,unknown,7200,No,No
sc-pkustk11-sat,unknown,7200,No,No
scc_enron-only-sat,sat,0.02,No,No
scc_fb-forum-sat,sat,0.08,No,No
scc_fb-messages-sat,sat,0.66,No,No
scc_infect-dublin-sat,sat,4.83,No,No
scc_infect-hyper-sat,sat,0.02,No,No
scc_reality-sat,sat,5.45,No,No
scc_retweet-crawl-sat,unknown,7200,No,No
scc_retweet-sat,sat,2.73,No,No
scc_rt_alwefaq-sat,sat,0.14,No,No
scc_rt_assad-sat,sat,0.05,No,No
scc_rt_bahrain-sat,sat,0.16,No,No
scc_rt_barackobama-sat,sat,0.65,No,No
scc_rt_damascus-sat,sat,0.07,No,No
scc_rt_dash-sat,sat,0.26,No,No
scc_rt_gmanews-sat,sat,0.49,No,No
scc_rt_gop-sat,sat,0.1,No,No
scc_rt_http-sat,sat,0.23,No,No
scc_rt_israel-sat,sat,0.11,No,No
scc_rt_justinbieber-sat,sat,0.66,No,No
scc_rt_ksa-sat,sat,0.25,No,No
scc_rt_lebanon-sat,sat,0.09,No,No
scc_rt_libya-sat,sat,0.19,No,No
scc_rt_lolgop-sat,sat,0.67,No,No
scc_rt_mittromney-sat,sat,0.48,No,No
scc_rt_obama-sat,sat,0.08,No,No
scc_rt_occupy-sat,sat,0.09,No,No
scc_rt_occupywallstnyc-sat,sat,0.1,No,No
scc_rt_oman-sat,sat,0.15,No,No
scc_rt_onedirection-sat,sat,0.41,No,No
scc_rt_p2-sat,sat,0.19,No,No
scc_rt_qatif-sat,sat,0.38,No,No
scc_rt_saudi-sat,sat,0.34,No,No
scc_rt_tcot-sat,sat,0.15,No,No
scc_rt_tlot-sat,sat,0.09,Yes,No
scc_rt_uae-sat,sat,0.17,No,No
scc_rt_voteonedirection-sat,sat,0.04,No,No
scc_twitter-copen-sat,sat,1.08,Yes,No
soc-BlogCatalog-sat,sat,628.08,No,No
soc-FourSquare-sat,unknown,7200,No,No
soc-LiveMocha-sat,unknown,7200,No,No
soc-brightkite-sat,sat,444.8,No,No
soc-buzznet-sat,unknown,7200,No,No
soc-delicious-sat,unknown,7200,No,No
soc-digg-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.01,Yes,No
soc-douban-sat,unknown,7200,No,No
soc-epinions-sat,sat,86.16,No,No
soc-flickr-sat,unknown,7200,No,No
soc-flixster-sat,unknown,7200,No,No
soc-gowalla-sat,unknown,7200,No,No
soc-karate-sat,sat,0.01,Yes,No
soc-lastfm-sat,unknown,7200,No,No
soc-livejournal-sat,unknown,7200,No,No
soc-slashdot-sat,sat,777.47,No,No
soc-twitter-follows-sat,unknown,7200,No,No
soc-wiki-Vote-sat,sat,0.04,No,No
soc-youtube-sat,unknown,7200,No,No
soc-youtube-snap-sat,unknown,7200,No,No
socfb-A-anon-sat,unknown,7200,No,No
socfb-B-anon-sat,unknown,7200,No,No
socfb-uci-uni-sat,unknown,7200,No,No
tech-RL-caida-sat,unknown,7200,No,No
tech-WHOIS-sat,sat,1.93,No,No
tech-as-caida2007-sat,sat,6.96,No,No
tech-as-skitter-sat,unknown,7200,No,No
tech-internet-as-sat,sat,26.1,No,No
tech-p2p-gnutella-sat,sat,71.48,No,No
tech-routers-rf-sat,sat,0.11,No,No
web-BerkStan-sat,sat,333.1,Yes,No
web-arabic-2005-sat,unknown,7200,No,No
web-edu-sat,sat,0.88,No,No
web-google-sat,sat,0.05,No,No
web-indochina-2004-sat,sat,153.05,No,No
web-it-2004-sat,unknown,7200,No,No
web-polblogs-sat,sat,0.02,No,No
web-sk-2005-sat,unknown,7200,No,No
web-spam-sat,sat,2.35,No,No
web-uk-2005-sat,unknown,7200,No,No
web-webbase-2001-sat,unknown,7200,No,No
web-wikipedia2009-sat,unknown,7200,No,No
