Instance,Result,Time,Best,Mono
C1000.9,unknown,36000,No,No
C125.9,unknown,36000,No,No
C2000.5,unknown,36000,No,No
C2000.9,unknown,36000,No,No
C250.9,unknown,36000,No,No
C4000.5,unknown,36000,No,No
C500.9,unknown,36000,No,No
DSJC1000.5,unknown,36000,No,No
DSJC500.5,unknown,36000,No,No
MANN_a27,unknown,36000,No,No
MANN_a45,unknown,36000,No,No
MANN_a81,unknown,36000,No,No
bio-celegans,sat,0.03,No,No
bio-celegans-sat,sat,14.27,Yes,Yes
bio-diseasome,sat,0.03,No,No
bio-diseasome-sat,unknown,36000,No,No
bio-dmela,sat,5.66,No,No
bio-dmela-sat,unknown,36000,No,No
bio-yeast,sat,0.2,No,No
bio-yeast-sat,unknown,36000,No,No
brock200_2,unknown,36000,No,No
brock200_4,unknown,36000,No,No
brock400_2,unknown,36000,No,No
brock400_4,unknown,36000,No,No
brock800_2,unknown,36000,No,No
brock800_4,unknown,36000,No,No
ca-AstroPh,sat,33.15,No,No
ca-AstroPh-sat,unknown,36000,No,No
ca-CSphd,sat,0.34,No,No
ca-CSphd-sat,unknown,36000,No,No
ca-CondMat,sat,50.64,No,No
ca-CondMat-sat,unknown,36000,No,No
ca-Erdos992,sat,4.02,No,No
ca-Erdos992-sat,unknown,36000,No,No
ca-GrQc,sat,1.56,No,No
ca-GrQc-sat,unknown,36000,No,No
ca-HepPh,sat,12.67,No,No
ca-HepPh-sat,unknown,36000,No,No
ca-MathSciNet,unknown,36000,No,No
ca-MathSciNet-sat,unknown,36000,No,No
ca-citeseer,unknown,36000,No,No
ca-citeseer-sat,unknown,36000,No,No
ca-coauthors-dblp,unknown,36000,No,No
ca-dblp-2010,unknown,36000,No,No
ca-dblp-2010-sat,unknown,36000,No,No
ca-dblp-2012,unknown,36000,No,No
ca-hollywood-2009,unknown,36000,No,No
ca-netscience,sat,0.02,No,No
ca-netscience-sat,sat,1979.74,Yes,Yes
gen200_p0.9_44,unknown,36000,No,No
gen200_p0.9_55,unknown,36000,No,No
gen400_p0.9_55,unknown,36000,No,No
gen400_p0.9_65,unknown,36000,No,No
gen400_p0.9_75,unknown,36000,No,No
hamming10-4,unknown,36000,No,No
hamming8-4,unknown,36000,No,No
ia-email-EU,sat,134.47,No,No
ia-email-EU-sat,unknown,36000,No,No
ia-email-univ,sat,0.12,No,No
ia-email-univ-sat,unknown,36000,No,No
ia-enron-large,sat,143.68,No,No
ia-enron-large-sat,unknown,36000,No,No
ia-enron-only,sat,0.01,Yes,No
ia-enron-only-sat,sat,38.44,Yes,No
ia-fb-messages,sat,0.15,No,No
ia-fb-messages-sat,unknown,36000,No,No
