Instance,Result,Time,Best,Mono
bio-celegans-sat,unknown,3600.060316150,No,No
bio-diseasome-sat,sat,2537.921020750,No,No
bio-dmela-sat,unknown,3600.104785086,No,No
bio-yeast-sat,unknown,3600.059285862,No,No
ca-AstroPh-sat,unknown,3600.119615631,No,No
ca-citeseer-sat,unknown,3600.344743401,No,No
ca-coauthors-dblp-sat,unknown,3600.375775088,No,No
ca-CondMat-sat,unknown,3600.112426310,No,No
ca-CSphd-sat,unknown,3600.058497313,No,No
ca-dblp-2010-sat,unknown,3600.345842048,No,No
ca-dblp-2012-sat,unknown,3600.314714489,No,No
ca-Erdos992-sat,sat,982.207504313,No,No
ca-GrQc-sat,unknown,3600.092468447,No,No
ca-HepPh-sat,unknown,3600.132982370,No,No
ca-hollywood-2009-sat,unknown,3601.114247068,No,No
ca-MathSciNet-sat,unknown,3600.323552921,No,No
ca-netscience-sat,sat,238.931408449,No,No
ia-email-EU-sat,unknown,3600.047563265,No,No
ia-email-univ-sat,unknown,3600.061493276,No,No
ia-enron-large-sat,unknown,3600.139297161,No,No
ia-enron-only-sat,sat,8.435256984,No,No
ia-fb-messages-sat,unknown,3600.048020745,No,No
ia-infect-dublin-sat,unknown,3600.027688886,No,No
ia-infect-hyper-sat,sat,3.321693143,No,No
ia-reality-sat,sat,0.064859194,No,No
ia-wiki-Talk-sat,unknown,3600.104785801,No,No
inf-power-sat,unknown,3600.077050304,No,No
inf-roadNet-CA-sat,unknown,3600.727532476,No,No
inf-roadNet-PA-sat,unknown,3600.470670066,No,No
inf-road-usa-sat,unknown,3601.205378033,No,No
rec-amazon-sat,unknown,3600.208868389,No,No
rt-retweet-crawl-sat,unknown,3600.244391128,No,No
rt-retweet-sat,sat,0.165065248,No,No
rt-twitter-copen-sat,unknown,3600.032922169,No,No
scc_enron-only-sat,sat,0.032575280,No,No
scc_fb-forum-sat,sat,1.518584927,No,No
scc_fb-messages-sat,sat,69.383101447,No,No
scc_infect-dublin-sat,unknown,3600.143910147,No,No
scc_infect-hyper-sat,sat,0.016874626,No,No
scc_reality-sat,unknown,3600.149512061,No,No
scc_retweet-crawl-sat,unknown,3600.056618074,No,No
scc_retweet-sat,unknown,3600.019577317,No,No
scc_rt_alwefaq-sat,sat,1.469424150,No,No
scc_rt_assad-sat,sat,0.033540230,No,No
scc_rt_bahrain-sat,sat,1.568303571,No,No
scc_rt_barackobama-sat,sat,4.326453285,No,No
scc_rt_damascus-sat,sat,0.115934377,No,No
scc_rt_dash-sat,sat,0.466772562,No,No
scc_rt_gmanews-sat,sat,1.669498598,No,No
scc_rt_gop-sat,sat,0.017467778,No,No
scc_rt_http-sat,sat,0.008964788,No,No
scc_rt_israel-sat,sat,0.115634013,No,No
scc_rt_justinbieber-sat,sat,0.115933731,No,No
scc_rt_ksa-sat,sat,0.032395510,No,No
scc_rt_lebanon-sat,sat,0.008422670,No,No
scc_rt_libya-sat,sat,0.316846431,No,No
scc_rt_lolgop-sat,sat,1.816533953,No,No
scc_rt_mittromney-sat,sat,2.218826174,No,No
scc_rt_obama-sat,sat,0.008600163,No,No
scc_rt_occupy-sat,sat,0.866539782,No,No
scc_rt_occupywallstnyc-sat,sat,0.516876586,No,No
scc_rt_oman-sat,sat,0.008219317,No,No
scc_rt_onedirection-sat,sat,0.065664662,No,No
scc_rt_p2-sat,sat,0.416704963,No,No
scc_rt_qatif-sat,sat,0.017370226,No,No
scc_rt_saudi-sat,sat,0.064970893,No,No
scc_rt_tcot-sat,sat,0.165176740,No,No
scc_rt_tlot-sat,sat,0.017082608,No,No
scc_rt_uae-sat,sat,0.033083645,No,No
scc_rt_voteonedirection-sat,sat,0.008805800,No,No
scc_twitter-copen-sat,unknown,3600.066642250,No,No
sc-ldoor-sat,unknown,3600.571084815,No,No
sc-msdoor-sat,unknown,3600.351852767,No,No
sc-pkustk11-sat,unknown,3600.375585937,No,No
soc-BlogCatalog-sat,unknown,3600.150278516,No,No
soc-brightkite-sat,unknown,3600.102895824,No,No
soc-buzznet-sat,unknown,3600.188173145,No,No
soc-delicious-sat,unknown,3600.182240101,No,No
soc-digg-sat,unknown,3600.335656741,No,No
soc-dolphins-sat,sat,0.064601605,No,No
soc-douban-sat,unknown,3600.060338253,No,No
soc-epinions-sat,unknown,3600.186364778,No,No
socfb-A-anon-sat,unknown,3600.520606709,No,No
socfb-B-anon-sat,unknown,3600.471056845,No,No
socfb-uci-uni-sat,unknown,3601.549848000,No,No
soc-flickr-sat,unknown,3600.187278521,No,No
soc-flixster-sat,unknown,3600.391150505,No,No
soc-FourSquare-sat,unknown,3600.287725678,No,No
soc-gowalla-sat,unknown,3600.226998229,No,No
soc-karate-sat,sat,0.008464765,No,No
soc-lastfm-sat,unknown,3600.222779441,No,No
soc-livejournal-sat,unknown,3601.039507182,No,No
soc-LiveMocha-sat,unknown,3600.267708019,No,No
soc-slashdot-sat,unknown,3600.450548099,No,No
soc-twitter-follows-sat,unknown,3600.076971860,No,No
soc-wiki-Vote-sat,unknown,3600.079287305,No,No
soc-youtube-sat,unknown,3600.126148324,No,No
soc-youtube-snap-sat,unknown,3600.317135957,No,No
tech-as-caida2007-sat,unknown,3600.067457429,No,No
tech-as-skitter-sat,unknown,3600.443284783,No,No
tech-internet-as-sat,unknown,3600.082288851,No,No
tech-p2p-gnutella-sat,unknown,3600.102941637,No,No
tech-RL-caida-sat,unknown,3600.179101589,No,No
tech-routers-rf-sat,unknown,3600.047128075,No,No
tech-WHOIS-sat,unknown,3600.104518742,No,No
web-arabic-2005-sat,unknown,3600.394404770,No,No
web-BerkStan-sat,unknown,3600.127308013,No,No
web-edu-sat,unknown,3600.089264862,No,No
web-google-sat,unknown,3600.069288539,No,No
web-indochina-2004-sat,unknown,3600.162633459,No,No
web-it-2004-sat,unknown,3600.307573765,No,No
web-polblogs-sat,unknown,3600.021136580,No,No
web-sk-2005-sat,unknown,3600.246100070,No,No
web-spam-sat,unknown,3600.096874810,No,No
web-uk-2005-sat,unknown,3600.510798686,No,No
web-webbase-2001-sat,unknown,3600.082198542,No,No
web-wikipedia2009-sat,unknown,3600.410126589,No,No
