Instance,Result,Time,Best,Mono
bio-celegans-sat,sat,0.03,Yes,Yes
bio-diseasome-sat,sat,0.06,Yes,Yes
bio-dmela-sat,sat,9.37,Yes,Yes
bio-yeast-sat,sat,0.37,Yes,Yes
ca-AstroPh-sat,sat,61.28,Yes,Yes
ca-CSphd-sat,sat,0.47,Yes,Yes
ca-CondMat-sat,sat,110.1,Yes,Yes
ca-Erdos992-sat,sat,5.69,Yes,Yes
ca-GrQc-sat,sat,2.48,Yes,Yes
ca-HepPh-sat,sat,20.47,Yes,Yes
ca-netscience-sat,sat,0.06,Yes,Yes
ia-email-EU-sat,sat,297.48,Yes,Yes
ia-email-univ-sat,sat,0.31,Yes,Yes
ia-enron-large-sat,sat,386.0,Yes,Yes
ia-enron-only-sat,sat,0.24,Yes,Yes
ia-fb-messages-sat,sat,1.88,Yes,Yes
ia-infect-dublin-sat,sat,0.27,Yes,Yes
ia-infect-hyper-sat,sat,0.23,Yes,Yes
ia-reality-sat,sat,6.57,Yes,Yes
ia-wiki-Talk-sat,unknown,7200,No,No
inf-power-sat,sat,3.41,Yes,Yes
rec-amazon-sat,unknown,7200,No,No
rt-retweet-sat,sat,0.13,Yes,Yes
rt-twitter-copen-sat,sat,0.17,Yes,Yes
sc-pkustk11-sat,sat,2012.06,Yes,Yes
scc_enron-only-sat,sat,0.07,Yes,Yes
scc_fb-forum-sat,sat,0.97,Yes,Yes
scc_fb-messages-sat,sat,1.01,Yes,Yes
scc_infect-dublin-sat,sat,15.88,Yes,Yes
scc_infect-hyper-sat,sat,0.04,Yes,Yes
scc_reality-sat,sat,11.25,Yes,Yes
scc_retweet-sat,sat,59.41,Yes,Yes
scc_rt_alwefaq-sat,sat,2.41,Yes,Yes
scc_rt_assad-sat,sat,0.72,Yes,Yes
scc_rt_bahrain-sat,sat,2.96,Yes,Yes
scc_rt_barackobama-sat,sat,14.69,Yes,Yes
scc_rt_damascus-sat,sat,1.34,Yes,Yes
scc_rt_dash-sat,sat,4.66,Yes,Yes
scc_rt_gmanews-sat,sat,9.82,Yes,Yes
scc_rt_gop-sat,sat,2.04,Yes,Yes
scc_rt_http-sat,sat,4.09,Yes,Yes
scc_rt_israel-sat,sat,1.71,Yes,Yes
scc_rt_justinbieber-sat,sat,13.13,Yes,Yes
scc_rt_ksa-sat,sat,4.0,Yes,Yes
scc_rt_lebanon-sat,sat,1.44,Yes,Yes
scc_rt_libya-sat,sat,2.75,Yes,Yes
scc_rt_lolgop-sat,sat,14.64,Yes,Yes
scc_rt_mittromney-sat,sat,8.37,Yes,Yes
scc_rt_obama-sat,sat,1.09,Yes,Yes
scc_rt_occupy-sat,sat,1.21,Yes,Yes
scc_rt_occupywallstnyc-sat,sat,1.68,Yes,Yes
scc_rt_oman-sat,sat,2.16,Yes,Yes
scc_rt_onedirection-sat,sat,7.94,Yes,Yes
scc_rt_p2-sat,sat,2.57,Yes,Yes
scc_rt_qatif-sat,sat,5.88,Yes,Yes
scc_rt_saudi-sat,sat,5.99,Yes,Yes
scc_rt_tcot-sat,sat,2.25,Yes,Yes
scc_rt_tlot-sat,sat,1.5,Yes,Yes
scc_rt_uae-sat,sat,2.45,Yes,Yes
scc_rt_voteonedirection-sat,sat,0.31,Yes,Yes
scc_twitter-copen-sat,sat,12.06,Yes,Yes
soc-BlogCatalog-sat,sat,3518.34,Yes,Yes
soc-LiveMocha-sat,unknown,7200,No,No
soc-brightkite-sat,sat,1171.29,Yes,Yes
soc-buzznet-sat,unknown,7200,No,No
soc-dolphins-sat,sat,0.03,Yes,Yes
soc-douban-sat,unknown,7200,No,No
soc-epinions-sat,sat,200.4,Yes,Yes
soc-karate-sat,sat,0.03,Yes,Yes
soc-slashdot-sat,sat,1954.06,Yes,Yes
soc-wiki-Vote-sat,sat,0.2,Yes,Yes
tech-WHOIS-sat,sat,9.41,Yes,Yes
tech-as-caida2007-sat,sat,179.7,Yes,Yes
tech-internet-as-sat,sat,597.8,Yes,Yes
tech-p2p-gnutella-sat,sat,1525.11,Yes,Yes
tech-routers-rf-sat,sat,0.68,Yes,Yes
web-BerkStan-sat,sat,25.4,Yes,Yes
web-arabic-2005-sat,unknown,7200,No,No
web-edu-sat,sat,1.12,Yes,Yes
web-google-sat,sat,0.2,Yes,Yes
web-indochina-2004-sat,sat,19.28,Yes,Yes
web-polblogs-sat,sat,0.1,Yes,Yes
web-sk-2005-sat,unknown,7200,No,No
web-spam-sat,sat,3.23,Yes,Yes
web-uk-2005-sat,unknown,7200,No,No
web-webbase-2001-sat,sat,43.46,Yes,Yes
