Instance,Result,Time,Best,Mono
C1000.9,unsat,0.01,Yes,Yes
C125.9,unsat,0.01,Yes,Yes
C2000.5,unsat,0.1,Yes,Yes
C2000.9,unsat,0.02,Yes,Yes
C250.9,unsat,0.01,Yes,Yes
C4000.5,unsat,0.42,Yes,Yes
C500.9,unsat,0.01,Yes,Yes
DSJC1000.5,unsat,0.04,Yes,Yes
DSJC500.5,unsat,0.01,Yes,Yes
MANN_a27,unsat,0.01,Yes,Yes
MANN_a45,unsat,0.01,Yes,Yes
MANN_a81,unsat,0.01,Yes,Yes
bio-celegans,sat,0.11,No,No
bio-celegans-sat,unknown,36000,No,No
bio-diseasome,sat,0.14,No,No
bio-diseasome-sat,unknown,36000,No,No
bio-dmela,sat,0.41,Yes,No
bio-dmela-sat,unknown,36000,No,No
bio-yeast,sat,0.1,No,No
bio-yeast-sat,unknown,36000,No,No
brock200_2,unsat,0.01,Yes,Yes
brock200_4,unsat,0.01,Yes,Yes
brock400_2,unsat,0.01,Yes,Yes
brock400_4,unsat,0.01,Yes,Yes
brock800_2,unsat,0.02,Yes,Yes
brock800_4,unsat,0.01,Yes,Yes
ca-AstroPh,sat,21.15,No,No
ca-AstroPh-sat,unknown,36000,No,No
ca-CSphd,sat,0.07,No,No
ca-CSphd-sat,unknown,36000,No,No
ca-CondMat,sat,20.64,No,No
ca-CondMat-sat,unknown,36000,No,No
ca-Erdos992,sat,1.95,No,No
ca-Erdos992-sat,unknown,36000,No,No
ca-GrQc,sat,0.2,No,No
ca-GrQc-sat,unknown,36000,No,No
ca-HepPh,sat,0.68,No,No
ca-HepPh-sat,unknown,36000,No,No
ca-MathSciNet,unsat,0.27,Yes,Yes
ca-MathSciNet-sat,unknown,36000,No,No
ca-citeseer,unsat,0.18,Yes,Yes
ca-citeseer-sat,unknown,36000,No,No
ca-coauthors-dblp,unsat,2.32,Yes,Yes
ca-dblp-2010,unsat,0.17,Yes,Yes
ca-dblp-2010-sat,unknown,36000,No,No
ca-dblp-2012,unsat,0.3,Yes,Yes
ca-hollywood-2009,unsat,12.52,Yes,Yes
ca-netscience,sat,0.2,No,No
ca-netscience-sat,unknown,36000,No,No
gen200_p0.9_44,unsat,0.01,Yes,Yes
gen200_p0.9_55,unsat,0.01,Yes,Yes
gen400_p0.9_55,unsat,0.01,Yes,Yes
gen400_p0.9_65,unsat,0.01,Yes,Yes
gen400_p0.9_75,unsat,0.01,Yes,Yes
hamming10-4,unsat,0.01,Yes,Yes
hamming8-4,unsat,0.01,Yes,Yes
ia-email-EU,sat,24.02,No,No
ia-email-EU-sat,unknown,36000,No,No
ia-email-univ,sat,0.07,No,No
ia-email-univ-sat,unknown,36000,No,No
ia-enron-large,sat,4.79,No,No
ia-enron-large-sat,unknown,36000,No,No
ia-enron-only,sat,0.1,No,No
ia-enron-only-sat,sat,629.83,No,No
ia-fb-messages,sat,0.14,No,No
ia-fb-messages-sat,unknown,36000,No,No
ia-infect-dublin,sat,0.09,No,No
ia-infect-dublin-sat,unknown,36000,No,No
ia-infect-hyper,sat,0.01,Yes,No
ia-infect-hyper-sat,unknown,36000,No,No
ia-reality,sat,2.34,No,No
ia-reality-sat,sat,11.33,No,No
ia-wiki-Talk,unknown,36000,No,No
ia-wiki-Talk-sat,unknown,36000,No,No
inf-power,sat,0.19,Yes,No
inf-power-sat,unknown,36000,No,No
inf-road-usa,unsat,10.07,Yes,Yes
inf-roadNet-CA,unsat,0.76,Yes,Yes
inf-roadNet-PA,unsat,0.45,Yes,Yes
keller4,unsat,0.01,Yes,Yes
keller5,unsat,0.01,Yes,Yes
keller6,unsat,0.14,Yes,Yes
p_hat1500-1,unsat,0.1,Yes,Yes
p_hat1500-2,unsat,0.06,Yes,Yes
p_hat1500-3,unsat,0.03,Yes,Yes
p_hat300-1,unsat,0.01,Yes,Yes
p_hat300-2,unsat,0.01,Yes,Yes
p_hat300-3,unsat,0.01,Yes,Yes
p_hat700-1,unsat,0.02,Yes,Yes
p_hat700-2,unsat,0.02,Yes,Yes
p_hat700-3,unsat,0.01,Yes,Yes
rec-amazon,sat,19.48,No,No
rec-amazon-sat,unknown,36000,No,No
rt-retweet,sat,0.05,No,No
rt-retweet-crawl,unsat,0.9,Yes,Yes
rt-retweet-sat,sat,0.2,No,No
rt-twitter-copen,sat,0.06,No,No
rt-twitter-copen-sat,unknown,36000,No,No
sc-ldoor,unsat,3.99,Yes,Yes
sc-msdoor,unsat,1.36,Yes,Yes
sc-nasasrb,unsat,0.19,Yes,Yes
sc-pkustk11,sat,9.4,No,No
sc-pkustk11-sat,unknown,36000,No,No
sc-pkustk13,unsat,0.47,Yes,Yes
sc-pwtk,unsat,0.74,Yes,Yes
sc-shipsec1,unsat,0.26,Yes,Yes
sc-shipsec5,unsat,0.33,Yes,Yes
scc_enron-only,sat,0.01,Yes,No
scc_enron-only-sat,sat,39.19,No,No
scc_fb-forum,sat,0.06,No,No
scc_fb-forum-sat,unknown,36000,No,No
scc_fb-messages,sat,1.86,No,No
scc_fb-messages-sat,unknown,36000,No,No
