Instance,Result,Time,Best,Mono
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int-sat,sat,8.756133239,No,No
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i5_N10000_uai13_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int-sat,sat,1291.152730393,No,No
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int-sat,sat,1076.284888645,No,No
causal-discovery-causal_n6_i4_N500_uai14_constant_int-sat,sat,190.166511395,No,No
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int-sat,sat,1057.768289867,No,No
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int-sat,sat,83.244664095,No,No
causal-discovery-causal_n6_i8_N1000_uai14_constant_int-sat,sat,25.472680917,No,No
causal-discovery-causal_n6_i9_N10000_uai14_constant_int-sat,sat,1832.265042317,No,No
causal-discovery-causal_n6_i9_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N10000_uai14_constant_int-sat,sat,13.84769691,No,No
causal-discovery-causal_n7_i8_N1000_uai14_constant_int-sat,sat,17.940319242,No,No
causal-discovery-causal_n7_i9_N500_uai14_constant_int-sat,unknown,7200,No,No
CircuitTraceCompaction-ctrl-sat,sat,647.118041502,No,No
CircuitTraceCompaction-mrisc_mem2wire-sat,unknown,7200,No,No
CircuitTraceCompaction-spi-sat,unknown,7200,No,No
CircuitTraceCompaction-sudoku-sat,sat,57.729274101,No,No
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8-sat,sat,0.876634941,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8-sat,sat,13.507832991,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3-sat,sat,61.502470607,No,No
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4-sat,sat,8.796198678,No,No
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1-sat,sat,1536.857733493,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf.wcnf.2-sat,sat,2.500447298,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.8-sat,sat,1.105839561,No,No
close_solutions-SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9-sat,sat,1.467475815,No,No
close_solutions-SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.3-sat,sat,1.39997187,No,No
close_solutions-SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1-sat,sat,18.630421849,No,No
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8-sat,sat,38.079607136,No,No
close_solutions-teams16_l6a.cnf-sat,sat,0.105537249,No,No
close_solutions-teams20_l5a.cnf-sat,sat,0.292472028,No,No
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
des-cnf.10.p.9-sat,sat,9.089890313,No,No
des-cnf.11.p.10-sat,sat,13.141210779,No,No
des-cnf.11.p.7-sat,sat,8.098219946,No,No
des-cnf.13.p.6-sat,sat,7.353783767,No,No
des-cnf.15.p.3-sat,sat,272.886394117,No,No
des-cnf.15.p.9-sat,sat,632.604006205,No,No
des-cnf.16.p.4-sat,sat,10.765307347,No,No
des-cnf.16.p.5-sat,sat,127.526123521,No,No
des-cnf.16.p.6-sat,sat,8.536078728,No,No
des-cnf.17.p.10-sat,sat,976.982893924,No,No
des-cnf.17.t.8-sat,sat,35.353118975,No,No
des-cnf.19.p.10-sat,sat,770.657587142,No,No
des-cnf.20.d.10-sat,sat,54.731366196,No,No
des-cnf.20.d.9-sat,sat,75.742486744,No,No
des-cnf.9.p.10-sat,sat,4.220587627,No,No
drmx-cryptogen-geffe128_0-sat,sat,777.348566082,No,No
drmx-cryptogen-geffe128_2-sat,sat,496.060622489,No,No
drmx-cryptogen-geffe128_8-sat,sat,187.582125195,No,No
drmx-cryptogen-threshold128_0-sat,sat,25.881497959,No,No
drmx-cryptogen-threshold128_1-sat,sat,260.90391493,No,No
drmx-cryptogen-threshold128_2-sat,sat,494.017740326,No,No
drmx-cryptogen-threshold128_6-sat,sat,90.181905928,No,No
drmx-cryptogen-wolfram72_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_5-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_8-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_7-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_8-sat,unknown,7200,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_0_10_3-sat,sat,148.035620659,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_1-sat,sat,148.217154972,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_4-sat,sat,170.187727849,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_0-sat,sat,148.987958708,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_2-sat,sat,150.850943176,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_2_10_1-sat,sat,141.892746363,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_4_10_2-sat,sat,146.165739205,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.05_3_30_0-sat,sat,25.797837923,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.1_2_15_0-sat,sat,33.938212945,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_0_40_1-sat,sat,103.574190893,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_1_40_1-sat,sat,103.995538977,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_1-sat,sat,151.063795423,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_4-sat,sat,144.287101932,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.1_0_10_1-sat,sat,73.750900555,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.2_1_10_0-sat,sat,158.397727204,No,No
fault-diagnosis-s00641_nan_explicit_3_0-sat,sat,0.070773778,No,No
fault-diagnosis-s01423_nan_explicit_4_0-sat,sat,0.092156536,No,No
fault-diagnosis-s01423_nan_explicit_7_0-sat,sat,0.081106617,No,No
fault-diagnosis-s38417_nan_explicit_11_0-sat,sat,0.225205815,No,No
fault-diagnosis-s38417_nan_explicit_13_0-sat,sat,1.099313952,No,No
fault-diagnosis-s38417_nan_explicit_18_0-sat,sat,0.224316176,No,No
fault-diagnosis-s38417_nan_explicit_27_0-sat,sat,0.197170137,No,No
fault-diagnosis-s38417_nan_explicit_6_0-sat,sat,0.23546288,No,No
fault-diagnosis-s38584_nan_explicit_15_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_16_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_18_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_25_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_27_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_33_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_46_0-sat,unknown,7200,No,No
frb-frb25-13-1.partial-sat,sat,0.080542542,No,No
frb-frb25-13-2.partial-sat,sat,0.307811782,No,No
frb-frb25-13-3.partial-sat,sat,0.123945998,No,No
frb-frb25-13-4.partial-sat,sat,0.055683484,No,No
frb-frb30-15-3.partial-sat,sat,0.34232706,No,No
