Instance,Result,Time,Best,Mono
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int-sat,sat,1812.568221938,No,No
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i5_N10000_uai13_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i4_N500_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i8_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i9_N10000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i9_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N10000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i9_N500_uai14_constant_int-sat,unknown,7200,No,No
CircuitTraceCompaction-ctrl-sat,unknown,7200,No,No
CircuitTraceCompaction-mrisc_mem2wire-sat,unknown,7200,No,No
CircuitTraceCompaction-spi-sat,unknown,7200,No,No
CircuitTraceCompaction-sudoku-sat,unknown,7200,No,No
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8-sat,sat,0.515468191,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8-sat,sat,9.238672791,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3-sat,unknown,7200,No,No
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4-sat,sat,5.276628985,No,No
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1-sat,sat,224.275751412,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf.wcnf.2-sat,sat,3.110291744,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.8-sat,sat,0.70050893,No,No
close_solutions-SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9-sat,sat,9.982847541,No,No
close_solutions-SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.3-sat,sat,0.847767584,No,No
close_solutions-SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1-sat,sat,1.410948229,No,No
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8-sat,sat,30.479985658,No,No
close_solutions-teams16_l6a.cnf-sat,sat,0.098191078,No,No
close_solutions-teams20_l5a.cnf-sat,sat,0.296079989,No,No
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
des-cnf.10.p.9-sat,sat,23.472811711,No,No
des-cnf.11.p.10-sat,sat,16.56239791,No,No
des-cnf.11.p.7-sat,sat,11.032116597,No,No
des-cnf.13.p.6-sat,sat,34.765653181,No,No
des-cnf.15.p.3-sat,sat,10.052058643,No,No
des-cnf.15.p.9-sat,sat,64.564959262,No,No
des-cnf.16.p.4-sat,sat,44.944408124,No,No
des-cnf.16.p.5-sat,sat,15.769115123,No,No
des-cnf.16.p.6-sat,sat,128.886497565,No,No
des-cnf.17.p.10-sat,sat,1446.421146143,No,No
des-cnf.17.t.8-sat,sat,59.722267607,No,No
des-cnf.19.p.10-sat,sat,545.606873047,No,No
des-cnf.20.d.10-sat,sat,24.365829771,No,No
des-cnf.20.d.9-sat,sat,58.406766006,No,No
des-cnf.9.p.10-sat,sat,19.211447529,No,No
drmx-cryptogen-geffe128_0-sat,sat,1264.199133382,No,No
drmx-cryptogen-geffe128_2-sat,sat,715.693030603,No,No
drmx-cryptogen-geffe128_8-sat,sat,1092.840680339,No,No
drmx-cryptogen-threshold128_0-sat,sat,92.221728334,No,No
drmx-cryptogen-threshold128_1-sat,sat,69.531638815,No,No
drmx-cryptogen-threshold128_2-sat,sat,915.764316139,No,No
drmx-cryptogen-threshold128_6-sat,sat,241.171314281,No,No
drmx-cryptogen-wolfram72_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_5-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_8-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_7-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_8-sat,unknown,7200,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_0_10_3-sat,sat,1025.837701423,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_1-sat,sat,143.439641371,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_4-sat,sat,1642.535153036,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_0-sat,sat,59.077020688,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_2-sat,sat,2634.667733217,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_2_10_1-sat,sat,909.091304398,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_4_10_2-sat,sat,971.99370743,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.05_3_30_0-sat,sat,2.898577222,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.1_2_15_0-sat,sat,3.405743334,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_0_40_1-sat,sat,10.500615478,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_1_40_1-sat,sat,12.309057137,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_1-sat,sat,16.473372372,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_4-sat,sat,11.896614495,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.1_0_10_1-sat,sat,13.07463877,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.2_1_10_0-sat,sat,14.085463231,No,No
fault-diagnosis-s00641_nan_explicit_3_0-sat,sat,90.140119463,No,No
fault-diagnosis-s01423_nan_explicit_4_0-sat,sat,3.387047296,No,No
fault-diagnosis-s01423_nan_explicit_7_0-sat,sat,3.557255428,No,No
fault-diagnosis-s38417_nan_explicit_11_0-sat,sat,3.373780004,No,No
fault-diagnosis-s38417_nan_explicit_13_0-sat,sat,43.981765238,No,No
fault-diagnosis-s38417_nan_explicit_18_0-sat,sat,20.66728092,No,No
fault-diagnosis-s38417_nan_explicit_27_0-sat,sat,20.679912122,No,No
fault-diagnosis-s38417_nan_explicit_6_0-sat,sat,3.522008251,No,No
fault-diagnosis-s38584_nan_explicit_15_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_16_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_18_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_25_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_27_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_33_0-sat,unknown,7200,No,No
fault-diagnosis-s38584_nan_explicit_46_0-sat,unknown,7200,No,No
frb-frb25-13-1.partial-sat,sat,0.110389411,No,No
frb-frb25-13-2.partial-sat,sat,0.533190674,No,No
frb-frb25-13-3.partial-sat,sat,0.191085622,No,No
frb-frb25-13-4.partial-sat,sat,0.033547462,No,No
frb-frb30-15-3.partial-sat,sat,0.565117169,No,No
frb-frb30-15-4.partial-sat,sat,0.470848932,No,No
frb-frb30-15-5.partial-sat,sat,4.398513387,No,No
frb-frb35-17-1.partial-sat,sat,4.000864461,No,No
frb-frb35-17-3.partial-sat,sat,0.984515068,No,No
frb-frb35-17-4.partial-sat,sat,1.559723717,No,No
