Instance,Result,Time,Best,Mono
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int-sat,sat,1336.510187045,No,No
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i5_N10000_uai13_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int-sat,sat,1723.376513557,No,No
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int-sat,sat,3392.474298771,No,No
causal-discovery-causal_n6_i4_N500_uai14_constant_int-sat,sat,118.195888064,No,No
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int-sat,sat,138.036567312,No,No
causal-discovery-causal_n6_i8_N1000_uai14_constant_int-sat,sat,2.24781784,No,No
causal-discovery-causal_n6_i9_N10000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i9_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N10000_uai14_constant_int-sat,sat,44.967197466,No,No
causal-discovery-causal_n7_i8_N1000_uai14_constant_int-sat,sat,16.124870663,No,No
causal-discovery-causal_n7_i9_N500_uai14_constant_int-sat,unknown,7200,No,No
CircuitTraceCompaction-ctrl-sat,sat,829.365463551,No,No
CircuitTraceCompaction-mrisc_mem2wire-sat,unknown,7200,No,No
CircuitTraceCompaction-spi-sat,unknown,7200,No,No
CircuitTraceCompaction-sudoku-sat,sat,79.531996631,No,No
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8-sat,sat,0.953922445,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8-sat,sat,14.149606939,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3-sat,unknown,7200,No,No
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4-sat,sat,15.604146123,No,No
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1-sat,sat,119.274765573,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf.wcnf.2-sat,sat,2.361998363,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.8-sat,sat,1.292127153,No,No
close_solutions-SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9-sat,sat,9.481455583,No,No
close_solutions-SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.3-sat,sat,1.630286479,No,No
close_solutions-SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1-sat,sat,19.453454377,No,No
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8-sat,sat,45.051057233,No,No
close_solutions-teams16_l6a.cnf-sat,sat,0.121622099,No,No
close_solutions-teams20_l5a.cnf-sat,sat,0.463192207,No,No
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
des-cnf.10.p.9-sat,sat,12.271017352,No,No
des-cnf.11.p.10-sat,sat,26.456242308,No,No
des-cnf.11.p.7-sat,sat,21.923591885,No,No
des-cnf.13.p.6-sat,sat,8.035072245,No,No
des-cnf.15.p.3-sat,sat,68.444508993,No,No
des-cnf.15.p.9-sat,sat,141.590931997,No,No
des-cnf.16.p.4-sat,sat,455.526400516,No,No
des-cnf.16.p.5-sat,sat,35.039812866,No,No
des-cnf.16.p.6-sat,sat,84.552056613,No,No
des-cnf.17.p.10-sat,sat,104.189327582,No,No
des-cnf.17.t.8-sat,sat,22.405446376,No,No
des-cnf.19.p.10-sat,sat,1035.297683376,No,No
des-cnf.20.d.10-sat,sat,20.305666416,No,No
des-cnf.20.d.9-sat,sat,16.073762791,No,No
des-cnf.9.p.10-sat,sat,7.949622086,No,No
drmx-cryptogen-geffe128_0-sat,sat,594.463987624,No,No
drmx-cryptogen-geffe128_2-sat,sat,1163.108622787,No,No
drmx-cryptogen-geffe128_8-sat,sat,317.985367523,No,No
drmx-cryptogen-threshold128_0-sat,sat,1551.254668356,No,No
drmx-cryptogen-threshold128_1-sat,sat,70.380727762,No,No
drmx-cryptogen-threshold128_2-sat,sat,296.925185121,No,No
