Instance,Result,Time,Best,Mono
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int-sat,sat,267.321400196,No,No
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i5_N10000_uai13_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i4_N500_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int-sat,sat,2941.798840721,No,No
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i8_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i9_N10000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n6_i9_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N10000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i8_N1000_uai14_constant_int-sat,unknown,7200,No,No
causal-discovery-causal_n7_i9_N500_uai14_constant_int-sat,unknown,7200,No,No
CircuitTraceCompaction-ctrl-sat,sat,1121.980536148,No,No
CircuitTraceCompaction-mrisc_mem2wire-sat,unknown,7200,No,No
CircuitTraceCompaction-spi-sat,unknown,7200,No,No
CircuitTraceCompaction-sudoku-sat,unknown,7200,No,No
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8-sat,sat,0.39927018,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8-sat,sat,19.987463936,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3-sat,unknown,7200,No,No
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4-sat,sat,16.123119936,No,No
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1-sat,sat,205.706199481,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf.wcnf.2-sat,sat,0.895170201,No,No
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.8-sat,sat,0.636549013,No,No
close_solutions-SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9-sat,sat,47.392908473,No,No
close_solutions-SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.3-sat,sat,1.591021565,No,No
close_solutions-SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1-sat,sat,1.352234495,No,No
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8-sat,sat,96.082609825,No,No
close_solutions-teams16_l6a.cnf-sat,sat,0.087887173,No,No
close_solutions-teams20_l5a.cnf-sat,sat,0.381901379,No,No
decision-tree-car-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-soybean-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
decision-tree-vote-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree-sat,unknown,7200,No,No
des-cnf.10.p.9-sat,sat,16.774549125,No,No
des-cnf.11.p.10-sat,sat,9.756475082,No,No
des-cnf.11.p.7-sat,sat,9.013603213,No,No
des-cnf.13.p.6-sat,sat,19.789775274,No,No
des-cnf.15.p.3-sat,sat,505.183134962,No,No
des-cnf.15.p.9-sat,sat,182.661014524,No,No
des-cnf.16.p.4-sat,sat,138.754484549,No,No
des-cnf.16.p.5-sat,sat,67.08037135,No,No
des-cnf.16.p.6-sat,sat,72.951591734,No,No
des-cnf.17.p.10-sat,sat,581.089961589,No,No
des-cnf.17.t.8-sat,sat,23.051596263,No,No
des-cnf.19.p.10-sat,sat,577.23011474,No,No
des-cnf.20.d.10-sat,sat,101.869016032,No,No
des-cnf.20.d.9-sat,sat,114.366410516,No,No
des-cnf.9.p.10-sat,sat,2.577689151,No,No
drmx-cryptogen-geffe128_0-sat,sat,1456.821856145,No,No
drmx-cryptogen-geffe128_2-sat,sat,392.272947388,No,No
drmx-cryptogen-geffe128_8-sat,sat,765.537469364,No,No
drmx-cryptogen-threshold128_0-sat,sat,1154.748972513,No,No
drmx-cryptogen-threshold128_1-sat,sat,2.622273828,No,No
drmx-cryptogen-threshold128_2-sat,sat,265.118694515,No,No
drmx-cryptogen-threshold128_6-sat,sat,10.996551847,No,No
drmx-cryptogen-wolfram72_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_5-sat,unknown,7200,No,No
drmx-cryptogen-wolfram72_8-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_0-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_4-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_7-sat,unknown,7200,No,No
drmx-cryptogen-wolfram80_8-sat,unknown,7200,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_0_10_3-sat,sat,2073.335292548,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_1-sat,sat,2906.238868493,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_3_10_4-sat,unknown,7200,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_0-sat,sat,1581.339149751,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.05_4_10_2-sat,sat,3134.585706162,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_2_10_1-sat,sat,15.444375073,No,No
extension-enforcement-extension-enforcement_non-strict_stb_200_0.1_4_10_2-sat,sat,209.256009878,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.05_3_30_0-sat,sat,3.578298992,No,No
extension-enforcement-extension-enforcement_strict_com_150_0.1_2_15_0-sat,sat,4.36320868,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_0_40_1-sat,sat,9.628997714,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_1_40_1-sat,sat,10.579566477,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_1-sat,sat,12.312557404,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.05_4_20_4-sat,sat,10.65239632,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.1_0_10_1-sat,sat,10.172167873,No,No
extension-enforcement-extension-enforcement_strict_com_200_0.2_1_10_0-sat,sat,10.423506839,No,No
fault-diagnosis-s00641_nan_explicit_3_0-sat,sat,154.132778382,No,No
fault-diagnosis-s01423_nan_explicit_4_0-sat,sat,0.627182307,No,No
fault-diagnosis-s01423_nan_explicit_7_0-sat,sat,0.485735154,No,No
fault-diagnosis-s38417_nan_explicit_11_0-sat,sat,1.61646658,No,No
