Instance,Result,Time,Best,Mono
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int-sat,sat,3.201427703,No,No
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int-sat,sat,7.017666375,No,No
causal-discovery-causal_n5_i5_N10000_uai13_constant_int-sat,sat,6.222947090,No,No
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int-sat,sat,7.920426339,No,No
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int-sat,sat,9.582803353,No,No
causal-discovery-causal_n6_i4_N500_uai14_constant_int-sat,sat,1.880103033,No,No
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int-sat,sat,15.914616674,No,No
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int-sat,sat,3.948140097,No,No
causal-discovery-causal_n6_i8_N1000_uai14_constant_int-sat,sat,3.745739421,No,No
causal-discovery-causal_n6_i9_N10000_uai14_constant_int-sat,sat,0.486007380,No,No
causal-discovery-causal_n6_i9_N1000_uai14_constant_int-sat,sat,8.670666363,No,No
causal-discovery-causal_n7_i8_N10000_uai14_constant_int-sat,sat,1.633702600,No,No
causal-discovery-causal_n7_i8_N1000_uai14_constant_int-sat,sat,14.926759008,No,No
causal-discovery-causal_n7_i9_N500_uai14_constant_int-sat,sat,115.824995648,No,No
CircuitTraceCompaction-ctrl-sat,sat,0.120193723,No,No
CircuitTraceCompaction-mrisc_mem2wire-sat,sat,18.097797730,No,No
CircuitTraceCompaction-spi-sat,sat,6.037882868,No,No
CircuitTraceCompaction-sudoku-sat,sat,3.975360688,No,No
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8-sat,sat,0.116190186,No,No
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8-sat,sat,73.122995760,No,No
