Instance,Result,Time,Best,Mono
CircuitTraceCompaction-ctrl-sat,sat,0.14,Yes,Yes
CircuitTraceCompaction-mrisc_mem2wire-sat,sat,9.01,Yes,Yes
CircuitTraceCompaction-spi-sat,sat,4.92,Yes,Yes
CircuitTraceCompaction-sudoku-sat,sat,11.72,Yes,Yes
HaplotypeAssembly-splitedReads_137.matrix-sat,unknown,36000,No,No
HaplotypeAssembly-splitedReads_158.matrix-sat,unknown,36000,No,No
HaplotypeAssembly-splitedReads_160.matrix-sat,unknown,36000,No,No
HaplotypeAssembly-splitedReads_18.matrix-sat,unknown,36000,No,No
HaplotypeAssembly-splitedReads_414.matrix-sat,unknown,36000,No,No
MaxSATQueriesinInterpretableClassifiers-adult_test_9_CNF_2_1-sat,sat,0.14,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-compas_train_5_DNF_5_1-sat,unknown,36000,No,No
MaxSATQueriesinInterpretableClassifiers-heart_test_2_DNF_1_1-sat,sat,0.02,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-heart_test_7_DNF_5_1-sat,sat,0.02,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-heart_train_0_CNF_1_1-sat,sat,0.53,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-heart_train_2_CNF_3_1-sat,unknown,36000,No,No
MaxSATQueriesinInterpretableClassifiers-ilpd_test_0_DNF_5_1-sat,sat,0.02,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-parkinsons_test_9_DNF_2_1-sat,sat,0.02,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-tictactoe_test_6_CNF_4_1-sat,sat,0.03,Yes,Yes
MaxSATQueriesinInterpretableClassifiers-titanic_test_9_CNF_5_1-sat,sat,0.02,Yes,Yes
SeanSafarpour-b15-bug-fourvec-gate-0.dimacs.seq.filtered-sat,unknown,36000,No,No
SeanSafarpour-c1_DD_s3_f1_e2_v1-bug-fourvec-gate-0.dimacs.seq.filtered-sat,sat,8.13,Yes,Yes
