Instance,Result,Time,Best,Mono
00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised,unknown,7200,No,No
00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised,unknown,7200,No,No
032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40,unknown,7200,No,No
06d2ca2ee0b47f00d93090495f7fd4f4-clqcl_100_6_5.normalised,unknown,7200,No,No
081f111af59344b61346367a930e24f6-Break_triple_04_06.xml,sat,0.001115539,No,No
08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6,unknown,7200,No,No
09befe1ffd4e02a988cadecd0a012261-GP_300_140_20,unknown,7200,No,No
0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24,unknown,7200,No,No
0c0430a68f147be18ab3fded07f30fdb-oddball_53_5_tto_zp.normalised,sat,295.861742545,No,No
0d8779c22e2caa8d676723701e5a0347-pj2016_k100,unknown,7200,No,No
0dd928240a9559ab7e50d088e3f168ac-pj2002_k500,unknown,7200,No,No
0e1d562093d5f4fc9013cf4a14a03f70-Break_12_50.xml,sat,845.982476166,No,No
0ec8c5e9084cbc8a326f8f37e1abf741-oddball_54_5_tto_zp.normalised,sat,213.085127831,No,No
0ed8c06438673f179985a79b9d6a9fe4-cfi-rigid-s2-0064-04-or_2_shuffle_all,unknown,7200,No,No
110f8eb8b9b80204fe955ea0973bbb00-clqcl_30_7_6.normalised,unknown,7200,No,No
115fa7f61704bc12b2373aa471bc434f-Circuit_multiplier24,unknown,7200,No,No
1576e239e1c17939f24688a12fb10fae-6s299b685_Iter22,unknown,7200,No,No
16564a6acba6b9fc887c447d4e507767-ER_400_20_7.apx_2_DS-ST,sat,265.440252394,No,No
1753a71fefceb0250a75e67b610050a0-GP_190_225_30,unknown,7200,No,No
19951d43eff5fc4ef6fd07d7a5324fa0-oddball_80_5_tto_zp.normalised,unknown,7200,No,No
1b8806812861df2b7e91dc316ad1ef80-oddball_52_5_tto_zp.normalised,sat,385.807681934,No,No
1b9f94befb5bc867c0e882f49973f793-bp4_BC012_AM_FPBEQ_ZR.normalised,unknown,7200,No,No
1c21a43aa1ad437e4a7e4eb5b9cd45a1-9.normalised,unknown,7200,No,No
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,sat,1626.028543126,No,No
1e87463fee15de63143796fd92d88a58-crusti_g2io_175_0.2_511_32.normalised,unknown,7200,No,No
207ebdf62e5ce54c8b4ddeeb17843a56-hhyp_cec_multi_2,unknown,7200,No,No
21415e807689ea75536e846a24623de1-clqcl_50_6_5.normalised,unknown,7200,No,No
2241a1fb5bdbac0c1a3c1980ed8b332d-crusti_g2io_225_0.1_31_25.normalised,sat,3291.399404297,No,No
22df1827e3253fc824cc7ce806d75e0a-x9-10070.sat.sanitized,sat,159.294871597,No,No
24bde22f729a988fb2394b644cb60d39-SC25_Timetable_C_481_E_49_Cl_32_D_7_T_58.normalised,unknown,7200,No,No
25390e9d1fa1926485db7eb2d5a20ea8-ITC2021_Late_10.xml,unknown,7200,No,No
27570c6780aaade3dc771c6a12534fb8-reconf10_22_queen20_3_8667,unknown,7200,No,No
28eeb2beac7005a9afa98e4d3aaca621-oski15a01b40s_opt,unknown,7200,No,No
2925ee90763e08b2f7e79c7c713c86b9-at-least-two-ibm-2004-23-k100,unknown,7200,No,No
292bedf65cee7cc38fe8b2725eb50868-cliquecoloring_n32_k5_c4,unknown,7200,No,No
2b4467a5ac4ac41b36d4c3432b07f767-oddball_69_5_tto_zp.normalised,sat,2803.07,No,No
2c8eb0402be32cf281e23f00d5a16259-oski15a01b45s_opt,unknown,7200,No,No
2de9b79919882078aea76f297fc923e5-case11.normalised,sat,2.043813639,No,No
2e058841373f34cc47d8dec927fd1796-blocks-blocks-36-0.150-NOTKNOWN,unknown,7200,No,No
30f64b3b0870ce5d22d4217782224dfe-lockchart-group1-L200-K289-p8d4j1.normalised,unknown,7200,No,No
334aa882de28856fc8c75885285d2a3c-HCP-446-105,unknown,7200,No,No
35748015c5f16c9ee7e4d1894af497a0-oski15a01b39s_opt,unknown,7200,No,No
35b9091b90bd28a492c9556d6fc4348d-bp4_TCO_CSO_ZR.normalised,unknown,7200,No,No
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,unknown,7200,No,No
395829127ec213c2e69a6a13dda3623b-lockchart-group2-rnd0.3-L19-K38-P8D4J1_1.normalised,unknown,7200,No,No
3bfa92996634d2ddc6c0568bba9a0f99-case6.normalised,unknown,7200,No,No
3c129545f090ef08b6ef89a2903ff83e-oski15a01b09s_opt,unknown,7200,No,No
3cda1cbfbcabfc71ece7961d4d6ad1bb-lockchart-group2-rnd0.3-L19-K38-P8D4J1_3,unknown,7200,No,No
416e33a8463911546e4cd87d282a7e1e-case10,sat,876.225502734,No,No
41915707d831e1365389d3cc47c7953f-oddball_51_5_tto_zp.normalised,sat,505.335493478,No,No
41f507717c7c4553d23cd0cd1fc40104-1-ET-512-K-120.sanitized,unknown,7200,No,No
42fdd4f4c27fd03267afd82490cb59a4-GP_100_1000_10,unknown,7200,No,No
43ebdada6f6153b50a140ba908d5bf44-oddball_67_5_tto_zp.normalised,sat,3128.27,No,No
43fbacb24ea30054dece1de179c4ca7e-ER_400_20_7.apx_1_DS-ST,sat,114.660918405,No,No
465795fa2641c616ce76de8501672a19-VanDerWaerden_pd_2-3-27_663,sat,31.824009384,No,No
465c7f101b2d24de63f6a6f544faa9ee-crusti_g2io_175_0.2_511_10.normalised,unknown,7200,No,No
4ba2c1aa580b6497df6baf5e7e2c87be-at-least-two-vmpc_28,unknown,7200,No,No
4c037368864330bff3940837ac28ac14-lockchart-group2-rnd0.3-L18-K36-P8D4J1,sat,203.532872246,No,No
4d6e18e506b7e62d3f32cc775219be24-GP_100_951_33,unknown,7200,No,No
4e3195a382f5af213444736fcc8b364f-case1.normalised,unknown,7200,No,No
5314fd6ccb53b6f6af49a594ea68a273-oski15a01b15s_opt,unknown,7200,No,No
546f8e069aa450002a30c9c47538fe95-intel047_Iter78,unknown,7200,No,No
5911653e4edadec391654c8f06353f9a-oski15a01b06s_opt,unknown,7200,No,No
59825ed96dc3bbdbd8789a4870b323ec-hcp_CP18_18,unknown,7200,No,No
5c47810953b22baa5f6f45585430fc77-oski15a01b20s_opt,unknown,7200,No,No
5c8f4e54e195d46053b04e232a5661c4-case7.normalised,unknown,7200,No,No
5ceb95f5960efe1f23c3014847dea118-pj2009_k80,unknown,7200,No,No
5d62e4d7ab116c477c8d4f5bd36907de-lockchart-group2-rnd0.3-L19-K38-P8D4J1_2,sat,1262.514849058,No,No
5dbe7b31f9b8d8e56045493439adb949-bp4_CSO_IXA_ZR.normalised,unknown,7200,No,No
602c8a200227ab9d64d855164d35b5cf-Break_12_30.xml,unknown,7200,No,No
619e9e0d70c78c97b0516afedf086fee-20.normalised,unknown,7200,No,No
6415a71364351c0a521fdee510bc2589-18.normalised,unknown,7200,No,No
64cb3656e0c03b3db7033ee9b987f280-em_8_4_5_cmp,sat,63.156860807,No,No
65f7145996bbec02b90bd0fa64a20502-test_v7_r12_vr10_c1_s18160.smt2-stp212,unknown,7200,No,No
674affb219c049cdbff1b65a6b7bedcc-crusti_g2io_250_0.2_255_18.normalised,unknown,7200,No,No
67aa1a256f92020dccdf66b235de3986-jkkk-one-one-10-34-sat,unknown,7200,No,No
6832fe907740af686fde98518067ea3f-velev-pipe-sat-1.0-b7,unknown,7200,No,No
695d8f6a2ee6e89e5a4f5d94abc3aca6-x9-07092.sat.sanitized,sat,2.267822243,No,No
69ed23c545d2a48f735f2187d919a5dd-crusti_g2io_250_0.2_255_31.normalised,unknown,7200,No,No
69f6dd335626a9b71bfc6f2332f52b9d-Break_04_04.xml,sat,0.001520285,No,No
6cd9571bc71cc0c3fb08aeafb9ca37e4-sted1_0x24204-330,unknown,7200,No,No
6e139783cfbcfeec85b49750ad11a615-x9-06068.sat.sanitized,sat,23.079479421,No,No
6ebe901234af9615bb85b688a26ef2c4-17.normalised,unknown,7200,No,No
6ef090a10c10352090100af7b6654c31-summle_X8638_steps7_I1-2-2-4-4-8-25-100,unknown,7200,No,No
6f730dd121471749dc0b4baca2573bf7-case13.normalised,unknown,7200,No,No
6fab31665147f538da92dc16c3a239ad-stb_664_50.apx_2_DC-ST,unknown,7200,No,No
72a033a7a86f1b89b1bdd8e28a97ecdf-frb80-14-1.used-as.sat04-879,sat,204.323100518,No,No
