Instance,Result,Time,Best,Mono
00d5a43a481477fa4d56a2ce152a6cfb-st_890_86_9_572.normalised,unknown,7200,No,No
00fd8ac9acd186a7a78a2c4d92f90de1-2.normalised,unknown,7200,No,No
0205e2dffaef93a90c239df31755f2e1-bp4_CSO_AM_IXA_LP.normalised,unknown,7200,No,No
032941f5f28c9ac53fa1c80d35f3206f-GP_216_290_40,unknown,7200,No,No
062f58e44eb73f9274b57af5092cad90-rook-51-0-0,unknown,7200,No,No
06d2ca2ee0b47f00d93090495f7fd4f4-clqcl_100_6_5.normalised,unknown,7200,No,No
07cea7a64248a60d509368d09d3057c2-pj2013_k9,unknown,7200,No,No
081f111af59344b61346367a930e24f6-Break_triple_04_06.xml,sat,0.02,Yes,Yes
08d56c03e6561f6b9bec2e3f344ea3de-cliquecoloring_n26_k7_c6,unknown,7200,No,No
09befe1ffd4e02a988cadecd0a012261-GP_300_140_20,unknown,7200,No,No
09cd83e233380d0ba1fc56cee88367b1-s38417,unknown,7200,No,No
0a4880c0e882e6a4a31943522573c394-b19_1,unknown,7200,No,No
0aa22564d00e9716519918d84b25c4a7-sudoku-N30-12,unknown,7200,No,No
0ae917c2e0c1d39cbe411c29b2f5ff08-dislog_a14_x14_n24,unknown,7200,No,No
0c0430a68f147be18ab3fded07f30fdb-oddball_53_5_tto_zp.normalised,sat,660.7,Yes,Yes
0ccb0f855352783a972be45188bf3164-SCPC-500-12,unknown,7200,No,No
0d8779c22e2caa8d676723701e5a0347-pj2016_k100,unknown,7200,No,No
0dd928240a9559ab7e50d088e3f168ac-pj2002_k500,unknown,7200,No,No
0e1d562093d5f4fc9013cf4a14a03f70-Break_12_50.xml,sat,5.16,Yes,Yes
0e36fa2e12f32cde67937803299fb57b-6s268r_Iter94,unknown,7200,No,No
0ec8c5e9084cbc8a326f8f37e1abf741-oddball_54_5_tto_zp.normalised,sat,887.57,Yes,Yes
0ed8c06438673f179985a79b9d6a9fe4-cfi-rigid-s2-0064-04-or_2_shuffle_all,unknown,7200,No,No
0f269188707a1b2f309dd1c70bfe22b0-bp4_BC012_CSO_AM_IXA.normalised,unknown,7200,No,No
110f8eb8b9b80204fe955ea0973bbb00-clqcl_30_7_6.normalised,unknown,7200,No,No
115fa7f61704bc12b2373aa471bc434f-Circuit_multiplier24,unknown,7200,No,No
12820b981e6b199a1b1a8c896386a337-RoundRobin_n16_d14,unknown,7200,No,No
1576e239e1c17939f24688a12fb10fae-6s299b685_Iter22,unknown,7200,No,No
16564a6acba6b9fc887c447d4e507767-ER_400_20_7.apx_2_DS-ST,sat,25.21,Yes,Yes
16c999d046885c8e51f196e60c34d966-aaai10-planning-ipc5-pathways-17-step20,unknown,7200,No,No
1753a71fefceb0250a75e67b610050a0-GP_190_225_30,unknown,7200,No,No
1890f49a43a94b97828528b68c32b78e-homer11.shuffled,unknown,7200,No,No
18d4124324b56e434118f9ef72198d84-spg_300_300,unknown,7200,No,No
19951d43eff5fc4ef6fd07d7a5324fa0-oddball_80_5_tto_zp.normalised,sat,533.86,Yes,Yes
1a9512580b2d946ebd41de4e8c08c42d-linked_list_swap_contents_safety_unwind50,unknown,7200,No,No
1b3c7ac17705be94daaddb5f5ae4816b-rook-56-0-0,unknown,7200,No,No
1b8806812861df2b7e91dc316ad1ef80-oddball_52_5_tto_zp.normalised,sat,525.68,Yes,Yes
1b9f94befb5bc867c0e882f49973f793-bp4_BC012_AM_FPBEQ_ZR.normalised,unknown,7200,No,No
1c21a43aa1ad437e4a7e4eb5b9cd45a1-9.normalised,unknown,7200,No,No
1c30806c5aa9cd54bf823c20fa078243-oddball_26_5_ttf.normalised,unknown,7200,No,No
1d18837c0ced5c18a3a4693993e61728-SC25_Timetable_C_392_E_45_Cl_25_D_7_T_50.normalised,sat,106.47,Yes,Yes
1e0d58c7e52319b3b17e343ec7ca6de5-QG7-gensys-icl006.sat05-3132.reshuffled-07,unknown,7200,No,No
1e87463fee15de63143796fd92d88a58-crusti_g2io_175_0.2_511_32.normalised,unknown,7200,No,No
207ebdf62e5ce54c8b4ddeeb17843a56-hhyp_cec_multi_2,unknown,7200,No,No
21415e807689ea75536e846a24623de1-clqcl_50_6_5.normalised,unknown,7200,No,No
21b173943af57eefaac5e88bfa2662ad-shuffling-1-s1769330284-of-bench-sat04-422.used-as.sat04-561,unknown,7200,No,No
2241a1fb5bdbac0c1a3c1980ed8b332d-crusti_g2io_225_0.1_31_25.normalised,unknown,7200,No,No
22df1827e3253fc824cc7ce806d75e0a-x9-10070.sat.sanitized,sat,14.98,Yes,Yes
24075575c3dbd9e9eae948dd2241b029-UR-15-10p0,unknown,7200,No,No
24bde22f729a988fb2394b644cb60d39-SC25_Timetable_C_481_E_49_Cl_32_D_7_T_58.normalised,sat,411.23,Yes,Yes
25390e9d1fa1926485db7eb2d5a20ea8-ITC2021_Late_10.xml,unknown,7200,No,No
27570c6780aaade3dc771c6a12534fb8-reconf10_22_queen20_3_8667,unknown,7200,No,No
27cb3a6ca772613c5998d7f78a55ba45-bp4_AM_IXA_FPBLE.normalised,unknown,7200,No,No
28eeb2beac7005a9afa98e4d3aaca621-oski15a01b40s_opt,unknown,7200,No,No
2925ee90763e08b2f7e79c7c713c86b9-at-least-two-ibm-2004-23-k100,unknown,7200,No,No
292bedf65cee7cc38fe8b2725eb50868-cliquecoloring_n32_k5_c4,unknown,7200,No,No
296fd43ed40e242875984420f29be73f-oddball_24_5_ttf.normalised,unknown,7200,No,No
29b573e0f7b922c4bd0a675db005265f-b18,unknown,7200,No,No
2b4467a5ac4ac41b36d4c3432b07f767-oddball_69_5_tto_zp.normalised,sat,1731.76,Yes,Yes
2bdfcf23ac1829912a408402a540972a-1-ET-256-K-65.sanitized,unknown,7200,No,No
2c8eb0402be32cf281e23f00d5a16259-oski15a01b45s_opt,unknown,7200,No,No
2de9b79919882078aea76f297fc923e5-case11.normalised,sat,15.33,Yes,Yes
2e058841373f34cc47d8dec927fd1796-blocks-blocks-36-0.150-NOTKNOWN,unknown,7200,No,No
30f64b3b0870ce5d22d4217782224dfe-lockchart-group1-L200-K289-p8d4j1.normalised,sat,862.36,Yes,Yes
3197b65ef50328394a0c9e73281d7122-b20_1,unknown,7200,No,No
334aa882de28856fc8c75885285d2a3c-HCP-446-105,unknown,7200,No,No
35748015c5f16c9ee7e4d1894af497a0-oski15a01b39s_opt,unknown,7200,No,No
35b9091b90bd28a492c9556d6fc4348d-bp4_TCO_CSO_ZR.normalised,unknown,7200,No,No
35ec95b9b2398fb522db178855016ae0-MVRoundRobin_n14_d10_v2,unknown,7200,No,No
3746303c659ef65aaa78f3b52cd5de49-6s299b685_Iter30,unknown,7200,No,No
395829127ec213c2e69a6a13dda3623b-lockchart-group2-rnd0.3-L19-K38-P8D4J1_1.normalised,unknown,7200,No,No
3a1f1b4b9a521737cc760017fe9d8b43-MVRoundRobin_n16_d10_v3,unknown,7200,No,No
3bfa92996634d2ddc6c0568bba9a0f99-case6.normalised,sat,1.06,Yes,Yes
3c0db78733bb05b9d1e9d7627b2e8f38-rook-52-0-1,unknown,7200,No,No
3c129545f090ef08b6ef89a2903ff83e-oski15a01b09s_opt,unknown,7200,No,No
3cda1cbfbcabfc71ece7961d4d6ad1bb-lockchart-group2-rnd0.3-L19-K38-P8D4J1_3,sat,316.37,Yes,Yes
416e33a8463911546e4cd87d282a7e1e-case10,sat,67.0,Yes,Yes
41915707d831e1365389d3cc47c7953f-oddball_51_5_tto_zp.normalised,sat,721.89,Yes,Yes
41f507717c7c4553d23cd0cd1fc40104-1-ET-512-K-120.sanitized,unknown,7200,No,No
42fdd4f4c27fd03267afd82490cb59a4-GP_100_1000_10,unknown,7200,No,No
43687a48fb119ca61b47c2fc69a71e7d-manthey_single-ordered-initialized-w42-b8,unknown,7200,No,No
43ebdada6f6153b50a140ba908d5bf44-oddball_67_5_tto_zp.normalised,sat,441.77,Yes,Yes
43fbacb24ea30054dece1de179c4ca7e-ER_400_20_7.apx_1_DS-ST,sat,2.26,Yes,Yes
45742d067cc851edc1201d8a02586eac-mchess_20,unknown,7200,No,No
465795fa2641c616ce76de8501672a19-VanDerWaerden_pd_2-3-27_663,sat,206.38,Yes,Yes
465c7f101b2d24de63f6a6f544faa9ee-crusti_g2io_175_0.2_511_10.normalised,unknown,7200,No,No
47f5872181a581dff34eb33123fe3242-b17,unknown,7200,No,No
4ba2c1aa580b6497df6baf5e7e2c87be-at-least-two-vmpc_28,unknown,7200,No,No
