Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,0.53,Yes,Yes
10_6_5_6_100-sat,sat,0.53,Yes,Yes
15_4_3_4_100-sat,sat,2.6,Yes,Yes
15_6_5_6_100-sat,sat,1.28,Yes,Yes
20_4_3_4_100-sat,sat,7.69,Yes,Yes
20_6_5_6_100-sat,sat,2.92,Yes,Yes
25_4_3_4_100-sat,sat,7.18,Yes,Yes
25_6_5_6_100-sat,sat,4.84,Yes,Yes
30_4_3_4_100-sat,sat,19.95,Yes,Yes
30_6_5_6_100-sat,sat,8.81,Yes,Yes
35_4_3_4_100-sat,sat,21.81,Yes,Yes
35_6_5_6_100-sat,sat,27.06,Yes,Yes
40_4_3_4_100-sat,sat,42.23,Yes,Yes
40_6_5_6_100-sat,sat,38.28,Yes,Yes
45_4_3_4_100-sat,sat,61.83,Yes,Yes
45_6_5_6_100-sat,sat,49.81,Yes,Yes
50_4_3_4_100-sat,sat,57.33,Yes,Yes
50_6_5_6_100-sat,sat,71.97,Yes,Yes
