Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,0.42025436,No,No
10_6_5_6_100-sat,sat,0.21986676,No,No
15_4_3_4_100-sat,sat,1.088488712,No,No
15_6_5_6_100-sat,sat,0.831659342,No,No
20_4_3_4_100-sat,sat,3.661040195,No,No
20_6_5_6_100-sat,sat,2.51505947,No,No
25_4_3_4_100-sat,sat,5.570213751,No,No
25_6_5_6_100-sat,sat,4.26506346,No,No
30_4_3_4_100-sat,sat,9.543392723,No,No
30_6_5_6_100-sat,sat,7.280346323,No,No
35_4_3_4_100-sat,sat,15.924950114,No,No
35_6_5_6_100-sat,sat,11.395766638,No,No
40_4_3_4_100-sat,sat,21.375843216,No,No
40_6_5_6_100-sat,sat,16.681387482,No,No
45_4_3_4_100-sat,sat,34.1264936,No,No
45_6_5_6_100-sat,sat,23.461852651,No,No
50_4_3_4_100-sat,sat,46.873739035,No,No
50_6_5_6_100-sat,sat,29.055793236,No,No
