Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,2.082284401,No,No
10_6_5_6_100-sat,sat,0.678045328,No,No
15_4_3_4_100-sat,sat,6.23625084,No,No
15_6_5_6_100-sat,sat,2.679950025,No,No
20_4_3_4_100-sat,sat,15.637840781,No,No
20_6_5_6_100-sat,sat,14.083652608,No,No
25_4_3_4_100-sat,sat,26.561545547,No,No
25_6_5_6_100-sat,sat,17.094656535,No,No
30_4_3_4_100-sat,sat,49.63615737,No,No
30_6_5_6_100-sat,sat,34.368937254,No,No
35_4_3_4_100-sat,sat,106.978944601,No,No
35_6_5_6_100-sat,sat,53.476894441,No,No
40_4_3_4_100-sat,sat,134.102061239,No,No
40_6_5_6_100-sat,sat,73.216927916,No,No
45_4_3_4_100-sat,sat,241.477256903,No,No
45_6_5_6_100-sat,sat,138.402437886,No,No
50_4_3_4_100-sat,sat,313.217863322,No,No
50_6_5_6_100-sat,sat,160.518488801,No,No
