Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,0.39925366,No,No
10_6_5_6_100-sat,sat,0.210731789,No,No
15_4_3_4_100-sat,sat,1.13484244,No,No
15_6_5_6_100-sat,sat,0.841245869,No,No
20_4_3_4_100-sat,sat,3.182167404,No,No
20_6_5_6_100-sat,sat,2.141385692,No,No
25_4_3_4_100-sat,sat,5.761088763,No,No
25_6_5_6_100-sat,sat,4.31227757,No,No
30_4_3_4_100-sat,sat,9.937887444,No,No
30_6_5_6_100-sat,sat,7.509545759,No,No
35_4_3_4_100-sat,sat,16.645475548,No,No
35_6_5_6_100-sat,sat,11.88476036,No,No
40_4_3_4_100-sat,sat,19.31630574,No,No
40_6_5_6_100-sat,sat,17.466549005,No,No
45_4_3_4_100-sat,sat,30.784885527,No,No
45_6_5_6_100-sat,sat,24.574017617,No,No
50_4_3_4_100-sat,sat,49.141877662,No,No
50_6_5_6_100-sat,sat,33.191841846,No,No
