Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,1.27184865,No,No
10_6_5_6_100-sat,sat,0.689484801,No,No
15_4_3_4_100-sat,sat,4.107241123,No,No
15_6_5_6_100-sat,sat,2.691059433,No,No
20_4_3_4_100-sat,sat,14.501369376,No,No
20_6_5_6_100-sat,sat,9.046148013,No,No
25_4_3_4_100-sat,sat,24.732488975,No,No
25_6_5_6_100-sat,sat,15.858125086,No,No
30_4_3_4_100-sat,sat,43.441934472,No,No
30_6_5_6_100-sat,sat,27.843835473,No,No
35_4_3_4_100-sat,sat,75.536283883,No,No
35_6_5_6_100-sat,sat,47.064119475,No,No
40_4_3_4_100-sat,sat,110.519314552,No,No
40_6_5_6_100-sat,sat,70.966429367,No,No
45_4_3_4_100-sat,sat,176.569238402,No,No
45_6_5_6_100-sat,sat,98.243521854,No,No
50_4_3_4_100-sat,sat,235.323729883,No,No
50_6_5_6_100-sat,sat,157.302643301,No,No
