Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,2.78,No,No
10_6_5_6_100-sat,sat,2.0,No,No
15_4_3_4_100-sat,sat,9.3,No,No
15_6_5_6_100-sat,sat,5.21,No,No
20_4_3_4_100-sat,sat,30.42,No,No
20_6_5_6_100-sat,sat,12.84,No,No
25_4_3_4_100-sat,sat,46.57,No,No
25_6_5_6_100-sat,sat,31.48,No,No
30_4_3_4_100-sat,sat,77.97,No,No
30_6_5_6_100-sat,sat,52.7,No,No
35_4_3_4_100-sat,sat,149.71,No,No
35_6_5_6_100-sat,sat,88.01,No,No
40_4_3_4_100-sat,sat,218.48,No,No
40_6_5_6_100-sat,sat,143.7,No,No
45_4_3_4_100-sat,unknown,7200,No,No
45_6_5_6_100-sat,sat,222.68,No,No
50_4_3_4_100-sat,unknown,7200,No,No
50_6_5_6_100-sat,unknown,7200,No,No
