Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,12.06,No,No
10_6_5_6_100-sat,sat,5.6,No,No
15_4_3_4_100-sat,sat,46.61,No,No
15_6_5_6_100-sat,sat,22.41,No,No
20_4_3_4_100-sat,sat,214.0,No,No
20_6_5_6_100-sat,sat,98.13,No,No
25_4_3_4_100-sat,sat,439.87,No,No
25_6_5_6_100-sat,sat,210.94,No,No
30_4_3_4_100-sat,sat,987.81,No,No
30_6_5_6_100-sat,sat,408.55,No,No
35_4_3_4_100-sat,unknown,36000,No,No
35_6_5_6_100-sat,sat,1016.11,No,No
40_4_3_4_100-sat,unknown,36000,No,No
40_6_5_6_100-sat,sat,1455.38,No,No
45_4_3_4_100-sat,unknown,36000,No,No
45_6_5_6_100-sat,unknown,36000,No,No
50_4_3_4_100-sat,unknown,36000,No,No
50_6_5_6_100-sat,unknown,36000,No,No
