Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,0.365412484,No,No
10_6_5_6_100-sat,sat,0.315709918,No,No
15_4_3_4_100-sat,sat,0.915793138,No,No
15_6_5_6_100-sat,sat,0.716327472,No,No
20_4_3_4_100-sat,sat,2.819474781,No,No
20_6_5_6_100-sat,sat,4.475210444,No,No
25_4_3_4_100-sat,sat,9.389543403,No,No
25_6_5_6_100-sat,sat,3.972130482,No,No
30_4_3_4_100-sat,sat,15.458864275,No,No
30_6_5_6_100-sat,sat,6.430775796,No,No
35_4_3_4_100-sat,sat,23.332695778,No,No
35_6_5_6_100-sat,sat,9.695187640,No,No
40_4_3_4_100-sat,sat,35.268155645,No,No
40_6_5_6_100-sat,sat,12.843890096,No,No
45_4_3_4_100-sat,sat,51.415912731,No,No
45_6_5_6_100-sat,sat,39.444097782,No,No
50_4_3_4_100-sat,sat,31.911029346,No,No
50_6_5_6_100-sat,sat,24.624370525,No,No
