Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,2.73,No,No
10_6_5_6_100-sat,sat,1.75,No,No
15_4_3_4_100-sat,sat,8.11,No,No
15_6_5_6_100-sat,sat,6.07,No,No
20_4_3_4_100-sat,sat,26.93,No,No
20_6_5_6_100-sat,sat,17.55,No,No
25_4_3_4_100-sat,sat,45.86,No,No
25_6_5_6_100-sat,sat,30.78,No,No
30_4_3_4_100-sat,sat,78.93,No,No
30_6_5_6_100-sat,sat,53.15,No,No
35_4_3_4_100-sat,sat,134.16,No,No
35_6_5_6_100-sat,sat,89.2,No,No
40_4_3_4_100-sat,sat,198.8,No,No
40_6_5_6_100-sat,sat,145.31,No,No
45_4_3_4_100-sat,sat,305.19,No,No
45_6_5_6_100-sat,sat,200.7,No,No
50_4_3_4_100-sat,sat,444.46,No,No
50_6_5_6_100-sat,sat,292.49,No,No
