Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,2.63,No,No
10_6_5_6_100-sat,sat,1.68,No,No
15_4_3_4_100-sat,sat,8.11,No,No
15_6_5_6_100-sat,sat,5.27,No,No
20_4_3_4_100-sat,sat,26.77,No,No
20_6_5_6_100-sat,sat,17.32,No,No
25_4_3_4_100-sat,sat,47.14,No,No
25_6_5_6_100-sat,sat,30.46,No,No
30_4_3_4_100-sat,sat,81.56,No,No
30_6_5_6_100-sat,sat,53.28,No,No
35_4_3_4_100-sat,sat,157.56,No,No
35_6_5_6_100-sat,sat,89.54,No,No
40_4_3_4_100-sat,sat,208.56,No,No
40_6_5_6_100-sat,sat,134.82,No,No
45_4_3_4_100-sat,sat,323.9,No,No
45_6_5_6_100-sat,sat,206.43,No,No
50_4_3_4_100-sat,sat,465.97,No,No
50_6_5_6_100-sat,sat,345.65,No,No
