Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,5.24,No,No
10_6_5_6_100-sat,sat,3.87,No,No
15_4_3_4_100-sat,sat,14.49,No,No
15_6_5_6_100-sat,sat,10.83,No,No
20_4_3_4_100-sat,sat,44.62,No,No
20_6_5_6_100-sat,sat,33.06,No,No
25_4_3_4_100-sat,sat,74.29,No,No
25_6_5_6_100-sat,sat,55.88,No,No
30_4_3_4_100-sat,sat,126.41,No,No
30_6_5_6_100-sat,sat,94.66,No,No
35_4_3_4_100-sat,sat,206.42,No,No
35_6_5_6_100-sat,sat,147.66,No,No
40_4_3_4_100-sat,sat,303.77,No,No
40_6_5_6_100-sat,sat,220.28,No,No
45_4_3_4_100-sat,sat,450.77,No,No
45_6_5_6_100-sat,sat,331.38,No,No
50_4_3_4_100-sat,sat,624.86,No,No
50_6_5_6_100-sat,sat,510.57,No,No
