Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,45.47,No,No
10_6_5_6_100-sat,sat,47.21,No,No
15_4_3_4_100-sat,sat,25.81,No,No
15_6_5_6_100-sat,sat,25.15,No,No
20_4_3_4_100-sat,sat,28.03,No,No
20_6_5_6_100-sat,sat,26.61,No,No
25_4_3_4_100-sat,sat,41.92,No,No
25_6_5_6_100-sat,sat,25.25,No,No
30_4_3_4_100-sat,sat,53.94,No,No
30_6_5_6_100-sat,sat,46.19,No,No
35_4_3_4_100-sat,sat,98.84,No,No
35_6_5_6_100-sat,sat,67.62,No,No
40_4_3_4_100-sat,sat,124.07,No,No
40_6_5_6_100-sat,sat,102.17,No,No
45_4_3_4_100-sat,sat,189.38,No,No
45_6_5_6_100-sat,sat,141.65,No,No
50_4_3_4_100-sat,unknown,36000,No,No
50_6_5_6_100-sat,sat,188.07,No,No
