Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,3.84,No,No
10_6_5_6_100-sat,sat,3.25,No,No
15_4_3_4_100-sat,sat,9.29,No,No
15_6_5_6_100-sat,sat,4.85,No,No
20_4_3_4_100-sat,sat,31.62,No,No
20_6_5_6_100-sat,sat,13.57,No,No
25_4_3_4_100-sat,sat,43.77,No,No
25_6_5_6_100-sat,sat,28.87,No,No
30_4_3_4_100-sat,sat,60.95,No,No
30_6_5_6_100-sat,sat,53.19,No,No
35_4_3_4_100-sat,sat,92.34,No,No
35_6_5_6_100-sat,sat,54.51,No,No
40_4_3_4_100-sat,sat,113.69,No,No
40_6_5_6_100-sat,sat,90.12,No,No
45_4_3_4_100-sat,sat,168.54,No,No
45_6_5_6_100-sat,sat,115.27,No,No
50_4_3_4_100-sat,sat,210.76,No,No
50_6_5_6_100-sat,sat,159.46,No,No
