Instance,Result,Time,Best,Mono
10_4_3_4_100,unknown,7200,No,No
10_6_5_6_100,unknown,7200,No,No
15_4_3_4_100,unknown,7200,No,No
15_6_5_6_100,unknown,7200,No,No
20_4_3_4_100,unknown,7200,No,No
20_6_5_6_100,unknown,7200,No,No
25_4_3_4_100,unknown,7200,No,No
25_6_5_6_100,unknown,7200,No,No
30_4_3_4_100,unknown,7200,No,No
30_6_5_6_100,unknown,7200,No,No
35_4_3_4_100,unknown,7200,No,No
35_6_5_6_100,unknown,7200,No,No
40_4_3_4_100,unknown,7200,No,No
40_6_5_6_100,unknown,7200,No,No
45_4_3_4_100,unknown,7200,No,No
45_6_5_6_100,unknown,7200,No,No
50_4_3_4_100,unknown,7200,No,No
50_6_5_6_100,unknown,7200,No,No
