Instance,Result,Time,Best,Mono
10_4_3_4_100-sat,sat,5.67,No,No
10_6_5_6_100-sat,sat,6.64,No,No
15_4_3_4_100-sat,sat,477.35,No,No
15_6_5_6_100-sat,sat,6.05,No,No
20_4_3_4_100-sat,sat,484.07,No,No
20_6_5_6_100-sat,sat,2.25,Yes,No
25_4_3_4_100-sat,sat,7.91,No,No
25_6_5_6_100-sat,sat,3.94,No,No
30_4_3_4_100-sat,sat,2320.32,No,No
30_6_5_6_100-sat,sat,106.59,No,No
35_4_3_4_100-sat,sat,2815.58,No,No
35_6_5_6_100-sat,unknown,36000,No,No
40_4_3_4_100-sat,sat,29.05,No,No
40_6_5_6_100-sat,unknown,36000,No,No
45_4_3_4_100-sat,unknown,36000,No,No
45_6_5_6_100-sat,unknown,36000,No,No
50_4_3_4_100-sat,unknown,36000,No,No
50_6_5_6_100-sat,sat,38.37,No,No
