Name,HardClauses,Variables,SoftUnits,cost,UnsatBound
c-inference-pre-processing_c_inference_50_56_fq1,372240,21368,494,0,495
c-inference-pre-processing_c_inference_50_56_vq12,372240,21368,416,0,417
c-inference-pre-processing_c_inference_50_64_v38,372240,21368,348,0,349
c-inference-pre-processing_c_inference_50_65_vq16,372240,21368,341,0,342
c-inference-pre-processing_c_inference_60_0_fq16,372240,21368,291,0,292
c-inference-pre-processing_c_inference_60_56_fq5,372240,21368,292,0,293
c-inference-pre-processing_c_inference_60_57_fq6,372240,21368,192,0,193
c-inference-pre-processing_c_inference_60_59_v50,372240,21368,199,0,200
c-inference-pre-processing_c_inference_60_61_vq11,372240,21368,186,0,187
c-inference-pre-processing_c_inference_60_63_vq12,372240,21368,158,0,159
c-inference-pre-processing_c_inference_60_66_fq5,602186,321473,6734,0,6735
c-inference-pre-processing_c_inference_60_90_fq20,602410,321609,6742,0,6743
c-inference-pre-processing_c_inference_70_96_f37,0,66274,168471,0,168472
c-inference-pre-processing_c_inference_70_97_fq1,0,186740,610475,0,610476
c-inference-pre-processing_c_inference_70_99_vq20,0,178303,505547,0,505548
c-inference-pre-processing_c_inference_80_0_fq16,0,598765,1623572,0,1623573
c-inference-pre-processing_c_inference_80_1_fq10,0,772183,2223029,0,2223030
c-inference-pre-processing_c_inference_90_36_vq15,0,608395,1928296,0,1928297
causal-discovery-causal_n5_i2_N500_uai13_harddeps_int,0,573376,1554820,5,1554816
causal-discovery-causal_n5_i4_N500_uai13_harddeps_int,0,222886,697003,4,697000
causal-discovery-causal_n5_i5_N10000_uai13_constant_int,1029037,68952,68952,5,68948
causal-discovery-causal_n5_i7_N1000_uai13_harddeps_int,2742602,141856,141856,17,141840
causal-discovery-causal_n5_i8_N10000_uai13_harddeps_int,1172806,278589,6,18,-11
causal-discovery-causal_n6_i1_N500_uai13_harddeps_int,1487626,339724,6,19,-12
causal-discovery-causal_n6_i4_N500_uai14_constant_int,647701,160156,6,17,-10
causal-discovery-causal_n6_i5_N10000_uai13_harddeps_int,583041,149366,6,4,3
causal-discovery-causal_n6_i7_N1000_uai14_harddeps_int,395864,108005,6,49,-42
causal-discovery-causal_n6_i8_N1000_uai14_constant_int,505035,136135,6,26,-19
causal-discovery-causal_n6_i9_N1000_uai14_constant_int,0,119246,409139,28,409112
causal-discovery-causal_n6_i9_N10000_uai14_constant_int,0,4426259,15983633,28,15983606
causal-discovery-causal_n7_i8_N1000_uai14_constant_int,0,226035,728516,24,728493
causal-discovery-causal_n7_i8_N10000_uai14_constant_int,0,1513539,4909231,24,4909208
causal-discovery-causal_n7_i9_N500_uai14_constant_int,0,1199597,3868693,46,3868648
CircuitDebuggingProblems-ac97_ctrl-debug.dimacs,512,64,48,1,48
CircuitDebuggingProblems-divider-debug.dimacs,372240,21368,342,1,342
CircuitDebuggingProblems-mem_ctrl-debug.dimacs,372240,21368,354,1,354
CircuitDebuggingProblems-mrisc-debug.dimacs,372240,21368,261,1,261
CircuitDebuggingProblems-rsdecoder-debug.dimacs,372240,21368,295,1,295
CircuitDebuggingProblems-spi-debug.dimacs,372240,21368,182,1,182
CircuitDebuggingProblems-sudoku-debug.dimacs,602466,321643,6744,1,6744
CircuitDebuggingProblems-vga-debug.dimacs,602354,321575,6740,1,6740
CircuitDebuggingProblems-wb-debug.dimacs,1297164,538181,173,28,146
CircuitTraceCompaction-ctrl,2315,606,6,15,-8
CircuitTraceCompaction-mrisc_mem2wire,24545,6755,210,5,206
CircuitTraceCompaction-spi,24347,6573,210,46,165
CircuitTraceCompaction-sudoku,25339,6630,210,13,198
close_solutions-SAT_RACE06__velev-pipe-sat-1.0-b9.cnf.wcnf.8,3517143,1172670,12,50,-37
close_solutions-SAT02__industrial__goldberg__fpga_routing__vda_gr_rcs_w9.shuffled.cnf.wcnf.8,3391401,852890,16,3,14
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug4_q0.used-as.sat04-723.cnf.wcnf.8,226501,61345,4,86,-81
close_solutions-SAT04__industrial__velev__pipe-sat-1-1__12pipe_bug6_q0.used-as.sat04-725.cnf.wcnf.3,0,228856,750705,148,750558
close_solutions-SAT07__industrial__vliw_sat_4.0__9vliw_m_9stages_iq3_C1_bug6.cnf.wcnf.4,0,238290,936006,24,935983
close_solutions-SAT11__application__fuhs__AProVE11__AProVE11-16.cnf.wcnf.1,206,36,24,263,-238
close_solutions-SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-12-step16.cnf.wcnf.2,602550,321694,6747,1,6747
close_solutions-SAT11__application__jarvisalo__AAAI2010-SATPlanning__aaai10-planning-ipc5-pipesworld-18-step16.cnf.wcnf.4,602382,321592,6741,1,6741
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-bin_libsmbsharemodes_vc5759-tseitin.cnf.wcnf.2,602298,321541,6738,30,6709
close_solutions-SAT11__application__jarvisalo__smtqfbv-aigs__smtlib-qfbv-aigs-rfunit_flat-64-tseitin.cnf.wcnf.8,602270,321524,6737,7,6731
close_solutions-SAT11__application__leberre__2dimensionalstrippacking__E05F18.cnf.wcnf.9,130998,6498,6498,82,6417
close_solutions-SAT11__application__manthey__traffic__traffic_3_uc_sat.cnf.wcnf.3,1935097,398960,88,7,82
close_solutions-SAT11__application__rintanen__SATPlanning__openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf.wcnf.1,39195,13980,26,23,4
close_solutions-teams16_l6a.cnf,47845,22040,40,14,27
close_solutions-teams20_l5a.cnf,25179,6582,210,16,195
ConsistentQueryAnswering-real-2,25439,6660,210,368,-157
ConsistentQueryAnswering-real-6,4689520,1563556,16,356,-339
ConsistentQueryAnswering-synthetic-10,1511760,391002,785,14623,-13837
ConsistentQueryAnswering-synthetic-12,625633,162702,301,17989,-17687
ConsistentQueryAnswering-synthetic-13,6352761,1555554,1618,5583,-3964
ConsistentQueryAnswering-synthetic-15,179766,27656,41,2055,-2013
ConsistentQueryAnswering-synthetic-18,602550,321694,6747,14663,-7915
ConsistentQueryAnswering-synthetic-2,602578,321711,6748,11345,-4596
ConsistentQueryAnswering-synthetic-20,221783,61600,7,6720,-6712
ConsistentQueryAnswering-synthetic-21,1206116,328107,46,21342,-21295
