Name,UnsatBound,SoftUnits
scc_rt_obama,3037,3040
soc-brightkite,35550,56739
web-spam,2471,4767
sc-ldoor,95450,952203
ia-enron-only,58,143
scc_retweet-crawl,1123383,1131801
soc-buzznet,70551,101163
soc-lastfm,1113118,1191805
soc-epinions,16832,26588
ia-enron-large,20916,33696
scc_rt_onedirection,7676,7704
web-polblogs,400,643
scc_reality,4324,6809
scc_rt_uae,4750,4757
soc-slashdot,47696,70068
soc-FourSquare,548907,639014
socfb-B-anon,2634565,2937612
scc_rt_dash,5954,5968
bio-diseasome,232,516
ca-HepPh,4650,11204
web-google,802,1299
ca-AstroPh,6421,17903
tech-internet-as,34465,40164
soc-LiveMocha,60677,104103
ca-GrQc,1951,4158
scc_rt_oman,4447,4452
scc_rt_alwefaq,4123,4157
scc_rt_occupywallstnyc,3550,3594
scc_rt_libya,5010,5021
scc_fb-messages,828,1899
scc_rt_gmanews,8285,8330
ca-hollywood-2009,205075,1069126
soc-youtube-snap,857946,1134890
web-arabic-2005,49179,163598
ca-dblp-2012,152132,317080
ia-email-univ,540,1133
ia-email-EU,31611,32430
rt-retweet-crawl,1031663,1112702
tech-routers-rf,1319,2113
soc-delicious,450811,536108
scc_enron-only,14,151
web-wikipedia2009,1216140,1864433
scc_rt_gop,3711,3716
inf-power,2739,4941
ca-citeseer,98128,227320
scc_rt_p2,4774,4785
soc-BlogCatalog,68033,88784
scc_twitter-copen,7255,8580
soc-digg,667566,770799
scc_infect-hyper,4,113
soc-wiki-Vote,484,889
scc_rt_qatif,6714,6718
soc-livejournal,2164235,4033137
scc_rt_bahrain,4623,4659
ca-CondMat,8884,21363
ca-Erdos992,5640,6100
scc_rt_mittromney,7809,7850
web-uk-2005,1859,129632
scc_rt_tcot,4495,4506
soc-gowalla,112370,196591
scc_rt_assad,2020,2035
socfb-uci-uni,57924017,58790782
web-sk-2005,63250,121422
soc-dolphins,29,62
bio-celegans,205,453
ca-netscience,166,379
soc-flixster,2427070,2523386
scc_rt_lolgop,9640,9742
scc_rt_http,5690,5691
scc_rt_tlot,3508,3513
inf-road-usa,12428124,23947347
tech-RL-caida,116322,190914
soc-karate,21,34
ia-wiki-Talk,74830,92117
bio-dmela,4764,7393
scc_rt_ksa,5764,5775
scc_rt_israel,3676,3686
sc-msdoor,34306,415863
scc_rt_barackobama,9523,9551
scc_rt_voteonedirection,1830,1833
soc-twitter-follows,402397,404719
tech-WHOIS,5193,7476
scc_rt_damascus,2948,2962
ia-infect-hyper,24,113
scc_rt_occupy,3069,3090
sc-pkustk11,3894,87804
ia-reality,6729,6809
inf-roadNet-CA,957531,1957027
ca-dblp-2010,104445,226413
web-BerkStan,6922,12305
rt-twitter-copen,525,761
web-webbase-2001,13412,16062
tech-as-caida2007,22793,26475
scc_rt_saudi,6789,6805
scc_rt_justinbieber,9339,9364
bio-yeast,1003,1458
socfb-A-anon,2721936,3097165
tech-p2p-gnutella,46880,62561
ca-CSphd,1333,1882
rt-retweet,65,96
web-edu,1581,3031
soc-youtube,349582,495957
scc_rt_lebanon,3366,3370
soc-flickr,360699,513969
scc_infect-dublin,1870,10972
ca-coauthors-dblp,68308,540486
scc_retweet,17910,18469
ca-MathSciNet,192739,332689
soc-douban,146224,154908
web-it-2004,94832,509338
tech-as-skitter,1169593,1694616
web-indochina-2004,4059,11358
rec-amazon,44209,91813
scc_fb-forum,526,897
ia-infect-dublin,118,410
ia-fb-messages,689,1266
inf-roadNet-PA,533364,1087562
